"Leeloo", "Leeloo"
"Hello $1", "مرحبًا $1"
"$1 packs", "حزم $1"
"$1 cards", "بطاقات $1"
"ACTIVE", "نشيط"
"This is a test voice!", "هذا صوت تجريبي!"
"New Profile", "الملف الشخصي الجديد"
"Create a new application user profile.", "إنشاء ملف تعريف مستخدم تطبيق جديد."
"Profile Name", "اسم الشخصية"
"You can give your child's name", "يمكنك إعطاء اسم طفلك"
"Profile Avatar", "الصورة الرمزية للملف الشخصي"
"Choose an avatar that looks like the user of this profile", "اختر صورة رمزية تشبه مستخدم هذا الملف الشخصي"
"Assistive Cards Packs", "حزم البطاقات المساعدة"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "سنقوم بتعيين البطاقات الافتراضية لهذا الملف الشخصي. يمكنك إضافة أو إزالة حزم البطاقات المساعدة بعد إنشائها"
"Change Avatar", "تغيير الصورة الرمزية"
"Choose an avatar to symbolize this profile", "اختر صورة رمزية ترمز إلى هذا الملف الشخصي"
"My Account", "حسابي"
"Make changes to the owner of this account.", "قم بإجراء تغييرات على مالك هذا الحساب."
"Your Name", "اسمك"
"Name of account handler or parent", "اسم معالج الحساب أو أحد الوالدين"
"Email Address", "عنوان بريد الكتروني"
"We will send updates and analytics", "سنرسل التحديثات والتحليلات"
"Account ID", "معرف الحساب"
"This is an unchangeable ID we might ask from you", "هذا معرف غير قابل للتغيير قد نطلبه منك"
"Language", "لغة"
"Choose the language for app interface and assistive cards", "اختر اللغة لواجهة التطبيق والبطاقات المساعدة"
"Based On Your Device", "بناءً على جهازك"
"Languages from your native settings", "لغات من الإعدادات الأصلية الخاصة بك"
"Supported Languages", "اللغات المدعومة"
"All the languages that assistive cards support", "جميع اللغات التي تدعمها البطاقات المساعدة"
"Text-to-Speech Voice", "تحويل النص إلى كلام صوت"
"Select the text-to-speech voice driver", "حدد برنامج تشغيل صوت تحويل النص إلى كلام"
"Based On Your Location", "بناء على موقعك"
"Voice drivers that match with both your language and location", "برامج تشغيل الصوت التي تتوافق مع لغتك وموقعك"
"All Supported Voice Drivers", "جميع برامج تشغيل الصوت المدعومة"
"List of all accents and supported voice drivers for your language", "قائمة بجميع اللهجات ومحركات الصوت المدعومة للغتك"
"Notifications", "إشعارات"
"Choose when and why you would like to be notified by the app", "اختر متى ولماذا تريد أن يتم إعلامك بواسطة التطبيق"
"Reminders", "تذكير"
"We will remind you to use and practice the app", "سنذكرك باستخدام التطبيق وممارسته"
"Daily Reminders", "تذكير يومي"
"We will send you reminder to practice daily", "سوف نرسل لك تذكيرًا للتدريب اليومي"
"Weekly Reminders", "تذكير أسبوعي"
