"Leeloo", "Leeloo"
"Hello $1", "হ্যালো এক্সএক্সএক্সএক্সএক্স"
"$1 packs", "$1 প্যাকগুলি"
"$1 cards", "$1 কার্ড"
"ACTIVE", "সক্রিয়"
"This is a test voice!", "এটি একটি পরীক্ষার ভয়েস!"
"New Profile", "নতুন প্রোফাইল"
"Create a new application user profile.", "একটি নতুন অ্যাপ্লিকেশন ব্যবহারকারী প্রোফাইল তৈরি করুন।"
"Profile Name", "প্রোফাইল নাম"
"You can give your child's name", "আপনি আপনার সন্তানের নাম দিতে পারেন"
"Profile Avatar", "প্রোফাইল অবতার"
"Choose an avatar that looks like the user of this profile", "এই প্রোফাইলটির ব্যবহারকারীর মতো দেখতে এমন একটি অবতার চয়ন করুন"
"Assistive Cards Packs", "সহায়ক কার্ড প্যাকগুলি"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "আমরা এই প্রোফাইলের জন্য ডিফল্ট কার্ড সেট করব। আপনি তৈরির পরে সহায়ক কার্ড প্যাকগুলি যুক্ত করতে বা সরাতে পারেন"
"Change Avatar", "অবতারটি পরিবর্তন করুন"
"Choose an avatar to symbolize this profile", "এই প্রোফাইলটি প্রতীকী হিসাবে অবতার চয়ন করুন"
"My Account", "আমার অ্যাকাউন্ট"
"Make changes to the owner of this account.", "এই অ্যাকাউন্টের মালিককে পরিবর্তন করুন।"
"Your Name", "তোমার নাম"
"Name of account handler or parent", "অ্যাকাউন্ট হ্যান্ডলার বা পিতামাতার নাম"
"Email Address", "ইমেল ঠিকানা"
"We will send updates and analytics", "আমরা আপডেট এবং বিশ্লেষণ পাঠাব"
"Account ID", "অ্যাকাউন্ট আইডি"
"This is an unchangeable ID we might ask from you", "এটি একটি অপরিবর্তনীয় আইডি যা আমরা আপনার কাছে চাইতে পারি"
"Language", "ভাষা"
"Choose the language for app interface and assistive cards", "অ্যাপ্লিকেশন ইন্টারফেস এবং সহায়ক কার্ডগুলির জন্য ভাষা চয়ন করুন"
"Based On Your Device", "আপনার ডিভাইসের উপর ভিত্তি করে"
"Languages from your native settings", "আপনার স্থানীয় সেটিংস থেকে ভাষা"
"Supported Languages", "সমর্থিত ভাষা"
"All the languages that assistive cards support", "সমস্ত ভাষা যা সহায়ক কার্ডগুলি সমর্থন করে"
"Text-to-Speech Voice", "পাঠ্য থেকে স্পিচ ভয়েস"
"Select the text-to-speech voice driver", "পাঠ্য থেকে স্পিচ ভয়েস ড্রাইভার নির্বাচন করুন"
"Based On Your Location", "আপনার অবস্থানের ভিত্তিতে"
"Voice drivers that match with both your language and location", "ভয়েস ড্রাইভারগুলি যা আপনার ভাষা এবং অবস্থান উভয়ের সাথেই মেলে"
"All Supported Voice Drivers", "সমস্ত সমর্থিত ভয়েস ড্রাইভার"
"List of all accents and supported voice drivers for your language", "আপনার ভাষার জন্য সমস্ত উচ্চারণ এবং সমর্থিত ভয়েস ড্রাইভারের তালিকা"
"Notifications", "বিজ্ঞপ্তিগুলি"
"Choose when and why you would like to be notified by the app", "আপনি কখন এবং কেন অ্যাপটির মাধ্যমে জানাতে চান তা চয়ন করুন"
"Reminders", "অনুস্মারক"
"We will remind you to use and practice the app", "আমরা আপনাকে অ্যাপটি ব্যবহার এবং অনুশীলনের জন্য স্মরণ করিয়ে দেব"
"Daily Reminders", "দৈনিক অনুস্মারক"
"We will send you reminder to practice daily", "আমরা আপনাকে প্রতিদিন অনুশীলনের জন্য অনুস্মারক পাঠাব"
"Weekly Reminders", "সাপ্তাহিক অনুস্মারক"
"We will send you reminder to practice weekly", "আমরা আপনাকে সাপ্তাহিক অনুশীলনের জন্য অনুস্মারক পাঠাব"
"Tips & Promotions", "টিপস এবং প্রচার"
"Decide if you like us to send you tips for using the app or new promotions", "আপনি অ্যাপটি বা নতুন প্রচার ব্যবহারের জন্য আপনাকে টিপস প্রেরণ করতে আমাদের পছন্দ করে কিনা তা সিদ্ধান্ত নিন"
"Usability Tips", "ব্যবহারের টিপস"
"How to effectively use the app", "কীভাবে কার্যকরভাবে অ্যাপটি ব্যবহার করবেন"
"Promotions", "প্রচার"
"Let us notify you when we have a discount for the subscription", "সাবস্ক্রিপশনের জন্য যখন ছাড় রয়েছে তখন আমাদের আপনাকে জানান"
"Subscriptions", "সাবস্ক্রিপশন"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "আপনার সাবস্ক্রিপশন এবং লিলো প্রিমিয়াম ক্রয় পরিচালনা করুন এবং পরিকল্পনার মধ্যে স্যুইচ করুন।"
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "সাবস্ক্রিপশন বাতিল করতে, দয়া করে আপনার ডিভাইস বা বাজার সেটিংস এবং সাবস্ক্রিপশনে যান।"
"You can't downgrade your lifetime premium subscription.", "আপনি আপনার আজীবন প্রিমিয়াম সাবস্ক্রিপশনটি ডাউনগ্রেড করতে পারবেন না।"
"One-time payment", "এককালীন প্রদান"
"Recurring payment", "পুনরাবৃত্তি প্রদান"
"Sign Out", "সাইন আউট"
"Send Feedback", "মতামত পাঠানো"
"Open Source Licenses", "ওপেন সোর্স লাইসেন্সস"
"Privacy Policy", "গোপনীয়তা নীতি"
"Terms of Service", "সেবা পাবার শর্ত"
"Remove My Data", "আমার ডেটা সরান"
"Learn how we collect data and ask us to remove the collected data", "কীভাবে আমরা ডেটা সংগ্রহ করি এবং সংগৃহীত ডেটা সরাতে বলি Learn"
"We do not collect Personally Identifiable Information (PII) for kids, minors or intellectually disabled users with appointed guardians.", "আমরা নিযুক্ত অভিভাবক সহ শিশু, নাবালিকা বা বৌদ্ধিকভাবে অক্ষম ব্যবহারকারীদের জন্য ব্যক্তিগতভাবে সনাক্তকরণযোগ্য তথ্য (পিআইআই) সংগ্রহ করি না।"
"Following the guidelines of Children's Online Privacy Protection Act (COPPA), you can ask us to remove all your or your child's anonymous data anytime you want.", "শিশুদের অনলাইন গোপনীয়তা সুরক্ষা আইনের (সিওপিপিএ) নির্দেশিকা অনুসরণ করে আপনি আমাদের যে কোনও সময় আপনার বা আপনার সন্তানের বেনামি তথ্য মুছে ফেলতে বলুন ask"
"To learn more, read our Privacy Policy in the previous menu.", "আরও জানতে, পূর্ববর্তী মেনুতে আমাদের গোপনীয়তা নীতি পড়ুন।"
"When you ask us to remove your data, we will remove your account and any data we collected about you or your child. Additionaly if you have a subscription, it will be terminated. And removed data will not be recoverable.", "আপনি যখন আমাদের আপনার ডেটা সরাতে বলবেন, আমরা আপনার অ্যাকাউন্ট এবং আপনার বা আপনার সন্তানের সম্পর্কে আমরা যে তথ্য সংগ্রহ করেছি তা সরিয়ে ফেলব। অতিরিক্তলি যদি আপনার সাবস্ক্রিপশন থাকে তবে এটি বন্ধ হয়ে যাবে। এবং সরানো ডেটা পুনরুদ্ধারযোগ্য হবে না।"
"I understand, remove my data.", "আমি বুঝতে পারি, আমার ডেটা সরিয়ে ফেলুন।"
"Parents Only", "কেবল পিতা-মাতা"
"Drag and drop the key over padlock in order to unlock the Settings", "সেটিংস আনলক করতে কী প্যাডলকের ওপরে কীটি টানুন এবং ফেলে দিন"
"Create a profile!", "একটি প্রোফাইল তৈরি করুন!"
"Choose a profile name or tell us the person who is going to use this application.", "একটি প্রোফাইল নাম চয়ন করুন বা আমাদের কে এই অ্যাপ্লিকেশনটি ব্যবহার করতে চলেছেন তা বলুন।"
"Your Name", "তোমার নাম"
"Choose an avatar!", "একটি অবতার চয়ন করুন!"
"Choose an avatar for the person who is going to use this AAC application.", "যিনি এই এএসি অ্যাপ্লিকেশনটি ব্যবহার করতে চলেছেন তার জন্য একটি অবতার চয়ন করুন।"
"Boy", "ছেলে"
"Girl", "মেয়ে"
"Mixed", "মিশ্র"
"Congratulations, $1!", "অভিনন্দন, এক্সএক্সএক্সএক্সএক্স!"
"Your user profile has been completed. You can start using Leeloo AAC app", "আপনার ব্যবহারকারীর প্রোফাইল শেষ হয়েছে। আপনি লেলু এএসি অ্যাপ ব্যবহার শুরু করতে পারেন"
"Welcome to", "স্বাগতম"
"Leeloo AAC", "লেলু এএসি"
"Thank you for downloading Leeloo AAC, let's get started with setting up your leeloo profile.", "লেলু এএসি ডাউনলোড করার জন্য আপনাকে ধন্যবাদ, আসুন আপনার লেলু প্রোফাইলটি সেটআপ শুরু করুন।"
"View other sign in options", "অন্যান্য সাইন ইন বিকল্প দেখুন"
"Who is using the app?", "অ্যাপটি কে ব্যবহার করছেন?"
"Search cards and phrases...", "কার্ড এবং বাক্যাংশ অনুসন্ধান করুন ..."
"Unlock Leeloo Premium!", "লিলো প্রিমিয়াম আনলক করুন!"
"Functionality of Leeloo AAC will always be free. Leeloo Premium offers +50 additional Assistive Card packs.", "লেলু এএসি এর কার্যকারিতা সর্বদা বিনামূল্যে থাকবে। লিলো প্রিমিয়ামে +50 অতিরিক্ত সহায়ক কার্ড প্যাক সরবরাহ করে।"
"Monthly", "মাসিক"
"Try 3 days for FREE", "বিনামূল্যে 3 দিনের জন্য চেষ্টা করুন"
"Then $1/year", "তারপরে $1 / বছর"
"Lifetime", "জীবনকাল"
"One-time Payment", "এককালীন প্রদান"
"SAVE $1%", "$1% সংরক্ষণ করুন"
"$1/mo", "$1 / মাস"
"See the packs you will unlock", "আপনি যে প্যাকগুলি আনলক করবেন তা দেখুন"
"Scroll the cards right to see all of the premium assistive cards.", "সমস্ত প্রিমিয়াম সহায়ক কার্ড দেখতে কার্ডগুলি সরাসরি স্ক্রোল করুন।"
"$1 cards", "$1 কার্ড"
"$1 phrases", "$1 বাক্যাংশ"
"Start 3 days FREE Trial", "3 দিনের ফ্রি ট্রায়াল শুরু করুন"
"Cancel anytime without cost", "ব্যয় ছাড়াই যে কোনও সময় বাতিল করুন"
"Free trial for 3 days only appy to yearly plan and during this time; you can cancel your subscription without any cost.", "3 দিনের জন্য নিখরচায় কেবলমাত্র বার্ষিক পরিকল্পনার জন্য আবেদন করা হয় এবং এই সময়ে; আপনি কোনও দাম ছাড়াই আপনার সাবস্ক্রিপশন বাতিল করতে পারেন।"
"Make sure to review the seller platform Terms and Conditions before hand, if you have any problems or issues contact us and we will do everything we can to solve any problems you face.", "আপনার আগে যদি কোনও সমস্যা বা সমস্যা থাকে তবে আমাদের সাথে যোগাযোগ করুন এবং আপনি যে সমস্যার মুখোমুখি হচ্ছেন আমরা তার সমাধান করার জন্য আমরা যথাসাধ্য চেষ্টা করব hand"
"Monthly and Yearly plans are recurring plans and Lifetime plan is a one-time payment plan, for subscriptions, unless auto-renew is turned off you will be charged the period price when the current period ends.", "মাসিক এবং বার্ষিক পরিকল্পনাগুলি পুনরাবৃত্তি করার পরিকল্পনা করে এবং লাইফটাইম প্ল্যান হ'ল এককালীন অর্থপ্রদানের পরিকল্পনা, সাবস্ক্রিপশনের জন্য, যদি স্বয়ংক্রিয় পুনর্নবীকরণ বন্ধ না করা হয় তবে বর্তমান সময়সীমাটি শেষ হওয়ার পরে আপনাকে পিরিয়ড মূল্য নেওয়া হবে।"
"Keep in mind refunds are handled by the platforms and the refund times and policies might differ respect to the platform and the market you are subscribing from.", "মনে রাখবেন যে রিফান্ডগুলি প্ল্যাটফর্মগুলি দ্বারা পরিচালিত হয় এবং রিফান্ডের সময় এবং নীতিগুলি আপনি যে প্ল্যাটফর্মটি সাবস্ক্রাইব করছেন তার প্রতি এবং বাজারের ক্ষেত্রে আলাদা আলাদা হতে পারে।"
"Please report accidental purchases to us the same day or at least in 24 hours using 'Send Feedback' page in App settings.", "অ্যাপ্লিকেশন সেটিংসে 'প্রতিক্রিয়া পাঠান' পৃষ্ঠাটি ব্যবহার করে আমাদের একই দিনে বা কমপক্ষে 24 ঘন্টা দুর্ঘটনাজনিত ক্রয়ের প্রতিবেদন করুন।"
"Leeloo Premium", "লিলো প্রিমিয়াম"
"Subscribe to get more", "আরও পেতে সাবস্ক্রাইব করুন"
"Try 3 days for free", "3 দিনের জন্য বিনামূল্যে চেষ্টা করুন"
"Next", "পরবর্তী"
"Start", "শুরু"
"USE", "ব্যবহারের"
"USING", "ব্যবহার"
"ADD", "এডিডি"
"REMOVE", "অপসারণ"
