"Leeloo", "Leeloo"
"Hello $1", "Dobrý den, $1"
"$1 packs", "Balení $1"
"$1 cards", "$1 karty"
"ACTIVE", "AKTIVNÍ"
"This is a test voice!", "Toto je zkušební hlas!"
"New Profile", "Nový profil"
"Create a new application user profile.", "Vytvořte nový uživatelský profil aplikace."
"Profile Name", "Jméno profilu"
"You can give your child's name", "Můžete dát jméno svého dítěte"
"Profile Avatar", "Profil Avatar"
"Choose an avatar that looks like the user of this profile", "Vyberte avatar, který vypadá jako uživatel tohoto profilu"
"Assistive Cards Packs", "Balíčky pomocných karet"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Nastavíme výchozí karty pro tento profil. Balíčky pomocných karet můžete po vytvoření přidat nebo odebrat"
"Change Avatar", "Změnit Avatar"
"Choose an avatar to symbolize this profile", "Vyberte avatar, který bude symbolizovat tento profil"
"My Account", "Můj účet"
"Make changes to the owner of this account.", "Proveďte změny vlastníka tohoto účtu."
"Your Name", "Tvé jméno"
"Name of account handler or parent", "Jméno správce účtu nebo nadřízeného"
"Email Address", "Emailová adresa"
"We will send updates and analytics", "Zašleme aktualizace a analytiku"
"Account ID", "Číslo účtu"
"This is an unchangeable ID we might ask from you", "Toto je neměnné ID, které bychom od vás mohli požádat"
"Language", "Jazyk"
"Choose the language for app interface and assistive cards", "Vyberte jazyk rozhraní aplikace a pomocných karet"
"Based On Your Device", "Na základě vašeho zařízení"
"Languages from your native settings", "Jazyky z vašeho rodného nastavení"
"Supported Languages", "Podporované jazyky"
"All the languages that assistive cards support", "Všechny jazyky, které asistenční karty podporují"
"Text-to-Speech Voice", "Převod textu na řeč"
"Select the text-to-speech voice driver", "Vyberte hlasový ovladač převodu textu na řeč"
"Based On Your Location", "Na základě vaší polohy"
"Voice drivers that match with both your language and location", "Hlasové ovladače, které odpovídají vašemu jazyku a umístění"
"All Supported Voice Drivers", "Všechny podporované hlasové ovladače"
"List of all accents and supported voice drivers for your language", "Seznam všech akcentů a podporovaných hlasových ovladačů pro váš jazyk"
"Notifications", "Oznámení"
"Choose when and why you would like to be notified by the app", "Zvolte, kdy a proč chcete být upozorněni aplikací"
"Reminders", "Připomenutí"
"We will remind you to use and practice the app", "Připomeneme vám, abyste aplikaci mohli používat a procvičovat"
"Daily Reminders", "Denní připomenutí"
"We will send you reminder to practice daily", "Denně vám zašleme připomenutí"
"Weekly Reminders", "Týdenní připomenutí"
"We will send you reminder to practice weekly", "Týdenně vám zašleme připomenutí k tréninku"
"Tips & Promotions", "Tipy a propagace"
"Decide if you like us to send you tips for using the app or new promotions", "Rozhodněte se, zda vám chceme zasílat tipy na používání aplikace nebo nové propagační akce"
"Usability Tips", "Tipy pro použitelnost"
"How to effectively use the app", "Jak efektivně používat aplikaci"
"Promotions", "Propagace"
"Let us notify you when we have a discount for the subscription", "Upozorňujeme, že máme slevu na předplatné"
"Subscriptions", "Předplatné"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "Spravujte své předplatné a nákupy Leeloo Premium a přepínejte mezi plány."
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "Chcete-li předplatné zrušit, přejděte do nastavení a odběru svého zařízení nebo trhu."
"You can't downgrade your lifetime premium subscription.", "Nemůžete downgrade svého celoživotního prémiového předplatného."
"One-time payment", "Jednorázová platba"
"Recurring payment", "Opakovaná platba"
"Sign Out", "Odhlásit se"
"Send Feedback", "Poslat zpětnou vazbu"
"Open Source Licenses", "Licence pro otevřený zdroj"
"Privacy Policy", "Zásady ochrany osobních údajů"
"Terms of Service", "Podmínky služby"
"Remove My Data", "Odebrat moje data"
"Learn how we collect data and ask us to remove the collected data", "Naučte se, jak shromažďujeme data a požádejte nás o odebrání shromážděných údajů"
"We do not collect Personally Identifiable Information (PII) for kids, minors or intellectually disabled users with appointed guardians.", "Neshromažďujeme osobní údaje (PII) pro děti, nezletilé nebo intelektuálně postižené uživatele s ustanovenými opatrovníky."
"Following the guidelines of Children's Online Privacy Protection Act (COPPA), you can ask us to remove all your or your child's anonymous data anytime you want.", "Podle pokynů Zákona o ochraně soukromí online dětí (COPPA) můžete nás kdykoli požádat o odstranění všech anonymních dat vašeho nebo vašeho dítěte."
"To learn more, read our Privacy Policy in the previous menu.", "Chcete-li se dozvědět více, přečtěte si naše Zásady ochrany osobních údajů v předchozí nabídce."
"When you ask us to remove your data, we will remove your account and any data we collected about you or your child. Additionaly if you have a subscription, it will be terminated. And removed data will not be recoverable.", "Když nás požádáte o odstranění vašich údajů, odstraníme váš účet a všechna data, která jsme shromáždili o vás nebo vašem dítěti. Pokud máte předplatné, bude ukončeno. A odstraněná data nebudou obnovitelná."
"I understand, remove my data.", "Rozumím, odeberu svá data."
"Parents Only", "Pouze pro rodiče"
"Drag and drop the key over padlock in order to unlock the Settings", "Chcete-li odemknout Nastavení, přetáhněte klíč přes visací zámek"
"Create a profile!", "Vytvořte si profil!"
"Choose a profile name or tell us the person who is going to use this application.", "Vyberte jméno profilu nebo nám sdělte, kdo bude tuto aplikaci používat."
"Your Name", "Tvé jméno"
"Choose an avatar!", "Vyberte si avatar!"
"Choose an avatar for the person who is going to use this AAC application.", "Vyberte avatar pro osobu, která se chystá tuto aplikaci AAC použít."
"Boy", "Chlapec"
"Girl", "Dívka"
"Mixed", "Smíšený"
"Congratulations, $1!", "Gratulujeme, $1!"
"Your user profile has been completed. You can start using Leeloo AAC app", "Váš uživatelský profil byl dokončen. Můžete začít používat aplikaci Leeloo AAC"
"Welcome to", "Vítejte v"
"Leeloo AAC", "Leeloo AAC"
"Thank you for downloading Leeloo AAC, let's get started with setting up your leeloo profile.", "Děkujeme vám za stažení Leeloo AAC, začněme s nastavením vašeho leeloo profilu."
"View other sign in options", "Zobrazit další možnosti přihlášení"
"Who is using the app?", "Kdo používá aplikaci?"
"Search cards and phrases...", "Prohledat karty a fráze ..."
"Unlock Leeloo Premium!", "Odemkněte Leeloo Premium!"
"Functionality of Leeloo AAC will always be free. Leeloo Premium offers +50 additional Assistive Card packs.", "Funkce Leeloo AAC bude vždy zdarma. Leeloo Premium nabízí +50 dalších balíčků asistenčních karet."
"Monthly", "Měsíční"
"Try 3 days for FREE", "Vyzkoušejte 3 dny ZDARMA"
"Then $1/year", "Pak $1 / rok"
"Lifetime", "Život"
"One-time Payment", "Jednorázová platba"
"SAVE $1%", "SAVE $1%"
"$1/mo", "$1 / mo"
"See the packs you will unlock", "Podívejte se na balíčky, které odemknete"
"Scroll the cards right to see all of the premium assistive cards.", "Posunutím karet doprava zobrazíte všechny prémiové pomocné karty."
"$1 cards", "$1 karty"
"$1 phrases", "Fráze $1"
"Start 3 days FREE Trial", "Zahajte 3 dny Zkušební verze ZDARMA"
"Cancel anytime without cost", "Zrušit kdykoli bez nákladů"
