"Leeloo", "Leeloo"
"Hello $1", "Hej $1"
"$1 packs", "$1 pakker"
"$1 cards", "$1 kort"
"ACTIVE", "AKTIV"
"This is a test voice!", "Dette er en teststemme!"
"New Profile", "Ny profil"
"Create a new application user profile.", "Opret en ny applikationsbrugerprofil."
"Profile Name", "Profil navn"
"You can give your child's name", "Du kan give dit barns navn"
"Profile Avatar", "Profil Avatar"
"Choose an avatar that looks like the user of this profile", "Vælg en avatar der ligner brugeren af denne profil"
"Assistive Cards Packs", "Hjælpekortpakker"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Vi indstiller standardkort til denne profil. Du kan tilføje eller fjerne hjælpekortpakker efter oprettelse"
"Change Avatar", "Skift Avatar"
"Choose an avatar to symbolize this profile", "Vælg en avatar for at symbolisere denne profil"
"My Account", "Min konto"
"Make changes to the owner of this account.", "Foretag ændringer til ejeren af denne konto."
"Your Name", "Dit navn"
"Name of account handler or parent", "Navn på kontoadministrator eller forælder"
"Email Address", "Email adresse"
"We will send updates and analytics", "Vi sender opdateringer og analyser"
"Account ID", "Konto-id"
"This is an unchangeable ID we might ask from you", "Dette er et uforanderligt ID, som vi muligvis beder om fra dig"
"Language", "Sprog"
"Choose the language for app interface and assistive cards", "Vælg sproget til appgrænsefladen og hjælpekort"
"Based On Your Device", "Baseret på din enhed"
"Languages from your native settings", "Sprog fra dine oprindelige indstillinger"
"Supported Languages", "Understøttede sprog"
"All the languages that assistive cards support", "Alle sprog, som hjælpekort understøtter"
"Text-to-Speech Voice", "Tekst-til-tale-stemme"
"Select the text-to-speech voice driver", "Vælg tekst-til-tale stemmedriver"
"Based On Your Location", "Baseret på din placering"
"Voice drivers that match with both your language and location", "Stemmedrivere, der matcher både dit sprog og din placering"
"All Supported Voice Drivers", "Alle understøttede stemmedrivere"
"List of all accents and supported voice drivers for your language", "Liste over alle accenter og understøttede stemmedrivere til dit sprog"
"Notifications", "underretninger"
"Choose when and why you would like to be notified by the app", "Vælg hvornår og hvorfor du vil have besked fra appen"
"Reminders", "Påmindelser"
"We will remind you to use and practice the app", "Vi vil minde dig om at bruge og øve appen"
"Daily Reminders", "Daglige påmindelser"
"We will send you reminder to practice daily", "Vi sender dig påmindelse om at øve dagligt"
"Weekly Reminders", "Ugentlige påmindelser"
"We will send you reminder to practice weekly", "Vi sender dig påmindelse om at øve ugentligt"
"Tips & Promotions", "Tip og kampagner"
"Decide if you like us to send you tips for using the app or new promotions", "Bestem, om du kan lide os til at sende dig tip til brug af appen eller nye kampagner"
"Usability Tips", "Tips til brugervenlighed"
"How to effectively use the app", "Sådan bruges appen effektivt"
"Promotions", "Kampagner"
"Let us notify you when we have a discount for the subscription", "Lad os give dig besked, når vi har en rabat på abonnementet"
"Subscriptions", "Abonnementer"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "Administrer dine abonnementer og Leeloo Premium-køb, og skift mellem planer."
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "For at annullere et abonnement skal du gå til din enhed eller markedsindstillinger og abonnementer."
"You can't downgrade your lifetime premium subscription.", "Du kan ikke nedjustere dit livstidspremieabonnement."
"One-time payment", "Engangs betaling"
"Recurring payment", "Tilbagevendende betaling"
"Sign Out", "Log ud"
"Send Feedback", "Send feedback"
"Open Source Licenses", "Open Source-licenser"
"Privacy Policy", "Fortrolighedspolitik"
"Terms of Service", "Servicevilkår"
"Remove My Data", "Fjern mine data"
"Learn how we collect data and ask us to remove the collected data", "Lær hvordan vi indsamler data og beder os om at fjerne de indsamlede data"
"We do not collect Personally Identifiable Information (PII) for kids, minors or intellectually disabled users with appointed guardians.", "Vi indsamler ikke personligt identificerbar information (PII) til børn, mindreårige eller intellektuelt handicappede brugere med udpegede værger."
"Following the guidelines of Children's Online Privacy Protection Act (COPPA), you can ask us to remove all your or your child's anonymous data anytime you want.", "I henhold til retningslinjerne i Børnenes online beskyttelseslov (COPPA) kan du bede os om at fjerne alle dine eller dit barns anonyme data når som helst du ønsker."
"To learn more, read our Privacy Policy in the previous menu.", "For at lære mere skal du læse vores privatlivspolitik i den forrige menu."
"When you ask us to remove your data, we will remove your account and any data we collected about you or your child. Additionaly if you have a subscription, it will be terminated. And removed data will not be recoverable.", "Når du beder os om at fjerne dine data, fjerner vi din konto og alle data, vi har indsamlet om dig eller dit barn. Yderligere, hvis du har et abonnement, afsluttes det. Og fjernede data kan ikke gendannes."
"I understand, remove my data.", "Jeg forstår, fjern mine data."
"Parents Only", "Kun forældre"
"Drag and drop the key over padlock in order to unlock the Settings", "Træk og slip nøglen over hængelåsen for at låse indstillingerne op"
"Create a profile!", "Opret en profil!"
"Choose a profile name or tell us the person who is going to use this application.", "Vælg et profilnavn, eller fortæl os den person, der vil bruge dette program."
"Your Name", "Dit navn"
"Choose an avatar!", "Vælg en avatar!"
"Choose an avatar for the person who is going to use this AAC application.", "Vælg en avatar for den person, der skal bruge denne AAC-applikation."
"Boy", "Dreng"
"Girl", "Pige"
"Mixed", "Blandet"
"Congratulations, $1!", "Tillykke, $1!"
"Your user profile has been completed. You can start using Leeloo AAC app", "Din brugerprofil er afsluttet. Du kan begynde at bruge Leeloo AAC-app"
"Welcome to", "Velkommen til"
"Leeloo AAC", "Leeloo AAC"
"Thank you for downloading Leeloo AAC, let's get started with setting up your leeloo profile.", "Tak, fordi du downloadede Leeloo AAC, lad os komme i gang med at oprette din leeloo-profil."
"View other sign in options", "Se andre indlogningsindstillinger"
"Who is using the app?", "Hvem bruger appen?"
"Search cards and phrases...", "Søg kort og sætninger ..."
"Unlock Leeloo Premium!", "Lås Leeloo Premium op!"
"Functionality of Leeloo AAC will always be free. Leeloo Premium offers +50 additional Assistive Card packs.", "Leeloo AAC's funktionalitet vil altid være gratis. Leeloo Premium tilbyder +50 ekstra hjælpekortpakker."
"Monthly", "Månedlige"
"Try 3 days for FREE", "Prøv 3 dage GRATIS"
"Then $1/year", "Derefter $1 / år"
"Lifetime", "Livstid"
"One-time Payment", "Engangs betaling"
"SAVE $1%", "SPAR $1%"
"$1/mo", "$1 / mo"
"See the packs you will unlock", "Se de pakker, du vil låse op"
"Scroll the cards right to see all of the premium assistive cards.", "Rul kortene til højre for at se alle premium-hjælpekort."
"$1 cards", "$1 kort"
"$1 phrases", "$1 sætninger"
"Start 3 days FREE Trial", "Start 3 dage GRATIS prøve"
"Cancel anytime without cost", "Annuller når som helst uden omkostninger"
"Free trial for 3 days only appy to yearly plan and during this time; you can cancel your subscription without any cost.", "Gratis prøveperiode i 3 dage gælder kun for årlig plan og i løbet af denne periode; Du kan annullere dit abonnement uden omkostninger."
"Make sure to review the seller platform Terms and Conditions before hand, if you have any problems or issues contact us and we will do everything we can to solve any problems you face.", "Sørg for at gennemgå sælgerplatformens vilkår og betingelser inden hånden, hvis du har problemer eller problemer, kontakt os, og vi vil gøre alt, hvad vi kan for at løse eventuelle problemer, du står over for."
"Monthly and Yearly plans are recurring plans and Lifetime plan is a one-time payment plan, for subscriptions, unless auto-renew is turned off you will be charged the period price when the current period ends.", "Månedlige og årlige planer er tilbagevendende planer, og levetidsplanen er en engangsplan for abonnementer, medmindre automatisk fornyelse er slået fra, vil du blive opkrævet periodens pris, når den aktuelle periode udløber."
"Keep in mind refunds are handled by the platforms and the refund times and policies might differ respect to the platform and the market you are subscribing from.", "Husk at restitutioner håndteres af platformene, og refusionstiderne og politikkerne kan variere med hensyn til platformen og det marked, du abonnerer på."
"Please report accidental purchases to us the same day or at least in 24 hours using 'Send Feedback' page in App settings.", "Rapporter utilsigtede køb til os samme dag eller mindst inden for 24 timer ved hjælp af siden 'Send feedback' i appindstillinger."
"Leeloo Premium", "Leeloo Premium"
"Subscribe to get more", "Abonner for at få mere"
