"Leeloo", "Leeloo"
"Hello $1", "Hallo $1"
"$1 packs", "$1-Packs"
"$1 cards", "$1 Karten"
"ACTIVE", "AKTIV"
"This is a test voice!", "Dies ist eine Teststimme!"
"New Profile", "Neues Profil"
"Create a new application user profile.", "Erstellen Sie ein neues Anwendungsbenutzerprofil."
"Profile Name", "Profilname"
"You can give your child's name", "Sie können den Namen Ihres Kindes angeben"
"Profile Avatar", "Profil Avatar"
"Choose an avatar that looks like the user of this profile", "Wählen Sie einen Avatar, der dem Benutzer dieses Profils ähnelt"
"Assistive Cards Packs", "Hilfskartenpakete"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Wir werden Standardkarten für dieses Profil festlegen. Sie können die Hilfskartenpakete nach dem Erstellen hinzufügen oder entfernen"
"Change Avatar", "Avatar ändern"
"Choose an avatar to symbolize this profile", "Wählen Sie einen Avatar, um dieses Profil zu symbolisieren"
"My Account", "Mein Konto"
"Make changes to the owner of this account.", "Nehmen Sie Änderungen am Eigentümer dieses Kontos vor."
"Your Name", "Dein Name"
"Name of account handler or parent", "Name des Account-Handlers oder des Elternteils"
"Email Address", "E-Mail-Addresse"
"We will send updates and analytics", "Wir werden Updates und Analysen senden"
"Account ID", "Konto-ID"
"This is an unchangeable ID we might ask from you", "Dies ist eine unveränderliche ID, die wir möglicherweise von Ihnen verlangen"
"Language", "Sprache"
"Choose the language for app interface and assistive cards", "Wählen Sie die Sprache für die App-Oberfläche und die Hilfskarten"
"Based On Your Device", "Basierend auf Ihrem Gerät"
"Languages from your native settings", "Sprachen aus Ihren nativen Einstellungen"
"Supported Languages", "Unterstützte Sprachen"
"All the languages that assistive cards support", "Alle Sprachen, die Hilfskarten unterstützen"
"Text-to-Speech Voice", "Text-zu-Sprache-Stimme"
"Select the text-to-speech voice driver", "Wählen Sie den Text-zu-Sprache-Sprachtreiber aus"
"Based On Your Location", "Basierend auf Ihrem Standort"
"Voice drivers that match with both your language and location", "Sprachtreiber, die sowohl Ihrer Sprache als auch Ihrem Standort entsprechen"
"All Supported Voice Drivers", "Alle unterstützten Sprachtreiber"
"List of all accents and supported voice drivers for your language", "Liste aller Akzente und unterstützten Sprachtreiber für Ihre Sprache"
"Notifications", "Benachrichtigungen"
"Choose when and why you would like to be notified by the app", "Wählen Sie aus, wann und warum Sie von der App benachrichtigt werden möchten"
"Reminders", "Erinnerungen"
