"Leeloo", "Leeloo"
"Hello $1", "Γεια σας $1"
"$1 packs", "Πακέτα $1"
"$1 cards", "Κάρτες $1"
"ACTIVE", "ΕΝΕΡΓΟΣ"
"This is a test voice!", "Αυτή είναι μια δοκιμαστική φωνή!"
"New Profile", "Νέο προφίλ"
"Create a new application user profile.", "Δημιουργήστε ένα νέο προφίλ χρήστη εφαρμογής."
"Profile Name", "Ονομα προφίλ"
"You can give your child's name", "Μπορείτε να δώσετε το όνομα του παιδιού σας"
"Profile Avatar", "Avatar προφίλ"
"Choose an avatar that looks like the user of this profile", "Επιλέξτε ένα avatar που μοιάζει με τον χρήστη αυτού του προφίλ"
"Assistive Cards Packs", "Πακέτα βοηθητικών καρτών"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Θα ορίσουμε προεπιλεγμένες κάρτες για αυτό το προφίλ. Μπορείτε να προσθέσετε ή να αφαιρέσετε τα πακέτα βοηθητικών καρτών μετά τη δημιουργία"
"Change Avatar", "Αλλαγή Avatar"
"Choose an avatar to symbolize this profile", "Επιλέξτε ένα avatar για να συμβολίσετε αυτό το προφίλ"
"My Account", "Ο λογαριασμός μου"
"Make changes to the owner of this account.", "Πραγματοποιήστε αλλαγές στον κάτοχο αυτού του λογαριασμού."
"Your Name", "Το όνομα σου"
"Name of account handler or parent", "Όνομα διαχειριστή λογαριασμού ή γονέα"
"Email Address", "Διεύθυνση ηλεκτρονικού ταχυδρομείου"
"We will send updates and analytics", "Θα στείλουμε ενημερώσεις και αναλυτικά στοιχεία"
"Account ID", "Αναγνωριστικό λογαριασμού"
"This is an unchangeable ID we might ask from you", "Αυτό είναι ένα αμετάβλητο αναγνωριστικό που μπορεί να σας ζητήσουμε"
"Language", "Γλώσσα"
"Choose the language for app interface and assistive cards", "Επιλέξτε τη γλώσσα για τη διεπαφή εφαρμογών και τις βοηθητικές κάρτες"
"Based On Your Device", "Βασίζεται στη συσκευή σας"
"Languages from your native settings", "Γλώσσες από τις εγγενείς ρυθμίσεις σας"
"Supported Languages", "Υποστηριζόμενες γλώσσες"
"All the languages that assistive cards support", "Όλες οι γλώσσες που υποστηρίζουν οι βοηθητικές κάρτες"
"Text-to-Speech Voice", "Φωνή κειμένου σε ομιλία"
"Select the text-to-speech voice driver", "Επιλέξτε το πρόγραμμα οδήγησης φωνής κειμένου σε ομιλία"
"Based On Your Location", "Με βάση την τοποθεσία σας"
"Voice drivers that match with both your language and location", "Προγράμματα οδήγησης φωνής που ταιριάζουν με τη γλώσσα και την τοποθεσία σας"
"All Supported Voice Drivers", "Όλα τα υποστηριζόμενα προγράμματα οδήγησης φωνής"
"List of all accents and supported voice drivers for your language", "Λίστα όλων των τόνων και υποστηριζόμενων προγραμμάτων οδήγησης φωνής για τη γλώσσα σας"
"Notifications", "Ειδοποιήσεις"
"Choose when and why you would like to be notified by the app", "Επιλέξτε πότε και γιατί θέλετε να λαμβάνετε ειδοποίηση από την εφαρμογή"
"Reminders", "Υπενθυμίσεις"
"We will remind you to use and practice the app", "Θα σας υπενθυμίσουμε να χρησιμοποιήσετε και να εξασκήσετε την εφαρμογή"
"Daily Reminders", "Καθημερινές υπενθυμίσεις"
