"Leeloo", "Leeloo"
"Hello $1", "Hola $1"
"$1 packs", "Paquetes $1"
"$1 cards", "Tarjetas $1"
"ACTIVE", "ACTIVO"
"This is a test voice!", "Esta es una voz de prueba!"
"New Profile", "Nuevo perfil"
"Create a new application user profile.", "Cree un nuevo perfil de usuario de la aplicación."
"Profile Name", "Nombre de perfil"
"You can give your child's name", "Puedes dar el nombre de tu hijo"
"Profile Avatar", "Avatar de perfil"
"Choose an avatar that looks like the user of this profile", "Elija un avatar que se parezca al usuario de este perfil"
"Assistive Cards Packs", "Paquetes de tarjetas de asistencia"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Estableceremos tarjetas predeterminadas para este perfil. Puede agregar o quitar los paquetes de tarjetas de asistencia después de crear"
"Change Avatar", "Cambiar avatar"
"Choose an avatar to symbolize this profile", "Elige un avatar para simbolizar este perfil"
"My Account", "Mi cuenta"
"Make changes to the owner of this account.", "Haga cambios al propietario de esta cuenta."
"Your Name", "Tu nombre"
"Name of account handler or parent", "Nombre del manejador de cuenta o padre"
"Email Address", "Dirección de correo electrónico"
"We will send updates and analytics", "Enviaremos actualizaciones y análisis."
"Account ID", "ID de la cuenta"
"This is an unchangeable ID we might ask from you", "Esta es una identificación inmutable que podríamos pedirle"
"Language", "Idioma"
"Choose the language for app interface and assistive cards", "Elija el idioma para la interfaz de la aplicación y las tarjetas de asistencia."
"Based On Your Device", "Basado en su dispositivo"
"Languages from your native settings", "Idiomas de su configuración nativa"
"Supported Languages", "Idiomas soportados"
"All the languages that assistive cards support", "Todos los idiomas que admiten tarjetas de asistencia"
"Text-to-Speech Voice", "Voz de texto a voz"
"Select the text-to-speech voice driver", "Seleccione el controlador de voz de texto a voz"
"Based On Your Location", "Basado en su ubicación"
"Voice drivers that match with both your language and location", "Controladores de voz que coinciden con su idioma y ubicación"
"All Supported Voice Drivers", "Todos los controladores de voz compatibles"
"List of all accents and supported voice drivers for your language", "Lista de todos los acentos y controladores de voz compatibles para su idioma"
"Notifications", "Notificaciones"
"Choose when and why you would like to be notified by the app", "Elija cuándo y por qué le gustaría recibir notificaciones de la aplicación"
"Reminders", "Recordatorios"
"We will remind you to use and practice the app", "Le recordaremos que use y practique la aplicación."
"Daily Reminders", "Recordatorios diarios"
"We will send you reminder to practice daily", "Le enviaremos un recordatorio para practicar diariamente."
"Weekly Reminders", "Recordatorios semanales"
"We will send you reminder to practice weekly", "Te enviaremos un recordatorio para practicar semanalmente"
"Tips & Promotions", "Consejos y Promociones"
"Decide if you like us to send you tips for using the app or new promotions", "Decide si quieres que te enviemos consejos para usar la aplicación o nuevas promociones"
"Usability Tips", "Consejos de usabilidad"
"How to effectively use the app", "Cómo usar efectivamente la aplicación"
"Promotions", "Promociones"
"Let us notify you when we have a discount for the subscription", "Permítanos notificarle cuando tengamos un descuento para la suscripción"
"Subscriptions", "Suscripciones"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "Administre sus suscripciones y compras de Leeloo Premium y cambie entre planes."
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "Para cancelar una suscripción, vaya a su dispositivo o configuración de mercado y suscripciones."
"You can't downgrade your lifetime premium subscription.", "No puede degradar su suscripción premium de por vida."
"One-time payment", "Pago único"
"Recurring payment", "Pago recurrente"
"Sign Out", "Desconectar"
"Send Feedback", "Enviar comentarios"
"Open Source Licenses", "Licencias de código abierto"
"Privacy Policy", "Política de privacidad"
