"Leeloo", "Leeloo"
"Hello $1", "Tere, $1!"
"$1 packs", "$1 pakid"
"$1 cards", "$1 kaardid"
"ACTIVE", "AKTIIVNE"
"This is a test voice!", "See on proovihääl!"
"New Profile", "Uus profiil"
"Create a new application user profile.", "Uue rakenduse kasutajaprofiili loomine."
"Profile Name", "Profiili nimi"
"You can give your child's name", "Võite anda oma lapse nime"
"Profile Avatar", "Profiili avatari"
"Choose an avatar that looks like the user of this profile", "Valige avatari, mis näeb välja nagu selle profiili kasutaja"
"Assistive Cards Packs", "Abikaartide pakid"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Valime selle profiili jaoks vaikimisi kaardid. Pärast loomist saate abistavaid kaardipakke lisada või eemaldada"
"Change Avatar", "Muuda avatari"
"Choose an avatar to symbolize this profile", "Valige selle profiili sümboliseerimiseks avatari"
"My Account", "Minu konto"
"Make changes to the owner of this account.", "Muutke selle konto omanikku."
"Your Name", "Sinu nimi"
"Name of account handler or parent", "Konto töötleja või vanema nimi"
"Email Address", "E-posti aadress"
"We will send updates and analytics", "Saadame värskendusi ja analüütikat"
"Account ID", "Konto ID"
"This is an unchangeable ID we might ask from you", "See on muutumatu ID, mida võime teilt küsida"
"Language", "Keel"
"Choose the language for app interface and assistive cards", "Valige rakenduse liidese ja abikaartide keel"
"Based On Your Device", "Põhineb teie seadmel"
"Languages from your native settings", "Keeled teie emakeeleseadetest"
"Supported Languages", "Toetatud keeled"
"All the languages that assistive cards support", "Kõik keeled, mida abikaardid toetavad"
"Text-to-Speech Voice", "Hääl tekstist kõneks"
"Select the text-to-speech voice driver", "Valige kõnesünteesi draiver"
"Based On Your Location", "Teie asukoha põhjal"
"Voice drivers that match with both your language and location", "Hääldraiverid, mis vastavad teie keelele ja asukohale"
"All Supported Voice Drivers", "Kõik toetatud hääle draiverid"
"List of all accents and supported voice drivers for your language", "Kõigi oma keele aktsentide ja toetatud hääle draiverite loend"
"Notifications", "Teated"
"Choose when and why you would like to be notified by the app", "Valige, millal ja miks soovite, et rakendus teid teavitaks"
"Reminders", "Meeldetuletused"
"We will remind you to use and practice the app", "Tuletame meelde, et peaksite rakendust kasutama ja harjutama"
"Daily Reminders", "Igapäevased meeldetuletused"
"We will send you reminder to practice daily", "Saadame teile meeldetuletuse harjutamiseks iga päev"
"Weekly Reminders", "Nädala meeldetuletused"
"We will send you reminder to practice weekly", "Saadame teile kord nädalas meeldetuletuse harjutamise kohta"
"Tips & Promotions", "Näpunäited ja tutvustused"
"Decide if you like us to send you tips for using the app or new promotions", "Otsustage, kas teile meeldib, kui saadame teile näpunäiteid rakenduse kasutamiseks või uusi tutvustusi"
"Usability Tips", "Kasutatavuse näpunäited"
"How to effectively use the app", "Kuidas rakendust tõhusalt kasutada?"
"Promotions", "Kampaaniad"
"Let us notify you when we have a discount for the subscription", "Andke teile teada, kui meil on tellimusele allahindlust"
"Subscriptions", "Tellimused"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "Hallake oma tellimusi ja Leeloo Premiumi oste ning vahetage plaanide vahel."
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "Tellimuse tühistamiseks minge oma seadme või turuseadete ja tellimuste juurde."
"You can't downgrade your lifetime premium subscription.", "Eluaegse lisatasu tellimust ei saa madalamaks muuta."
"One-time payment", "Ühekordne makse"
"Recurring payment", "Korduv makse"
"Sign Out", "Logi välja"
"Send Feedback", "Saada tagasisidet"
"Open Source Licenses", "Avatud lähtekoodiga litsentsid"
"Privacy Policy", "Privaatsuspoliitika"
"Terms of Service", "Kasutustingimused"
"Remove My Data", "Eemalda Minu andmed"
"Learn how we collect data and ask us to remove the collected data", "Siit saate teada, kuidas andmeid kogume, ja paluda meil kogutud andmed eemaldada"
"We do not collect Personally Identifiable Information (PII) for kids, minors or intellectually disabled users with appointed guardians.", "Me ei kogu isiklikku tuvastamist võimaldavat teavet laste, alaealiste või intellektipuudega kasutajate jaoks koos hooldajatega."
"Following the guidelines of Children's Online Privacy Protection Act (COPPA), you can ask us to remove all your or your child's anonymous data anytime you want.", "Laste eraelu puutumatuse kaitse seaduse (COPPA) juhiseid järgides võite paluda meil igal ajal eemaldada kõik teie või teie lapse anonüümsed andmed."
"To learn more, read our Privacy Policy in the previous menu.", "Lisateabe saamiseks lugege eelmises menüüs meie privaatsuseeskirju."
"When you ask us to remove your data, we will remove your account and any data we collected about you or your child. Additionaly if you have a subscription, it will be terminated. And removed data will not be recoverable.", "Kui palute meil eemaldada teie andmed, eemaldame teie konto ja kõik teie või teie lapse kohta kogutud andmed. Lisaks, kui teil on tellimus, siis see lõpetatakse. Ja eemaldatud andmeid ei saa taastada."
"I understand, remove my data.", "Ma saan aru, eemaldan oma andmed."
"Parents Only", "Ainult vanemad"
"Drag and drop the key over padlock in order to unlock the Settings", "Seadete avamiseks lohistage klahv tabaluku kohal"
"Create a profile!", "Looge profiil!"
"Choose a profile name or tell us the person who is going to use this application.", "Valige profiilinimi või öelge meile inimene, kes seda rakendust kasutama hakkab."
"Your Name", "Sinu nimi"
"Choose an avatar!", "Valige avatari!"
"Choose an avatar for the person who is going to use this AAC application.", "Valige avatari inimesele, kes hakkab seda AAC-rakendust kasutama."
"Boy", "Poiss"
"Girl", "Tüdruk"
"Mixed", "Segatud"
"Congratulations, $1!", "Palju õnne, $1!"
"Your user profile has been completed. You can start using Leeloo AAC app", "Teie kasutajaprofiil on valmis. Võite hakata kasutama Leeloo AAC rakendust"
"Welcome to", "Tere tulemast"
"Leeloo AAC", "Leeloo AAC"
"Thank you for downloading Leeloo AAC, let's get started with setting up your leeloo profile.", "Täname, et laadisite alla Leeloo AAC-i. Alustame oma leeloo profiili seadistamist."
"View other sign in options", "Vaadake teisi sisselogimisvalikuid"
"Who is using the app?", "Kes seda rakendust kasutab?"
"Search cards and phrases...", "Otsige kaarte ja fraase ..."
"Unlock Leeloo Premium!", "Avage Leeloo Premium!"
"Functionality of Leeloo AAC will always be free. Leeloo Premium offers +50 additional Assistive Card packs.", "Leeloo AAC funktsionaalsus on alati tasuta. Leeloo Premium pakub +50 lisakaardi lisapakki."
"Monthly", "Igakuine"
"Try 3 days for FREE", "Proovige 3 päeva TASUTA"
"Then $1/year", "Siis $1 / aastas"
"Lifetime", "Eluaeg"
"One-time Payment", "Ühekordne makse"
"SAVE $1%", "Salvesta $1%"
"$1/mo", "$1 / kuu"
"See the packs you will unlock", "Vaadake pakke, mille avate"
"Scroll the cards right to see all of the premium assistive cards.", "Kerige kaarte paremale, et näha kõiki premium-kaarte."
"$1 cards", "$1 kaardid"
"$1 phrases", "$1 laused"
"Start 3 days FREE Trial", "Alustage 3 päeva TASUTA prooviversiooni"
"Cancel anytime without cost", "Tühistage igal ajal tasuta"
"Free trial for 3 days only appy to yearly plan and during this time; you can cancel your subscription without any cost.", "3-päevane tasuta prooviperiood vastavalt aastaplaanile ja selle aja jooksul; saate tellimuse tasuta tühistada."
"Make sure to review the seller platform Terms and Conditions before hand, if you have any problems or issues contact us and we will do everything we can to solve any problems you face.", "Kui teil on probleeme või probleeme, võtke meiega kindlasti enne müüja platvormi nõudeid ja tingimusi üle ning võtke meiega ühendust ja teeme kõik endast oleneva, et teie probleemid lahendada."
"Monthly and Yearly plans are recurring plans and Lifetime plan is a one-time payment plan, for subscriptions, unless auto-renew is turned off you will be charged the period price when the current period ends.", "Kuuplaanid ja aastaplaanid on korduvad plaanid ning eluaegne plaan on tellimuste ühekordne makseplaan, välja arvatud juhul, kui automaatne uuendamine on välja lülitatud, küsitakse perioodi hinda praeguse perioodi lõppedes."
"Keep in mind refunds are handled by the platforms and the refund times and policies might differ respect to the platform and the market you are subscribing from.", "Pidage meeles, et tagasimakseid käsitlevad platvormid ning tagasimakse aeg ja eeskirjad võivad teie platvormi ja turu järgi erineda."
"Please report accidental purchases to us the same day or at least in 24 hours using 'Send Feedback' page in App settings.", "Teatage juhuslikest ostudest meile samal päeval või vähemalt 24 tunni jooksul, kasutades rakenduse seadetes lehte 'Tagasiside saatmine'."
"Leeloo Premium", "Leeloo Premium"
"Subscribe to get more", "Liituge, et saada rohkem"
"Try 3 days for free", "Proovige 3 päeva tasuta"
"Next", "Järgmine"
"Start", "Alusta"
"USE", "KASUTAMINE"
"USING", "KASUTAMINE"
"ADD", "LISAMA"
"REMOVE", "EEMALDA"
"Your device doesn't support voice driver for this language. In order to use TTS capabilities, you need to install a voice driver. You can try 'Google TTS' app to install and manage drivers!", "Teie seade ei toeta selle keele hääldraiverit. TTS-i võimaluste kasutamiseks peate installima hääle draiveri. Draiverite installimiseks ja haldamiseks võite proovida rakendust Google TTS."
"Confirm Sign Out", "Kinnitage väljalogimine"
"Keep in mind you can keep signed in, and don't have to sign out of your account every time.", "Pidage meeles, et saate sisse logida ja te ei pea iga kord oma kontolt välja logima."
"Remove Profile", "Eemalda profiil"
"Are you sure that you want to remove this profile, data created by this profile will also be removed.", "Kas olete kindel, et soovite selle profiili eemaldada, eemaldatakse ka selle profiili loodud andmed."
"OK", "Okei"
"Cancel", "Tühista"
