"Leeloo", "Leeloo"
"Hello $1", "Hei $1"
"$1 packs", "$1-pakkaukset"
"$1 cards", "$1-kortit"
"ACTIVE", "ACTIVE"
"This is a test voice!", "Tämä on testiääni!"
"New Profile", "Uusi profiili"
"Create a new application user profile.", "Luo uusi sovelluksen käyttäjäprofiili."
"Profile Name", "Profiili nimi"
"You can give your child's name", "Voit antaa lapsellesi nimen"
"Profile Avatar", "Profiilin avatar"
"Choose an avatar that looks like the user of this profile", "Valitse avatar, joka näyttää tämän profiilin käyttäjältä"
"Assistive Cards Packs", "Apukorttipaketit"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Asetamme oletuskortit tälle profiilille. Voit lisätä tai poistaa apukorttipaketteja luomisen jälkeen"
"Change Avatar", "Vaihda avatar"
"Choose an avatar to symbolize this profile", "Valitse tunnuskuva tämän profiilin symboloimiseksi"
"My Account", "Tilini"
"Make changes to the owner of this account.", "Tee muutokset tämän tilin omistajaan."
"Your Name", "Sinun nimesi"
"Name of account handler or parent", "Tilinhoitajan tai vanhemman nimi"
"Email Address", "Sähköpostiosoite"
"We will send updates and analytics", "Lähetämme päivityksiä ja analytiikkaa"
"Account ID", "Tilin tunnus"
"This is an unchangeable ID we might ask from you", "Tämä on muuttumaton henkilöllisyystodistus, jota voimme kysyä sinulta"
"Language", "Kieli"
"Choose the language for app interface and assistive cards", "Valitse sovellusliittymän ja apukorttien kieli"
"Based On Your Device", "Perustuu laitteeseesi"
"Languages from your native settings", "Alkuperäisten asetusten kielet"
"Supported Languages", "Tuetut kielet"
"All the languages that assistive cards support", "Kaikki kielet, joita avustavat kortit tukevat"
"Text-to-Speech Voice", "Teksti puheeksi -ääni"
"Select the text-to-speech voice driver", "Valitse puheeksi-puheohjain"
"Based On Your Location", "Sijaintisi perusteella"
"Voice drivers that match with both your language and location", "Ääniohjaimet, jotka vastaavat sekä kieltä että sijaintia"
"All Supported Voice Drivers", "Kaikki tuetut ääniohjaimet"
"List of all accents and supported voice drivers for your language", "Luettelo kaikista kielesi korostuksista ja tuetuista ääniohjaimista"
"Notifications", "ilmoitukset"
"Choose when and why you would like to be notified by the app", "Valitse, milloin ja miksi haluat sovelluksen ilmoituksen"
"Reminders", "muistutuksia"
"We will remind you to use and practice the app", "Muistutamme sinua käyttämään ja harjoittamaan sovellusta"
"Daily Reminders", "Päivittäiset muistutukset"
"We will send you reminder to practice daily", "Lähetämme sinulle muistutuksen harjoitteluun päivittäin"
"Weekly Reminders", "Viikoittaiset muistutukset"
"We will send you reminder to practice weekly", "Lähetämme sinulle muistutuksen harjoitteluun viikoittain"
"Tips & Promotions", "Vinkkejä ja tarjouksia"
"Decide if you like us to send you tips for using the app or new promotions", "Päätä, haluatko lähettää sinulle vinkkejä sovelluksen käyttämiseen tai uusia tarjouksia"
"Usability Tips", "Käytettävyysvinkit"
"How to effectively use the app", "Kuinka käyttää sovellusta tehokkaasti"
"Promotions", "tarjouksia"
"Let us notify you when we have a discount for the subscription", "Kerro meille, kun meillä on alennus tilauksesta"
"Subscriptions", "Tilaukset"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "Hallitse tilauksiasi ja Leeloo Premium -ostoksia ja vaihda suunnitelmien välillä."
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "Voit peruuttaa tilauksen siirtymällä laitteen tai markkinoiden asetuksiin ja tilauksiin."
"You can't downgrade your lifetime premium subscription.", "Et voi alentaa elinikäisen premium-tilaustasi."
"One-time payment", "Kertamaksu"
"Recurring payment", "Toistuva maksu"
