"Leeloo", "Leeloo"
"Hello $1", "Bonjour $1"
"$1 packs", "Packs $1"
"$1 cards", "Cartes $1"
"ACTIVE", "ACTIF"
"This is a test voice!", "Ceci est une voix d'essai!"
"New Profile", "Nouveau profile"
"Create a new application user profile.", "Créez un nouveau profil utilisateur d'application."
"Profile Name", "Nom de profil"
"You can give your child's name", "Vous pouvez donner le nom de votre enfant"
"Profile Avatar", "Avatar de profil"
"Choose an avatar that looks like the user of this profile", "Choisissez un avatar qui ressemble à l'utilisateur de ce profil"
"Assistive Cards Packs", "Packs de cartes d'assistance"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Nous définirons des cartes par défaut pour ce profil. Vous pouvez ajouter ou supprimer les packs de cartes d'assistance après avoir créé"
"Change Avatar", "Changer d'avatar"
"Choose an avatar to symbolize this profile", "Choisissez un avatar pour symboliser ce profil"
"My Account", "Mon compte"
"Make changes to the owner of this account.", "Apportez des modifications au propriétaire de ce compte."
"Your Name", "votre nom"
"Name of account handler or parent", "Nom du gestionnaire de compte ou du parent"
"Email Address", "Adresse électronique"
"We will send updates and analytics", "Nous enverrons des mises à jour et des analyses"
"Account ID", "identifiant de compte"
"This is an unchangeable ID we might ask from you", "Ceci est une pièce d'identité immuable que nous pourrions vous demander"
"Language", "Langue"
"Choose the language for app interface and assistive cards", "Choisissez la langue de l'interface de l'application et des cartes d'assistance"
"Based On Your Device", "Basé sur votre appareil"
"Languages from your native settings", "Langues de vos paramètres natifs"
"Supported Languages", "Langues prises en charge"
"All the languages that assistive cards support", "Toutes les langues prises en charge par les cartes d'assistance"
"Text-to-Speech Voice", "Synthèse vocale"
"Select the text-to-speech voice driver", "Sélectionnez le pilote vocal de synthèse vocale"
"Based On Your Location", "Basé sur votre emplacement"
"Voice drivers that match with both your language and location", "Pilotes vocaux qui correspondent à la fois à votre langue et à votre emplacement"
"All Supported Voice Drivers", "Tous les pilotes vocaux pris en charge"
"List of all accents and supported voice drivers for your language", "Liste de tous les accents et pilotes vocaux pris en charge pour votre langue"
"Notifications", "Notifications"
"Choose when and why you would like to be notified by the app", "Choisissez quand et pourquoi vous souhaitez être averti par l'application"
"Reminders", "Rappels"
"We will remind you to use and practice the app", "Nous vous rappellerons d'utiliser et de pratiquer l'application"
"Daily Reminders", "Rappels quotidiens"
"We will send you reminder to practice daily", "Nous vous enverrons un rappel de pratiquer quotidiennement"
"Weekly Reminders", "Rappels hebdomadaires"
"We will send you reminder to practice weekly", "Nous vous enverrons un rappel de pratiquer chaque semaine"
"Tips & Promotions", "Conseils et promotions"
"Decide if you like us to send you tips for using the app or new promotions", "Décidez si vous souhaitez que nous vous envoyions des conseils pour utiliser l'application ou de nouvelles promotions"
"Usability Tips", "Conseils d'utilisation"
"How to effectively use the app", "Comment utiliser efficacement l'application"
"Promotions", "Les promotions"
"Let us notify you when we have a discount for the subscription", "Laissez-nous vous informer lorsque nous avons un rabais sur l'abonnement"
"Subscriptions", "Abonnements"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "Gérez vos abonnements et achats Leeloo Premium et basculez entre les plans."
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "Pour annuler un abonnement, accédez aux paramètres et abonnements de votre appareil ou du marché."
"You can't downgrade your lifetime premium subscription.", "Vous ne pouvez pas rétrograder votre abonnement premium à vie."
"One-time payment", "Paiement unique"
"Recurring payment", "Paiement récurrent"
"Sign Out", "Déconnexion"
"Send Feedback", "Envoyer des commentaires"
"Open Source Licenses", "Licences Open Source"
"Privacy Policy", "Politique de confidentialité"
"Terms of Service", "Conditions d'utilisation"
"Remove My Data", "Supprimer mes données"
"Learn how we collect data and ask us to remove the collected data", "Découvrez comment nous collectons des données et demandez-nous de supprimer les données collectées"
"We do not collect Personally Identifiable Information (PII) for kids, minors or intellectually disabled users with appointed guardians.", "Nous ne collectons pas d'informations personnellement identifiables (PII) pour les enfants, les mineurs ou les utilisateurs intellectuellement handicapés avec des tuteurs désignés."
"Following the guidelines of Children's Online Privacy Protection Act (COPPA), you can ask us to remove all your or your child's anonymous data anytime you want.", "En suivant les directives de la loi COPPA (Children's Online Privacy Protection Act), vous pouvez nous demander de supprimer toutes vos données anonymes ou celles de votre enfant à tout moment."
"To learn more, read our Privacy Policy in the previous menu.", "Pour en savoir plus, lisez notre politique de confidentialité dans le menu précédent."
"When you ask us to remove your data, we will remove your account and any data we collected about you or your child. Additionaly if you have a subscription, it will be terminated. And removed data will not be recoverable.", "Lorsque vous nous demandez de supprimer vos données, nous supprimons votre compte et toutes les données que nous avons collectées sur vous ou votre enfant. De plus, si vous avez un abonnement, il sera résilié. Et les données supprimées ne seront pas récupérables."
"I understand, remove my data.", "Je comprends, supprime mes données."
"Parents Only", "Parents seulement"
"Drag and drop the key over padlock in order to unlock the Settings", "Glissez et déposez la clé sur le cadenas pour déverrouiller les paramètres"
"Create a profile!", "Créez un profil!"
"Choose a profile name or tell us the person who is going to use this application.", "Choisissez un nom de profil ou dites-nous la personne qui va utiliser cette application."
"Your Name", "votre nom"
"Choose an avatar!", "Choisissez un avatar!"
"Choose an avatar for the person who is going to use this AAC application.", "Choisissez un avatar pour la personne qui va utiliser cette application AAC."
"Boy", "Garçon"
"Girl", "Fille"
"Mixed", "Mixte"
"Congratulations, $1!", "Félicitations, $1!"
"Your user profile has been completed. You can start using Leeloo AAC app", "Votre profil d'utilisateur est terminé. Vous pouvez commencer à utiliser l'application Leeloo AAC"
"Welcome to", "Bienvenue à"
"Leeloo AAC", "Leeloo AAC"
"Thank you for downloading Leeloo AAC, let's get started with setting up your leeloo profile.", "Merci d'avoir téléchargé Leeloo AAC, commençons par configurer votre profil leeloo."
"View other sign in options", "Afficher d'autres options de connexion"
"Who is using the app?", "Qui utilise l'application?"
"Search cards and phrases...", "Rechercher des cartes et des phrases ..."
"Unlock Leeloo Premium!", "Débloquez Leeloo Premium!"
"Functionality of Leeloo AAC will always be free. Leeloo Premium offers +50 additional Assistive Card packs.", "La fonctionnalité de Leeloo AAC sera toujours gratuite. Leeloo Premium propose +50 packs de cartes d'assistance supplémentaires."
"Monthly", "Mensuel"
"Try 3 days for FREE", "Essayez 3 jours GRATUITEMENT"
"Then $1/year", "Puis $1 / an"
"Lifetime", "Durée de vie"
"One-time Payment", "Paiement unique"
"SAVE $1%", "ÉCONOMISEZ $1%"
"$1/mo", "$1 / mo"
"See the packs you will unlock", "Voir les packs que vous débloquerez"
"Scroll the cards right to see all of the premium assistive cards.", "Faites défiler les cartes vers la droite pour voir toutes les cartes d'assistance premium."
"$1 cards", "Cartes $1"
"$1 phrases", "Phrases $1"
"Start 3 days FREE Trial", "Commencez 3 jours d'essai GRATUIT"
"Cancel anytime without cost", "Annuler à tout moment sans frais"
"Free trial for 3 days only appy to yearly plan and during this time; you can cancel your subscription without any cost.", "Essai gratuit pendant 3 jours uniquement sur le plan annuel et pendant cette période; vous pouvez annuler votre abonnement sans frais."
"Make sure to review the seller platform Terms and Conditions before hand, if you have any problems or issues contact us and we will do everything we can to solve any problems you face.", "Assurez-vous de consulter les conditions générales de la plateforme du vendeur au préalable, si vous avez des problèmes ou des problèmes, contactez-nous et nous ferons tout notre possible pour résoudre les problèmes que vous rencontrez."
"Monthly and Yearly plans are recurring plans and Lifetime plan is a one-time payment plan, for subscriptions, unless auto-renew is turned off you will be charged the period price when the current period ends.", "Les plans mensuels et annuels sont des plans récurrents et le plan à vie est un plan de paiement unique, pour les abonnements, sauf si le renouvellement automatique est désactivé, le prix de la période vous sera facturé à la fin de la période en cours."
"Keep in mind refunds are handled by the platforms and the refund times and policies might differ respect to the platform and the market you are subscribing from.", "Gardez à l'esprit que les remboursements sont gérés par les plates-formes et les délais et politiques de remboursement peuvent différer en fonction de la plate-forme et du marché auquel vous vous abonnez."
"Please report accidental purchases to us the same day or at least in 24 hours using 'Send Feedback' page in App settings.", "Veuillez nous signaler les achats accidentels le même jour ou au moins dans les 24 heures à l'aide de la page "Envoyer des commentaires" dans les paramètres de l'application."
"Leeloo Premium", "Leeloo Premium"
"Subscribe to get more", "Abonnez-vous pour en savoir plus"
"Try 3 days for free", "Essayez 3 jours gratuitement"
"Next", "Prochain"
"Start", "Début"
"USE", "UTILISATION"
"USING", "EN UTILISANT"
"ADD", "AJOUTER"
"REMOVE", "RETIRER"
"Your device doesn't support voice driver for this language. In order to use TTS capabilities, you need to install a voice driver. You can try 'Google TTS' app to install and manage drivers!", "Votre appareil ne prend pas en charge le pilote vocal pour cette langue. Pour utiliser les capacités TTS, vous devez installer un pilote vocal. Vous pouvez essayer l'application «Google TTS» pour installer et gérer les pilotes!"
"Confirm Sign Out", "Confirmer la déconnexion"
"Keep in mind you can keep signed in, and don't have to sign out of your account every time.", "N'oubliez pas que vous pouvez rester connecté et ne pas avoir à vous déconnecter de votre compte à chaque fois."
"Remove Profile", "Supprimer le profil"
"Are you sure that you want to remove this profile, data created by this profile will also be removed.", "Êtes-vous sûr de vouloir supprimer ce profil, les données créées par ce profil seront également supprimées."
"OK", "D'accord"
"Cancel", "Annuler"
