"Leeloo", "Leeloo"
"Hello $1", "Helló $1!"
"$1 packs", "$1 csomagok"
"$1 cards", "$1 kártyák"
"ACTIVE", "AKTÍV"
"This is a test voice!", "Ez egy teszthang!"
"New Profile", "Új profil"
"Create a new application user profile.", "Hozzon létre egy új felhasználói felhasználói profilt."
"Profile Name", "Profil név"
"You can give your child's name", "Adhatja meg gyermekének nevét"
"Profile Avatar", "Profil Avatár"
"Choose an avatar that looks like the user of this profile", "Válasszon egy avatárt, amely úgy néz ki, mint a profil felhasználói"
"Assistive Cards Packs", "Segédkártya-csomagok"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Alapértelmezett kártyákat állítunk be ehhez a profilhoz. A létrehozást követően hozzáadhatja vagy eltávolíthatja a segítő kártyacsomagokat"
"Change Avatar", "Change Avatar"
"Choose an avatar to symbolize this profile", "Válasszon egy avatárt, hogy szimbolizálja ezt a profilt"
"My Account", "Az én fiókom"
"Make changes to the owner of this account.", "Változtassa meg a fiók tulajdonosát."
"Your Name", "A neved"
"Name of account handler or parent", "A számlakezelő vagy a szülő neve"
"Email Address", "Email cím"
"We will send updates and analytics", "Küldünk frissítéseket és elemzéseket"
"Account ID", "felhasználónév"
"This is an unchangeable ID we might ask from you", "Ezt egy megváltoztathatatlan azonosítót kérhetjük tőled"
"Language", "Nyelv"
"Choose the language for app interface and assistive cards", "Válassza ki az alkalmazási felület és a segítő kártyák nyelvét"
"Based On Your Device", "Az eszközön alapul"
"Languages from your native settings", "Nyelvek a natív beállításokból"
"Supported Languages", "Támogatott nyelvek"
"All the languages that assistive cards support", "Az összes nyelv, amelyet a segítő kártyák támogatnak"
"Text-to-Speech Voice", "Szövegfelolvasó hang"
"Select the text-to-speech voice driver", "Válassza ki a szöveg-beszéd hangmeghajtót"
"Based On Your Location", "Helyed alapján"
"Voice drivers that match with both your language and location", "Hangvezérlők, amelyek megegyeznek az Ön nyelvével és tartózkodási helyével egyaránt"
"All Supported Voice Drivers", "Minden támogatott hangmeghajtó"
"List of all accents and supported voice drivers for your language", "Az Ön nyelvéhez tartozó összes kiemelő és támogatott hangmeghajtó felsorolása"
"Notifications", "értesítések"
"Choose when and why you would like to be notified by the app", "Válassza ki, hogy mikor és miért szeretne értesítést kapni az alkalmazás"
"Reminders", "Emlékeztetők"
"We will remind you to use and practice the app", "Emlékeztetjük Önt az alkalmazás használatára és gyakorlására"
"Daily Reminders", "Napi emlékeztetők"
"We will send you reminder to practice daily", "Naponta küldünk emlékeztetőt a gyakorlásra"
"Weekly Reminders", "Heti emlékeztetők"
"We will send you reminder to practice weekly", "Emlékeztetőt küldünk Önnek a gyakorláshoz hetente"
"Tips & Promotions", "Tippek és promóciók"
"Decide if you like us to send you tips for using the app or new promotions", "Döntse el, hogy szeret-e minket, és tippeket küld az alkalmazás használatához vagy új promóciókhoz"
"Usability Tips", "Használhatósági tippek"
"How to effectively use the app", "Hogyan lehet hatékonyan használni az alkalmazást"
"Promotions", "akciók"
