"Leeloo", "Leeloo"
"Hello $1", "Ciao $1"
"$1 packs", "Pacchetti $1"
"$1 cards", "Carte $1"
"ACTIVE", "ATTIVO"
"This is a test voice!", "Questa è una voce di prova!"
"New Profile", "Nuovo profilo"
"Create a new application user profile.", "Crea un nuovo profilo utente dell'applicazione."
"Profile Name", "Nome del profilo"
"You can give your child's name", "Puoi dare il nome a tuo figlio"
"Profile Avatar", "Avatar profilo"
"Choose an avatar that looks like the user of this profile", "Scegli un avatar che assomigli all'utente di questo profilo"
"Assistive Cards Packs", "Pacchetti di carte assistive"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Imposteremo le carte predefinite per questo profilo. È possibile aggiungere o rimuovere i pacchetti di carte assistive dopo la creazione"
"Change Avatar", "Cambia avatar"
"Choose an avatar to symbolize this profile", "Scegli un avatar per simboleggiare questo profilo"
"My Account", "Il mio account"
"Make changes to the owner of this account.", "Apporta modifiche al proprietario di questo account."
"Your Name", "Il tuo nome"
"Name of account handler or parent", "Nome del gestore dell'account o del genitore"
"Email Address", "Indirizzo email"
"We will send updates and analytics", "Invieremo aggiornamenti e analisi"
"Account ID", "Account ID"
"This is an unchangeable ID we might ask from you", "Questo è un ID immutabile che potremmo chiederti"
"Language", "linguaggio"
"Choose the language for app interface and assistive cards", "Scegli la lingua per l'interfaccia dell'app e le carte assistive"
"Based On Your Device", "Basato sul tuo dispositivo"
"Languages from your native settings", "Lingue dalle tue impostazioni native"
"Supported Languages", "Lingue supportate"
"All the languages that assistive cards support", "Tutte le lingue che supportano le carte assistive"
"Text-to-Speech Voice", "Voce di sintesi vocale"
"Select the text-to-speech voice driver", "Seleziona il driver vocale di sintesi vocale"
"Based On Your Location", "Basato sulla tua posizione"
"Voice drivers that match with both your language and location", "Driver vocali che corrispondono alla tua lingua e posizione"
"All Supported Voice Drivers", "Tutti i driver vocali supportati"
"List of all accents and supported voice drivers for your language", "Elenco di tutti gli accenti e driver vocali supportati per la tua lingua"
"Notifications", "notifiche"
"Choose when and why you would like to be notified by the app", "Scegli quando e perché desideri ricevere una notifica dall'app"
"Reminders", "promemoria"
"We will remind you to use and practice the app", "Ti ricorderemo di usare e praticare l'app"
"Daily Reminders", "Promemoria giornalieri"
"We will send you reminder to practice daily", "Ti invieremo un promemoria per esercitarti ogni giorno"
"Weekly Reminders", "Promemoria settimanali"
"We will send you reminder to practice weekly", "Ti invieremo un promemoria per esercitarti settimanalmente"
"Tips & Promotions", "Suggerimenti e promozioni"
"Decide if you like us to send you tips for using the app or new promotions", "Decidi se ti piace che ti inviamo suggerimenti per l'utilizzo dell'app o di nuove promozioni"
"Usability Tips", "Suggerimenti per l'usabilità"
"How to effectively use the app", "Come utilizzare in modo efficace l'app"
"Promotions", "promozioni"
"Let us notify you when we have a discount for the subscription", "Lasciati avvisare quando abbiamo uno sconto per l'abbonamento"
"Subscriptions", "Sottoscrizioni"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "Gestisci i tuoi abbonamenti e gli acquisti Leeloo Premium e passa da un piano all'altro."
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "Per annullare un abbonamento, vai al tuo dispositivo o alle impostazioni di mercato e agli abbonamenti."
"You can't downgrade your lifetime premium subscription.", "Non è possibile effettuare il downgrade dell'abbonamento premium a vita."
"One-time payment", "Pagamento unico"
"Recurring payment", "Pagamento ricorrente"
"Sign Out", "Disconnessione"
"Send Feedback", "Invia feedback"
"Open Source Licenses", "Licenze Open Source"
"Privacy Policy", "politica sulla riservatezza"
"Terms of Service", "Termini di servizio"
"Remove My Data", "Rimuovi i miei dati"
"Learn how we collect data and ask us to remove the collected data", "Scopri come raccogliamo i dati e chiedici di rimuovere i dati raccolti"
"We do not collect Personally Identifiable Information (PII) for kids, minors or intellectually disabled users with appointed guardians.", "Non raccogliamo informazioni di identificazione personale (PII) per bambini, minori o utenti con disabilità intellettiva con tutori nominati."
"Following the guidelines of Children's Online Privacy Protection Act (COPPA), you can ask us to remove all your or your child's anonymous data anytime you want.", "Seguendo le linee guida della legge sulla protezione della privacy online (COPPA) dei bambini, puoi chiederci di rimuovere tutti i dati anonimi di tuo figlio o di tuo figlio ogni volta che lo desideri."
"To learn more, read our Privacy Policy in the previous menu.", "Per saperne di più, leggi la nostra Informativa sulla privacy nel menu precedente."
