"Leeloo", "リールー"
"Hello $1", "$1様"
"$1 packs", "$1パック"
"$1 cards", "$1カード"
"ACTIVE", "アクティブ"
"This is a test voice!", "これはテストボイスです！"
"New Profile", "新しいプロフィール"
"Create a new application user profile.", "新しいアプリケーションユーザープロファイルを作成します。"
"Profile Name", "プロファイル名"
"You can give your child's name", "あなたの子供の名前を与えることができます"
"Profile Avatar", "プロフィールアバター"
"Choose an avatar that looks like the user of this profile", "このプロフィールのユーザーのように見えるアバターを選択してください"
"Assistive Cards Packs", "補助カードパック"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "このプロファイルのデフォルトのカードを設定します。作成後に補助カードパックを追加または削除できます"
"Change Avatar", "アバターを変更する"
"Choose an avatar to symbolize this profile", "このプロフィールを象徴するアバターを選択してください"
"My Account", "マイアカウント"
"Make changes to the owner of this account.", "このアカウントの所有者に変更を加えます。"
"Your Name", "あなたの名前"
"Name of account handler or parent", "アカウントハンドラーまたは親の名前"
"Email Address", "電子メールアドレス"
"We will send updates and analytics", "更新と分析を送信します"
"Account ID", "アカウントID"
"This is an unchangeable ID we might ask from you", "これは変更できないIDです。"
"Language", "言語"
"Choose the language for app interface and assistive cards", "アプリのインターフェースと支援カードの言語を選択してください"
"Based On Your Device", "デバイスに基づいて"
"Languages from your native settings", "ネイティブ設定の言語"
"Supported Languages", "サポートされている言語"
"All the languages that assistive cards support", "補助カードがサポートするすべての言語"
"Text-to-Speech Voice", "テキスト読み上げ音声"
"Select the text-to-speech voice driver", "音声合成音声ドライバーを選択します"
"Based On Your Location", "あなたの場所に基づいて"
"Voice drivers that match with both your language and location", "言語と場所の両方に一致する音声ドライバー"
"All Supported Voice Drivers", "サポートされているすべての音声ドライバー"
"List of all accents and supported voice drivers for your language", "あなたの言語のすべてのアクセントとサポートされている音声ドライバーのリスト"
"Notifications", "お知らせ"
"Choose when and why you would like to be notified by the app", "アプリから通知を受け取るタイミングと理由を選択してください"
"Reminders", "リマインダー"
"We will remind you to use and practice the app", "アプリを使用して練習するように通知します"
"Daily Reminders", "毎日のリマインダー"
"We will send you reminder to practice daily", "毎日練習のリマインダーをお送りします"
"Weekly Reminders", "毎週のリマインダー"
"We will send you reminder to practice weekly", "毎週練習するリマインダーをお送りします"
"Tips & Promotions", "ヒントとプロモーション"
"Decide if you like us to send you tips for using the app or new promotions", "アプリを使用するためのヒントや新しいプロモーションを送信するかどうかを決定します"
"Usability Tips", "使いやすさのヒント"
"How to effectively use the app", "アプリを効果的に使用する方法"
"Promotions", "プロモーション"
"Let us notify you when we have a discount for the subscription", "サブスクリプションの割引がある場合はお知らせします"
"Subscriptions", "定期購入"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "サブスクリプションとLeelooプレミアムの購入を管理し、プランを切り替えます。"
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "サブスクリプションをキャンセルするには、デバイスまたはマーケットの設定とサブスクリプションにアクセスしてください。"
"You can't downgrade your lifetime premium subscription.", "プレミアムサブスクリプションをダウングレードすることはできません。"
"One-time payment", "1回払い"
"Recurring payment", "定期支払い"
"Sign Out", "サインアウト"
"Send Feedback", "フィードバックを送信する"
"Open Source Licenses", "オープンソースライセンス"
"Privacy Policy", "個人情報保護方針"
"Terms of Service", "利用規約"
"Remove My Data", "データを削除"
"Learn how we collect data and ask us to remove the collected data", "データの収集方法を学び、収集したデータを削除するよう依頼する"
"We do not collect Personally Identifiable Information (PII) for kids, minors or intellectually disabled users with appointed guardians.", "私たちは、指定された保護者がいる子供、未成年者、または知的障害のあるユーザーの個人情報（PII）を収集しません。"
"Following the guidelines of Children's Online Privacy Protection Act (COPPA), you can ask us to remove all your or your child's anonymous data anytime you want.", "児童オンラインプライバシー保護法（COPPA）のガイドラインに従って、いつでも必要なときにすべてのお子様またはお子様の匿名データを削除するように依頼できます。"
"To learn more, read our Privacy Policy in the previous menu.", "詳細については、前のメニューのプライバシーポリシーをご覧ください。"
"When you ask us to remove your data, we will remove your account and any data we collected about you or your child. Additionaly if you have a subscription, it will be terminated. And removed data will not be recoverable.", "お客様がデータを削除するように依頼すると、アカウントと、お客様またはお子様について収集したすべてのデータが削除されます。さらに、サブスクリプションをお持ちの場合、それは終了します。また、削除されたデータは復元できません。"
"I understand, remove my data.", "理解しました。データを削除します。"
"Parents Only", "保護者のみ"
