"Leeloo", "ឡេលេអូ"
"Hello $1", "សួស្តី $1"
"$1 packs", "កញ្ចប់ $1"
"$1 cards", "កាត $1"
"ACTIVE", "សកម្មភាព"
"This is a test voice!", "នេះគឺជាសំលេងសាកល្បង!"
"New Profile", "ពត៌មានថ្មី"
"Create a new application user profile.", "បង្កើតទម្រង់អ្នកប្រើកម្មវិធីថ្មី។"
"Profile Name", "ឈ្មោះប្រវត្តិរូប"
"You can give your child's name", "អ្នកអាចដាក់ឈ្មោះកូនអ្នក"
"Profile Avatar", "ប្រវត្តិរូប Avatar"
"Choose an avatar that looks like the user of this profile", "ជ្រើសរើសរូបតំណាងដែលមើលទៅដូចជាអ្នកប្រើប្រវត្តិរូបនេះ"
"Assistive Cards Packs", "កញ្ចប់កាតជំនួយ"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "យើងនឹងកំណត់កាតលំនាំដើមសម្រាប់ប្រវត្តិរូបនេះ។ អ្នកអាចបន្ថែមឬដកកញ្ចប់កាតជំនួយបន្ទាប់ពីបង្កើត"
"Change Avatar", "ផ្លាស់ប្តូរ Avatar"
"Choose an avatar to symbolize this profile", "ជ្រើសរូបតំណាងដើម្បីនិមិត្តរូបប្រវត្តិរូបនេះ"
"My Account", "គណនី​របស់ខ្ញុំ"
"Make changes to the owner of this account.", "ធ្វើការផ្លាស់ប្តូរម្ចាស់គណនីនេះ។"
"Your Name", "ឈ្មោះ​របស់​អ្នក"
"Name of account handler or parent", "ឈ្មោះអ្នកដោះស្រាយគណនីឬមេ"
"Email Address", "អាស័យ​ដ្ឋាន​អ៊ី​ម៉េ​ល"
"We will send updates and analytics", "យើងនឹងបញ្ជូនព័ត៌មានថ្មីៗនិងការវិភាគ"
"Account ID", "លេខសម្គាល់គណនី"
"This is an unchangeable ID we might ask from you", "នេះគឺជាលេខសម្គាល់ដែលមិនអាចផ្លាស់ប្តូរបានដែលយើងអាចស្នើសុំពីអ្នក"
"Language", "ភាសា"
"Choose the language for app interface and assistive cards", "ជ្រើសរើសភាសាសម្រាប់ចំណុចប្រទាក់កម្មវិធីនិងកាតជំនួយ"
"Based On Your Device", "ផ្អែកលើឧបករណ៍របស់អ្នក"
"Languages from your native settings", "ភាសាពីការកំណត់ដើមរបស់អ្នក"
"Supported Languages", "ភាសាដែលគាំទ្រ"
"All the languages that assistive cards support", "ភាសាទាំងអស់ដែលកាតជំនួយគាំទ្រ"
"Text-to-Speech Voice", "សំឡេងទៅអត្ថបទនិយាយ"
"Select the text-to-speech voice driver", "ជ្រើសរើសកម្មវិធីបញ្ជាសំលេងអត្ថបទទៅការនិយាយ"
"Based On Your Location", "ផ្អែកលើទីតាំងរបស់អ្នក"
"Voice drivers that match with both your language and location", "កម្មវិធីបញ្ជាសំលេងដែលត្រូវនឹងភាសានិងទីតាំងរបស់អ្នក"
"All Supported Voice Drivers", "កម្មវិធីបញ្ជាសម្លេងដែលគាំទ្រទាំងអស់"
"List of all accents and supported voice drivers for your language", "បញ្ជីនៃការសង្កត់សំឡេងទាំងអស់និងកម្មវិធីបញ្ជាសំលេងសម្រាប់ភាសារបស់អ្នក"
"Notifications", "ការជូនដំណឹង"
"Choose when and why you would like to be notified by the app", "ជ្រើសរើសពេលវេលានិងមូលហេតុដែលអ្នកចង់ ឲ្យ កម្មវិធីជូនដំណឹង"
"Reminders", "កម្មវិធីរំលឹក"
"We will remind you to use and practice the app", "យើងនឹងរំលឹកអ្នកឱ្យប្រើនិងអនុវត្តកម្មវិធី"
"Daily Reminders", "កម្មវិធីរំលឹកប្រចាំថ្ងៃ"
"We will send you reminder to practice daily", "យើងនឹងបញ្ជូនអ្នករំលឹកដើម្បីអនុវត្តជារៀងរាល់ថ្ងៃ"
"Weekly Reminders", "កម្មវិធីរំលឹកប្រចាំសប្តាហ៍"
"We will send you reminder to practice weekly", "យើងនឹងបញ្ជូនអ្នករំលឹកដើម្បីអនុវត្តប្រចាំសប្តាហ៍"
"Tips & Promotions", "ព័ត៌មានជំនួយនិងការផ្សព្វផ្សាយ"
"Decide if you like us to send you tips for using the app or new promotions", "សម្រេចចិត្តថាតើអ្នកចូលចិត្តពួកយើងដើម្បីបញ្ជូនអ្នកនូវការណែនាំសម្រាប់ប្រើកម្មវិធីឬការផ្សព្វផ្សាយថ្មីៗ"
"Usability Tips", "គន្លឹះប្រើប្រាស់"
"How to effectively use the app", "វិធីប្រើកម្មវិធីឱ្យមានប្រសិទ្ធភាព"
"Promotions", "ការផ្សព្វផ្សាយ"
"Let us notify you when we have a discount for the subscription", "សូមឱ្យយើងជូនដំណឹងដល់អ្នកនៅពេលដែលយើងមានការបញ្ចុះតម្លៃសម្រាប់ការជាវ"
"Subscriptions", "ការជាវ"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "គ្រប់គ្រងការជាវរបស់អ្នកនិងការទិញឡេឡេអូពិសេសនិងប្តូរគំរោង។"
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "ដើម្បីបោះបង់ការជាវសូមចូលទៅកាន់ឧបករណ៍ឬការកំណត់ទីផ្សារនិងការជាវរបស់អ្នក។"
"You can't downgrade your lifetime premium subscription.", "អ្នកមិនអាចបន្ទាបការជាវបុព្វលាភពេញមួយជីវិតរបស់អ្នកបានទេ។"
"One-time payment", "ការទូទាត់តែម្តង"
"Recurring payment", "ការទូទាត់កើតឡើង"
"Sign Out", "ចាកចេញ"
"Send Feedback", "ផ្ញើមតិប្រតិកម្ម"
"Open Source Licenses", "អាជ្ញាប័ណ្ណប្រភពបើកចំហ"
"Privacy Policy", "គោលការណ៍​ភាព​ឯកជន"
"Terms of Service", "លក្ខខណ្ឌ​នៃ​សេវាកម្ម"
"Remove My Data", "យកទិន្នន័យរបស់ខ្ញុំចេញ"
"Learn how we collect data and ask us to remove the collected data", "ស្វែងយល់ពីវិធីដែលយើងប្រមូលទិន្នន័យហើយស្នើសុំឱ្យយើងលុបទិន្នន័យដែលប្រមូលបាន"
"We do not collect Personally Identifiable Information (PII) for kids, minors or intellectually disabled users with appointed guardians.", "យើងមិនប្រមូលព័ត៌មានដែលអាចកំណត់អត្តសញ្ញាណផ្ទាល់ខ្លួនសម្រាប់កុមារអនីតិជនឬអ្នកប្រើប្រាស់បញ្ញាដែលមានអាណាព្យាបាលដែលបានចាត់តាំង។"
