"Leeloo", "릴루"
"Hello $1", "안녕하세요 $1"
"$1 packs", "$1 팩"
"$1 cards", "$1 카드"
"ACTIVE", "유효한"
"This is a test voice!", "이것은 테스트 목소리입니다!"
"New Profile", "새 프로필"
"Create a new application user profile.", "새 애플리케이션 사용자 프로파일을 작성하십시오."
"Profile Name", "프로필 이름"
"You can give your child's name", "당신은 당신의 아이의 이름을 줄 수 있습니다"
"Profile Avatar", "프로필 아바타"
"Choose an avatar that looks like the user of this profile", "이 프로필의 사용자처럼 보이는 아바타를 선택하십시오"
"Assistive Cards Packs", "보조 카드 팩"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "이 프로필의 기본 카드를 설정합니다. 생성 후 보조 카드 팩을 추가하거나 제거 할 수 있습니다"
"Change Avatar", "아바타 변경"
"Choose an avatar to symbolize this profile", "이 프로필을 상징하는 아바타를 선택하십시오"
"My Account", "내 계정"
"Make changes to the owner of this account.", "이 계정의 소유자를 변경하십시오."
"Your Name", "당신의 이름"
"Name of account handler or parent", "계정 처리기 또는 부모 이름"
"Email Address", "이메일 주소"
"We will send updates and analytics", "우리는 업데이트 및 분석을 보내드립니다"
"Account ID", "계정 ID"
"This is an unchangeable ID we might ask from you", "이것은 우리가 당신에게 요청할 수있는 변경 불가능한 ID입니다"
"Language", "언어"
"Choose the language for app interface and assistive cards", "앱 인터페이스 및 보조 카드 언어를 선택하십시오"
"Based On Your Device", "장치 기반"
"Languages from your native settings", "기본 설정의 언어"
"Supported Languages", "지원되는 언어"
"All the languages that assistive cards support", "보조 카드가 지원하는 모든 언어"
"Text-to-Speech Voice", "텍스트 음성 변환 음성"
"Select the text-to-speech voice driver", "TTS 음성 드라이버 선택"
"Based On Your Location", "귀하의 위치에 따라"
"Voice drivers that match with both your language and location", "귀하의 언어와 위치에 맞는 음성 드라이버"
"All Supported Voice Drivers", "지원되는 모든 음성 드라이버"
"List of all accents and supported voice drivers for your language", "해당 언어에 대한 모든 악센트 및 지원되는 음성 드라이버 목록"
"Notifications", "알림"
"Choose when and why you would like to be notified by the app", "앱에서 언제, 왜 알림을 받을지 선택"
"Reminders", "알림"
"We will remind you to use and practice the app", "우리는 당신이 응용 프로그램을 사용하고 연습하도록 상기시켜줍니다"
"Daily Reminders", "일일 알림"
"We will send you reminder to practice daily", "우리는 매일 연습하라는 알림을 보내드립니다"
"Weekly Reminders", "주간 알림"
"We will send you reminder to practice weekly", "우리는 매주 연습하라는 알림을 보내드립니다"
"Tips & Promotions", "팁 및 프로모션"
"Decide if you like us to send you tips for using the app or new promotions", "앱 사용 또는 새로운 프로모션에 대한 팁을 보내 주시기를 결정하십시오."
"Usability Tips", "사용성 팁"
"How to effectively use the app", "앱을 효과적으로 사용하는 방법"
"Promotions", "프로모션"
"Let us notify you when we have a discount for the subscription", "구독 할인이있을 때 알려 드리겠습니다"
"Subscriptions", "구독"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "구독 및 Leeloo Premium 구매를 관리하고 요금제를 전환하십시오."
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "구독을 취소하려면 장치 또는 시장 설정 및 구독으로 이동하십시오."
"You can't downgrade your lifetime premium subscription.", "평생 프리미엄 구독을 다운 그레이드 할 수 없습니다."
"One-time payment", "일회성 결제"
"Recurring payment", "반복 지급"
"Sign Out", "로그 아웃"
"Send Feedback", "의견 보내기"
"Open Source Licenses", "오픈 소스 라이센스"
"Privacy Policy", "개인 정보 정책"
"Terms of Service", "서비스 약관"
"Remove My Data", "내 데이터 제거"
"Learn how we collect data and ask us to remove the collected data", "데이터 수집 방법 알아보기 및 수집 된 데이터 제거 요청"
"We do not collect Personally Identifiable Information (PII) for kids, minors or intellectually disabled users with appointed guardians.", "지정된 보호자가있는 어린이, 미성년자 또는 지적 장애가있는 사용자를 위해 개인 식별 정보 (PII)를 수집하지 않습니다."
