"Leeloo", "Leeloo"
"Hello $1", "Hei $1"
"$1 packs", "$1 pakker"
"$1 cards", "$1-kort"
"ACTIVE", "AKTIV"
"This is a test voice!", "Dette er en teststemme!"
"New Profile", "Ny profil"
"Create a new application user profile.", "Opprett en ny brukerprofil."
"Profile Name", "Profil navn"
"You can give your child's name", "Du kan oppgi navnet til ditt barn"
"Profile Avatar", "Profil Avatar"
"Choose an avatar that looks like the user of this profile", "Velg en avatar som ser ut som brukeren av denne profilen"
"Assistive Cards Packs", "Hjelpekortpakker"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Vi vil sette standardkort for denne profilen. Du kan legge til eller fjerne hjelpekortpakkene etter oppretting"
"Change Avatar", "Endre Avatar"
"Choose an avatar to symbolize this profile", "Velg en avatar for å symbolisere denne profilen"
"My Account", "Min konto"
"Make changes to the owner of this account.", "Gjør endringer til eieren av denne kontoen."
"Your Name", "Navnet ditt"
"Name of account handler or parent", "Navn på kontobehandler eller overordnet"
"Email Address", "Epostadresse"
"We will send updates and analytics", "Vi vil sende oppdateringer og analyser"
"Account ID", "Konto-ID"
"This is an unchangeable ID we might ask from you", "Dette er en uforanderlig ID vi kan spørre fra deg"
"Language", "Språk"
"Choose the language for app interface and assistive cards", "Velg språk for appgrensesnitt og hjelpekort"
"Based On Your Device", "Basert på enheten din"
"Languages from your native settings", "Språk fra de opprinnelige innstillingene"
"Supported Languages", "Støttede språk"
"All the languages that assistive cards support", "Alle språkene som hjelpekort støtter"
"Text-to-Speech Voice", "Tekst-til-tale-stemme"
"Select the text-to-speech voice driver", "Velg tekst-til-tale stemmedriver"
"Based On Your Location", "Basert på din beliggenhet"
"Voice drivers that match with both your language and location", "Stemmedrivere som samsvarer med både språket og plasseringen din"
"All Supported Voice Drivers", "Alle støttede stemmedrivere"
"List of all accents and supported voice drivers for your language", "Liste over alle aksenter og støttede stemmedrivere for språket ditt"
"Notifications", "Varsler"
"Choose when and why you would like to be notified by the app", "Velg når og hvorfor du ønsker å bli varslet av appen"
"Reminders", "påminnelser"
"We will remind you to use and practice the app", "Vi vil minne deg på å bruke og øve på appen"
"Daily Reminders", "Daglige påminnelser"
"We will send you reminder to practice daily", "Vi sender deg påminnelse om å øve daglig"
"Weekly Reminders", "Ukepåminnelser"
"We will send you reminder to practice weekly", "Vi sender deg påminnelse om å øve ukentlig"
"Tips & Promotions", "Tips og kampanjer"
"Decide if you like us to send you tips for using the app or new promotions", "Bestem deg for om du liker at vi skal sende deg tips til bruk av appen eller nye kampanjer"
"Usability Tips", "Tips om brukervennlighet"
"How to effectively use the app", "Slik bruker du appen effektivt"
"Promotions", "kampanjer"
"Let us notify you when we have a discount for the subscription", "La oss varsle deg når vi har rabatt på abonnementet"
"Subscriptions", "abonnementer"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "Administrer abonnementene dine og Leeloo Premium-kjøp og bytt mellom planer."
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "For å kansellere et abonnement, gå til enheten eller markedsinnstillinger og abonnement."
"You can't downgrade your lifetime premium subscription.", "Du kan ikke nedjustere premium-abonnementet på hele livet."
"One-time payment", "Engangsbetaling"
"Recurring payment", "Gjentagende betaling"
"Sign Out", "Logg ut"
"Send Feedback", "Send tilbakemelding"
"Open Source Licenses", "Open Source-lisenser"
"Privacy Policy", "Personvern"
"Terms of Service", "Vilkår for bruk"
"Remove My Data", "Fjern mine data"
"Learn how we collect data and ask us to remove the collected data", "Lær hvordan vi samler inn data og ber oss fjerne de innsamlede dataene"
