"Leeloo", "Leeloo"
"Hello $1", "नमस्कार $1"
"$1 packs", "$1 प्याकहरू"
"$1 cards", "$1 कार्डहरू"
"ACTIVE", "सक्रिय"
"This is a test voice!", "यो एक परीक्षण आवाज हो!"
"New Profile", "नयाँ प्रोफाइल"
"Create a new application user profile.", "नयाँ अनुप्रयोग प्रयोगकर्ता प्रोफाइल सिर्जना गर्नुहोस्।"
"Profile Name", "प्रोफाइल नाम"
"You can give your child's name", "तपाईं आफ्नो बच्चाको नाम दिन सक्नुहुन्छ"
"Profile Avatar", "प्रोफाइल अवतार"
"Choose an avatar that looks like the user of this profile", "अवतार छनौट गर्नुहोस् जुन यो प्रोफाइलको प्रयोगकर्ता जस्तो देखिन्छ"
"Assistive Cards Packs", "सहायक कार्ड प्याकहरू"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "हामी यो प्रोफाइलको लागि पूर्वनिर्धारित कार्डहरू सेट गर्नेछौं। तपाईंले थप गरेपछि सिर्जना कार्ड प्याक थप्न वा हटाउन सक्नुहुन्छ"
"Change Avatar", "अवतार परिवर्तन गर्नुहोस्"
"Choose an avatar to symbolize this profile", "यस प्रोफाइलको प्रतीकको लागि अवतार छनौट गर्नुहोस्"
"My Account", "मेरो खाता"
"Make changes to the owner of this account.", "यस खाताको मालिकलाई परिवर्तन गर्नुहोस्।"
"Your Name", "तिम्रो नाम"
"Name of account handler or parent", "खाता ह्यान्डलर वा अभिभावकको नाम"
"Email Address", "इ - मेल ठेगाना"
"We will send updates and analytics", "हामी अपडेट र विश्लेषक पठाउनेछौं"
"Account ID", "खाता आईडी"
"This is an unchangeable ID we might ask from you", "यो एक अपरिवर्तनीय आईडी हो जुन हामी तपाईंबाट सोध्न सक्छौं"
"Language", "भाषा"
"Choose the language for app interface and assistive cards", "अनुप्रयोग इन्टरफेस र सहायक कार्डहरूको लागि भाषा छनौट गर्नुहोस्"
"Based On Your Device", "तपाईंको उपकरणमा आधारित"
"Languages from your native settings", "तपाईंको मूल सेटिंग्सबाट भाषाहरू"
"Supported Languages", "समर्थित भाषाहरू"
"All the languages that assistive cards support", "सबै भाषाहरू जसले सहयोगी कार्ड समर्थन गर्दछ"
"Text-to-Speech Voice", "पाठ वाचक आवाज"
"Select the text-to-speech voice driver", "पाठ वाचक आवाज ड्राइभर छान्नुहोस्"
"Based On Your Location", "तपाईंको स्थानमा आधारित"
"Voice drivers that match with both your language and location", "आवाज ड्राइभरहरू जुन दुबै तपाईंको भाषा र स्थानसँग मिल्दछन्"
"All Supported Voice Drivers", "सबै समर्थित भ्वाइस ड्राइभरहरू"
"List of all accents and supported voice drivers for your language", "तपाइँको भाषाको लागि सबै उच्चारणहरू र समर्थित आवाज ड्राइभरहरूको सूची"
"Notifications", "सूचनाहरू"
"Choose when and why you would like to be notified by the app", "छनौट गर्नुहोस् किन र किन तपाईं अनुप्रयोगबाट सूचित हुन चाहनुहुन्छ"
"Reminders", "रिमाइन्डरहरू"
"We will remind you to use and practice the app", "हामी तपाईंलाई अनुप्रयोग प्रयोग गर्न र अभ्यास गर्न सम्झना गराउँछौं"
"Daily Reminders", "दैनिक रिमाइन्डरहरू"
"We will send you reminder to practice daily", "हामी तपाईंलाई दैनिक अभ्यास गर्न रिमाइन्डर पठाउनेछौं"
"Weekly Reminders", "साप्ताहिक रिमाइन्डरहरू"
"We will send you reminder to practice weekly", "हामी तपाईंलाई साप्ताहिक अभ्यास गर्नका लागि रिमाइन्डर पठाउनेछौं"
"Tips & Promotions", "सुझावहरू र प्रचारहरू"
"Decide if you like us to send you tips for using the app or new promotions", "निर्णय गर्नुहोस् यदि तपाईं हामीलाई अनुप्रयोग वा नयाँ पदोन्नतीहरू प्रयोग गर्न सल्लाह पठाउन चाहनुहुन्छ"
"Usability Tips", "उपयोगिता सल्लाहहरू"
"How to effectively use the app", "कसरी प्रभावकारी रूपमा अनुप्रयोग प्रयोग गर्ने"
