"Leeloo", "Leeloo"
"Hello $1", "Hallo $1"
"$1 packs", "$1-pakketten"
"$1 cards", "$1-kaarten"
"ACTIVE", "ACTIEF"
"This is a test voice!", "Dit is een teststem!"
"New Profile", "Nieuw profiel"
"Create a new application user profile.", "Maak een nieuw toepassingsgebruikersprofiel."
"Profile Name", "Profielnaam"
"You can give your child's name", "U kunt de naam van uw kind opgeven"
"Profile Avatar", "Profiel Avatar"
"Choose an avatar that looks like the user of this profile", "Kies een avatar die lijkt op de gebruiker van dit profiel"
"Assistive Cards Packs", "Ondersteunende kaartenpakketten"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "We zullen standaardkaarten instellen voor dit profiel. U kunt de ondersteunende kaartpakketten na het maken toevoegen of verwijderen"
"Change Avatar", "Wijzig avatar"
"Choose an avatar to symbolize this profile", "Kies een avatar om dit profiel te symboliseren"
"My Account", "Mijn rekening"
"Make changes to the owner of this account.", "Breng wijzigingen aan in de eigenaar van dit account."
"Your Name", "Uw naam"
"Name of account handler or parent", "Naam van accountbeheerder of ouder"
"Email Address", "E-mailadres"
"We will send updates and analytics", "We sturen updates en analyses"
"Account ID", "Account ID"
"This is an unchangeable ID we might ask from you", "Dit is een onveranderlijke ID die we van u kunnen vragen"
"Language", "Taal"
"Choose the language for app interface and assistive cards", "Kies de taal voor app-interface en ondersteunende kaarten"
"Based On Your Device", "Gebaseerd op uw apparaat"
"Languages from your native settings", "Talen uit uw eigen instellingen"
"Supported Languages", "Ondersteunde talen"
"All the languages that assistive cards support", "Alle talen die ondersteunende kaarten ondersteunen"
"Text-to-Speech Voice", "Tekst-naar-spraak-stem"
"Select the text-to-speech voice driver", "Selecteer het spraakstuurprogramma voor tekst naar spraak"
"Based On Your Location", "Gebaseerd op uw locatie"
"Voice drivers that match with both your language and location", "Spraakstuurprogramma's die overeenkomen met zowel uw taal als locatie"
"All Supported Voice Drivers", "Alle ondersteunde spraakstuurprogramma's"
"List of all accents and supported voice drivers for your language", "Lijst met alle accenten en ondersteunde spraakstuurprogramma's voor uw taal"
"Notifications", "Kennisgevingen"
"Choose when and why you would like to be notified by the app", "Kies wanneer en waarom u door de app op de hoogte wilt worden gehouden"
"Reminders", "Herinneringen"
"We will remind you to use and practice the app", "We herinneren je eraan de app te gebruiken en te oefenen"
"Daily Reminders", "Dagelijkse herinneringen"
