"Leeloo", "Leeloo"
"Hello $1", "Witaj $1"
"$1 packs", "Paczki $1"
"$1 cards", "Karty $1"
"ACTIVE", "AKTYWNY"
"This is a test voice!", "To jest głos testowy!"
"New Profile", "Nowy profil"
"Create a new application user profile.", "Utwórz nowy profil użytkownika aplikacji."
"Profile Name", "Nazwa profilu"
"You can give your child's name", "Możesz podać imię dziecka"
"Profile Avatar", "Awatar profilu"
"Choose an avatar that looks like the user of this profile", "Wybierz awatar, który wygląda jak użytkownik tego profilu"
"Assistive Cards Packs", "Pakiety kart pomocniczych"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Ustawimy domyślne karty dla tego profilu. Po utworzeniu możesz dodawać lub usuwać pakiety kart pomocniczych"
"Change Avatar", "Zmień awatar"
"Choose an avatar to symbolize this profile", "Wybierz awatar, aby symbolizować ten profil"
"My Account", "Moje konto"
"Make changes to the owner of this account.", "Wprowadź zmiany we właścicielu tego konta."
"Your Name", "Twoje imię"
"Name of account handler or parent", "Nazwisko osoby obsługującej konto lub rodzica"
"Email Address", "Adres e-mail"
"We will send updates and analytics", "Prześlemy aktualizacje i analizy"
"Account ID", "ID konta"
"This is an unchangeable ID we might ask from you", "To niezmienny dowód osobisty, o który możemy prosić od ciebie"
"Language", "Język"
"Choose the language for app interface and assistive cards", "Wybierz język interfejsu aplikacji i kart pomocniczych"
"Based On Your Device", "Na podstawie Twojego urządzenia"
"Languages from your native settings", "Języki z ustawień natywnych"
"Supported Languages", "Obsługiwane języki"
"All the languages that assistive cards support", "Wszystkie języki obsługujące karty asystujące"
"Text-to-Speech Voice", "Głos syntezatora mowy"
"Select the text-to-speech voice driver", "Wybierz sterownik mowy zamiany tekstu na mowę"
"Based On Your Location", "Na podstawie Twojej lokalizacji"
"Voice drivers that match with both your language and location", "Sterowniki głosowe pasujące zarówno do Twojego języka, jak i lokalizacji"
"All Supported Voice Drivers", "Wszystkie obsługiwane sterowniki głosowe"
"List of all accents and supported voice drivers for your language", "Lista wszystkich akcentów i obsługiwanych sterowników głosowych dla Twojego języka"
"Notifications", "Powiadomienia"
"Choose when and why you would like to be notified by the app", "Wybierz, kiedy i dlaczego chcesz otrzymywać powiadomienia od aplikacji"
"Reminders", "Przypomnienia"
"We will remind you to use and practice the app", "Przypomnimy Ci o używaniu i ćwiczeniu aplikacji"
"Daily Reminders", "Codzienne przypomnienia"
"We will send you reminder to practice daily", "Prześlemy Ci przypomnienie, aby ćwiczyć codziennie"
"Weekly Reminders", "Cotygodniowe przypomnienia"
"We will send you reminder to practice weekly", "Wyślemy Ci przypomnienie, aby ćwiczyć co tydzień"
"Tips & Promotions", "Wskazówki i promocje"
"Decide if you like us to send you tips for using the app or new promotions", "Zdecyduj, czy chcesz, abyśmy przesyłali Ci porady dotyczące korzystania z aplikacji lub nowych promocji"
"Usability Tips", "Wskazówki dotyczące użytkowania"
"How to effectively use the app", "Jak skutecznie korzystać z aplikacji"
"Promotions", "Promocje"
"Let us notify you when we have a discount for the subscription", "Powiadomimy Cię, gdy otrzymamy zniżkę na subskrypcję"
"Subscriptions", "Subskrypcje"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "Zarządzaj swoimi subskrypcjami i zakupami Leeloo Premium i przełączaj się między planami."
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "Aby anulować subskrypcję, przejdź do ustawień urządzenia lub subskrypcji na rynku."
"You can't downgrade your lifetime premium subscription.", "Nie możesz obniżyć swojej dożywotniej subskrypcji premium."
"One-time payment", "Płatność jednorazowa"
"Recurring payment", "Powtarzające się płatności"
"Sign Out", "Wyloguj się"
"Send Feedback", "Wyślij opinię"
"Open Source Licenses", "Licencje Open Source"
"Privacy Policy", "Polityka prywatności"
"Terms of Service", "Warunki usługi"
"Remove My Data", "Usuń moje dane"
"Learn how we collect data and ask us to remove the collected data", "Dowiedz się, w jaki sposób gromadzimy dane i prosimy o usunięcie zebranych danych"
"We do not collect Personally Identifiable Information (PII) for kids, minors or intellectually disabled users with appointed guardians.", "Nie zbieramy danych osobowych (PII) dla dzieci, nieletnich lub użytkowników niepełnosprawnych intelektualnie z wyznaczonymi opiekunami."
"Following the guidelines of Children's Online Privacy Protection Act (COPPA), you can ask us to remove all your or your child's anonymous data anytime you want.", "Zgodnie z wytycznymi Ustawy o ochronie prywatności dzieci w Internecie (COPPA) możesz poprosić nas o usunięcie wszystkich anonimowych danych Twojego lub Twojego dziecka w dowolnym momencie."
"To learn more, read our Privacy Policy in the previous menu.", "Aby dowiedzieć się więcej, przeczytaj naszą Politykę prywatności w poprzednim menu."
"When you ask us to remove your data, we will remove your account and any data we collected about you or your child. Additionaly if you have a subscription, it will be terminated. And removed data will not be recoverable.", "Gdy poprosisz nas o usunięcie twoich danych, usuniemy twoje konto i wszelkie dane, które zebraliśmy o tobie lub twoim dziecku. Dodatkowo, jeśli masz subskrypcję, zostanie ona rozwiązana. Usuniętych danych nie będzie można odzyskać."
"I understand, remove my data.", "Rozumiem, usuwam moje dane."
"Parents Only", "Tylko dla rodziców"
"Drag and drop the key over padlock in order to unlock the Settings", "Przeciągnij i upuść klucz nad kłódką, aby odblokować Ustawienia"
"Create a profile!", "Utwórz profil!"
"Choose a profile name or tell us the person who is going to use this application.", "Wybierz nazwę profilu lub powiedz nam osobę, która będzie korzystać z tej aplikacji."
"Your Name", "Twoje imię"
"Choose an avatar!", "Wybierz awatar!"
"Choose an avatar for the person who is going to use this AAC application.", "Wybierz awatar dla osoby, która będzie korzystać z tej aplikacji AAC."
"Boy", "Chłopiec"
"Girl", "Dziewczyna"
"Mixed", "Mieszany"
"Congratulations, $1!", "Gratulacje, $1!"
"Your user profile has been completed. You can start using Leeloo AAC app", "Twój profil użytkownika został ukończony. Możesz zacząć korzystać z aplikacji Leeloo AAC"
"Welcome to", "Witamy w"
"Leeloo AAC", "Leeloo AAC"
"Thank you for downloading Leeloo AAC, let's get started with setting up your leeloo profile.", "Dziękujemy za pobranie Leeloo AAC, zacznijmy od konfiguracji swojego profilu Leeloo."
"View other sign in options", "Zobacz inne opcje logowania"
"Who is using the app?", "Kto korzysta z aplikacji?"
"Search cards and phrases...", "Wyszukaj karty i frazy ..."
"Unlock Leeloo Premium!", "Odblokuj Leeloo Premium!"
"Functionality of Leeloo AAC will always be free. Leeloo Premium offers +50 additional Assistive Card packs.", "Funkcjonalność Leeloo AAC zawsze będzie darmowa. Leeloo Premium oferuje +50 dodatkowych pakietów kart pomocniczych."
"Monthly", "Miesięczny"
"Try 3 days for FREE", "Wypróbuj 3 dni ZA DARMO"
"Then $1/year", "Następnie $1 / rok"
"Lifetime", "Dożywotni"
"One-time Payment", "Płatność jednorazowa"
