"Leeloo", "Leeloo"
"Hello $1", "Hello $1"
"$1 packs", "Pacotes $1"
"$1 cards", "Cartões $1"
"ACTIVE", "ATIVO"
"This is a test voice!", "Esta é uma voz de teste!"
"New Profile", "Novo perfil"
"Create a new application user profile.", "Crie um novo perfil de usuário do aplicativo."
"Profile Name", "Nome do perfil"
"You can give your child's name", "Você pode dar o nome do seu filho"
"Profile Avatar", "Avatar do perfil"
"Choose an avatar that looks like the user of this profile", "Escolha um avatar que se pareça com o usuário deste perfil"
"Assistive Cards Packs", "Pacotes de Cartões Assistivos"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Definiremos cartões padrão para esse perfil. Você pode adicionar ou remover os pacotes de cartões de assistência depois de criar"
"Change Avatar", "Mudar Avatar"
"Choose an avatar to symbolize this profile", "Escolha um avatar para simbolizar este perfil"
"My Account", "Minha conta"
"Make changes to the owner of this account.", "Faça alterações no proprietário desta conta."
"Your Name", "Seu nome"
"Name of account handler or parent", "Nome do manipulador da conta ou pai"
"Email Address", "Endereço de e-mail"
"We will send updates and analytics", "Enviaremos atualizações e análises"
"Account ID", "ID da conta"
"This is an unchangeable ID we might ask from you", "Esse é um ID imutável que podemos solicitar a você"
"Language", "Língua"
"Choose the language for app interface and assistive cards", "Escolha o idioma para a interface do aplicativo e cartões de assistência"
"Based On Your Device", "Com base no seu dispositivo"
"Languages from your native settings", "Idiomas de suas configurações nativas"
"Supported Languages", "Idiomas suportados"
"All the languages that assistive cards support", "Todos os idiomas suportados pelos cartões assistivos"
"Text-to-Speech Voice", "Voz de conversão de texto em fala"
"Select the text-to-speech voice driver", "Selecione o driver de voz de conversão de texto em fala"
"Based On Your Location", "Com base na sua localização"
"Voice drivers that match with both your language and location", "Drivers de voz que correspondem ao seu idioma e local"
"All Supported Voice Drivers", "Todos os drivers de voz suportados"
"List of all accents and supported voice drivers for your language", "Lista de todos os sotaques e drivers de voz compatíveis com o seu idioma"
"Notifications", "Notificações"
"Choose when and why you would like to be notified by the app", "Escolha quando e por que você gostaria de ser notificado pelo aplicativo"
"Reminders", "Lembretes"
"We will remind you to use and practice the app", "Lembraremos que você use e pratique o aplicativo"
"Daily Reminders", "Lembretes diários"
"We will send you reminder to practice daily", "Nós lhe enviaremos um lembrete para praticar diariamente"
"Weekly Reminders", "Lembretes semanais"
"We will send you reminder to practice weekly", "Enviaremos um lembrete para praticar semanalmente"
"Tips & Promotions", "Dicas e Promoções"
"Decide if you like us to send you tips for using the app or new promotions", "Decida se você gosta de nos enviar dicas para usar o aplicativo ou novas promoções"
"Usability Tips", "Dicas de usabilidade"
"How to effectively use the app", "Como usar efetivamente o aplicativo"
"Promotions", "Promoções"
"Let us notify you when we have a discount for the subscription", "Vamos notificá-lo quando tivermos um desconto para a assinatura"
"Subscriptions", "Assinaturas"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "Gerencie suas assinaturas e compras do Leeloo Premium e alterne entre planos."
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "Para cancelar uma assinatura, acesse as configurações e assinaturas do dispositivo ou do mercado."
"You can't downgrade your lifetime premium subscription.", "Você não pode fazer o downgrade da sua assinatura premium vitalícia."
"One-time payment", "Pagamento único"
"Recurring payment", "Pagamento recorrente"
"Sign Out", "Sair"
"Send Feedback", "Enviar comentários"
"Open Source Licenses", "Licenças de código aberto"
"Privacy Policy", "Política de Privacidade"
"Terms of Service", "Termos de serviço"
"Remove My Data", "Remover meus dados"
"Learn how we collect data and ask us to remove the collected data", "Saiba como coletamos dados e solicite a remoção dos dados coletados"
"We do not collect Personally Identifiable Information (PII) for kids, minors or intellectually disabled users with appointed guardians.", "Não coletamos Informações de Identificação Pessoal (PII) para crianças, menores de idade ou usuários com deficiência intelectual com os responsáveis designados."
"Following the guidelines of Children's Online Privacy Protection Act (COPPA), you can ask us to remove all your or your child's anonymous data anytime you want.", "Seguindo as diretrizes da Lei de Proteção à Privacidade Online das Crianças (COPPA), você pode solicitar que removamos todos os dados anônimos ou os de seu filho sempre que desejar."
"To learn more, read our Privacy Policy in the previous menu.", "Para saber mais, leia nossa Política de Privacidade no menu anterior."
"When you ask us to remove your data, we will remove your account and any data we collected about you or your child. Additionaly if you have a subscription, it will be terminated. And removed data will not be recoverable.", "Quando você nos pede para remover seus dados, removeremos sua conta e todos os dados que coletamos sobre você ou seu filho. Além disso, se você tiver uma assinatura, ela será encerrada. E os dados removidos não serão recuperáveis."
"I understand, remove my data.", "Eu entendo, remova meus dados."
"Parents Only", "Somente Pais"
"Drag and drop the key over padlock in order to unlock the Settings", "Arraste e solte a chave sobre o cadeado para desbloquear as configurações."
"Create a profile!", "Crie um perfil!"
"Choose a profile name or tell us the person who is going to use this application.", "Escolha um nome de perfil ou diga-nos a pessoa que irá usar este aplicativo."
"Your Name", "Seu nome"
"Choose an avatar!", "Escolha um avatar!"
"Choose an avatar for the person who is going to use this AAC application.", "Escolha um avatar para a pessoa que vai usar este aplicativo AAC."
"Boy", "Garoto"
"Girl", "Menina"
"Mixed", "Misturado"
"Congratulations, $1!", "Parabéns, $1!"
"Your user profile has been completed. You can start using Leeloo AAC app", "Seu perfil de usuário foi concluído. Você pode começar a usar o aplicativo Leeloo AAC"
"Welcome to", "Bem-vindo ao"
"Leeloo AAC", "Leeloo AAC"
"Thank you for downloading Leeloo AAC, let's get started with setting up your leeloo profile.", "Muito obrigado por baixar o programa Leeloo AAC, vamos começar a configurar seu perfil de leeloo."
"View other sign in options", "Ver outras opções de login"
"Who is using the app?", "Quem está usando o aplicativo?"
"Search cards and phrases...", "Pesquisar cartões e frases ..."
"Unlock Leeloo Premium!", "Desbloqueie o Leeloo Premium!"
"Functionality of Leeloo AAC will always be free. Leeloo Premium offers +50 additional Assistive Card packs.", "A funcionalidade do Leeloo AAC sempre será gratuita. O Leeloo Premium oferece +50 pacotes adicionais de cartão de assistência."
"Monthly", "Por mês"
"Try 3 days for FREE", "Experimente 3 dias GRATUITAMENTE"
"Then $1/year", "Então $1 / ano"
"Lifetime", "Tempo de vida"
"One-time Payment", "Pagamento único"
"SAVE $1%", "ECONOMIZE $1%"
"$1/mo", "$1 / mês"
"See the packs you will unlock", "Veja os pacotes que você desbloqueará"
"Scroll the cards right to see all of the premium assistive cards.", "Role os cartões para a direita para ver todos os cartões de assistência premium."
"$1 cards", "Cartões $1"
"$1 phrases", "Frases $1"
"Start 3 days FREE Trial", "Comece 3 dias de teste GRATUITO"
"Cancel anytime without cost", "Cancele a qualquer momento sem custo"
"Free trial for 3 days only appy to yearly plan and during this time; you can cancel your subscription without any cost.", "Avaliação gratuita por 3 dias apenas para o plano anual e durante esse período; você pode cancelar sua assinatura sem nenhum custo."
"Make sure to review the seller platform Terms and Conditions before hand, if you have any problems or issues contact us and we will do everything we can to solve any problems you face.", "Leia os Termos e Condições da plataforma do vendedor com antecedência, se você tiver algum problema ou problema, entre em contato conosco e faremos todo o possível para solucionar os problemas que você enfrentar."
"Monthly and Yearly plans are recurring plans and Lifetime plan is a one-time payment plan, for subscriptions, unless auto-renew is turned off you will be charged the period price when the current period ends.", "Os planos mensais e anuais são recorrentes e o plano Vitalício é um plano de pagamento único, para assinaturas, a menos que a renovação automática seja desativada, você será cobrado pelo preço do período quando o período atual terminar."
"Keep in mind refunds are handled by the platforms and the refund times and policies might differ respect to the platform and the market you are subscribing from.", "Lembre-se de que os reembolsos são administrados pelas plataformas, e os prazos e as políticas de reembolso podem diferir em relação à plataforma e ao mercado do qual você está se inscrevendo."
"Please report accidental purchases to us the same day or at least in 24 hours using 'Send Feedback' page in App settings.", "Relate compras acidentais para nós no mesmo dia ou pelo menos em 24 horas usando a página 'Enviar comentários' nas configurações do aplicativo."
"Leeloo Premium", "Leeloo Premium"
"Subscribe to get more", "Inscreva-se para obter mais"
"Try 3 days for free", "Experimente 3 dias gratuitamente"
"Next", "Próximo"
"Start", "Começar"
"USE", "USAR"
"USING", "USANDO"
"ADD", "ADICIONAR"
"REMOVE", "RETIRAR"
"Your device doesn't support voice driver for this language. In order to use TTS capabilities, you need to install a voice driver. You can try 'Google TTS' app to install and manage drivers!", "Seu dispositivo não suporta driver de voz para esse idioma. Para usar os recursos TTS, você precisa instalar um driver de voz. Você pode experimentar o aplicativo 'Google TTS' para instalar e gerenciar drivers!"
"Confirm Sign Out", "Confirmar logout"
"Keep in mind you can keep signed in, and don't have to sign out of your account every time.", "Lembre-se de que você pode continuar conectado e não precisa sair da sua conta sempre."
"Remove Profile", "Remover perfil"
"Are you sure that you want to remove this profile, data created by this profile will also be removed.", "Tem certeza de que deseja remover este perfil, os dados criados por esse perfil também serão removidos."
"OK", "Está bem"
"Cancel", "Cancelar"
