"Leeloo", "Leeloo"
"Hello $1", "Buna ziua $1"
"$1 packs", "Pachete $1"
"$1 cards", "Cărți $1"
"ACTIVE", "ACTIV"
"This is a test voice!", "Aceasta este o voce de testare!"
"New Profile", "Profil nou"
"Create a new application user profile.", "Creați un nou profil de utilizator pentru aplicație."
"Profile Name", "Numele profilului"
"You can give your child's name", "Puteți da numele copilului dumneavoastră"
"Profile Avatar", "Profil Avatar"
"Choose an avatar that looks like the user of this profile", "Alege un avatar care arată ca utilizatorul acestui profil"
"Assistive Cards Packs", "Pachetele cu carduri de asistență"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Vom seta carduri implicite pentru acest profil. După creare, puteți adăuga sau elimina pachetele de carduri de asistență"
"Change Avatar", "Schimbă avatarul"
"Choose an avatar to symbolize this profile", "Alege un avatar pentru a simboliza acest profil"
"My Account", "Contul meu"
"Make changes to the owner of this account.", "Modificați proprietarul acestui cont."
"Your Name", "Numele dumneavoastră"
"Name of account handler or parent", "Numele administratorului contului sau al părintelui"
"Email Address", "Adresa de email"
"We will send updates and analytics", "Vom trimite actualizări și analize"
"Account ID", "Cont ID"
"This is an unchangeable ID we might ask from you", "Acesta este un ID neschimbabil pe care l-am putea solicita de la dvs."
"Language", "Limba"
"Choose the language for app interface and assistive cards", "Alegeți limba pentru interfața aplicației și cardurile de asistență"
"Based On Your Device", "Bazat pe dispozitivul dvs."
"Languages from your native settings", "Limbi din setările native"
"Supported Languages", "Limbi acceptate"
"All the languages that assistive cards support", "Toate limbile pe care le acceptă cărțile de asistență"
"Text-to-Speech Voice", "Voce text-în-vorbire"
"Select the text-to-speech voice driver", "Selectați driverul vocal text-to-voice"
"Based On Your Location", "Pe baza locației dvs."
"Voice drivers that match with both your language and location", "Drivere vocale care se potrivesc atât cu limba, cât și cu locația dvs."
"All Supported Voice Drivers", "Toți driverele vocale acceptate"
"List of all accents and supported voice drivers for your language", "Lista tuturor accentelor și a driverelor vocale acceptate pentru limba dvs."
"Notifications", "notificări"
"Choose when and why you would like to be notified by the app", "Alegeți când și de ce doriți să fiți notificați de aplicație"
"Reminders", "Mementouri"
"We will remind you to use and practice the app", "Vă vom aminti să utilizați și să practicați aplicația"
"Daily Reminders", "Memento-uri zilnice"
"We will send you reminder to practice daily", "Vă vom trimite memento pentru a exersa zilnic"
"Weekly Reminders", "Memento săptămânal"
"We will send you reminder to practice weekly", "Vă vom trimite memento pentru a exersa săptămânal"
"Tips & Promotions", "Sfaturi și promoții"
"Decide if you like us to send you tips for using the app or new promotions", "Decideți dacă doriți ca noi să vă trimitem sfaturi pentru utilizarea aplicației sau noile promoții"
