"Leeloo", "ලීලූ"
"Hello $1", "හෙලෝ $1"
"$1 packs", "$1 ඇසුරුම්"
"$1 cards", "$1 කාඩ්පත්"
"ACTIVE", "ක්‍රියාකාරී"
"This is a test voice!", "මෙය පරීක්ෂණ හ voice කි!"
"New Profile", "නව පැතිකඩ"
"Create a new application user profile.", "නව යෙදුම් පරිශීලක පැතිකඩක් සාදන්න."
"Profile Name", "පැතිකඩ නම"
"You can give your child's name", "ඔබට ඔබේ දරුවාගේ නම ලබා දිය හැකිය"
"Profile Avatar", "පැතිකඩ අවතාරය"
"Choose an avatar that looks like the user of this profile", "මෙම පැතිකඩෙහි පරිශීලකයා මෙන් පෙනෙන අවතාරයක් තෝරන්න"
"Assistive Cards Packs", "උපකාරක කාඩ්පත් ඇසුරුම්"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "මෙම පැතිකඩ සඳහා අපි සුපුරුදු කාඩ්පත් සකසමු. නිර්මාණය කිරීමෙන් පසු ඔබට උපකාරක කාඩ්පත් ඇසුරුම් එකතු කිරීමට හෝ ඉවත් කිරීමට හැකිය"
"Change Avatar", "අවතාරය වෙනස් කරන්න"
"Choose an avatar to symbolize this profile", "මෙම පැතිකඩ සංකේතවත් කිරීමට අවතාරයක් තෝරන්න"
"My Account", "මගේ ගිණුම"
"Make changes to the owner of this account.", "මෙම ගිණුමේ හිමිකරුට වෙනස්කම් කරන්න."
"Your Name", "ඔබගේ නම"
"Name of account handler or parent", "ගිණුම් හසුරුවන්නාගේ හෝ දෙමව්පියන්ගේ නම"
"Email Address", "විද්යුත් තැපැල් ලිපිනය"
"We will send updates and analytics", "අපි යාවත්කාලීන කිරීම් සහ විශ්ලේෂණ යවමු"
"Account ID", "ගිණුම් අංකය"
"This is an unchangeable ID we might ask from you", "මෙය අපි ඔබෙන් ඉල්ලා සිටින වෙනස් කළ නොහැකි හැඳුනුම්පතකි"
"Language", "භාෂාව"
"Choose the language for app interface and assistive cards", "යෙදුම් අතුරුමුහුණත සහ උපකාරක කාඩ්පත් සඳහා භාෂාව තෝරන්න"
"Based On Your Device", "ඔබගේ උපාංගය මත පදනම්ව"
"Languages from your native settings", "ඔබගේ ස්වදේශීය සැකසුම් වලින් භාෂා"
"Supported Languages", "සහාය දක්වන භාෂා"
"All the languages that assistive cards support", "උපකාරක කාඩ්පත් සඳහා සහාය වන සියලුම භාෂා"
"Text-to-Speech Voice", "පෙළ සිට කථන කටහ .."
"Select the text-to-speech voice driver", "පෙළ සිට කථන හ voice ධාවකය තෝරන්න"
"Based On Your Location", "ඔබේ ස්ථානය මත පදනම්ව"
"Voice drivers that match with both your language and location", "ඔබේ භාෂාව සහ ස්ථානය යන දෙකටම ගැලපෙන හ voice ධාවක"
"All Supported Voice Drivers", "සියලුම සහාය දක්වන හ Dri ධාවක"
"List of all accents and supported voice drivers for your language", "ඔබේ භාෂාව සඳහා සියලුම උච්චාරණ සහ සහාය දක්වන හ voice ධාවක ලැයිස්තුව"
"Notifications", "දැනුම්දීම්"
"Choose when and why you would like to be notified by the app", "යෙදුම මඟින් ඔබට දැනුම් දීමට කැමති විට සහ ඇයි යන්න තෝරන්න"
"Reminders", "මතක් කිරීම්"
"We will remind you to use and practice the app", "යෙදුම භාවිතා කිරීමට සහ පුහුණු වීමට අපි ඔබට මතක් කර දෙන්නෙමු"
"Daily Reminders", "දිනපතා මතක් කිරීම්"
"We will send you reminder to practice daily", "දිනපතා පුහුණුවීමට අපි ඔබට මතක් කිරීමක් එවන්නෙමු"
"Weekly Reminders", "සතිපතා මතක් කිරීම්"
"We will send you reminder to practice weekly", "සතිපතා පුහුණුවීමට අපි ඔබට මතක් කිරීමක් එවන්නෙමු"
"Tips & Promotions", "ඉඟි සහ ප්‍රවර්ධන"
"Decide if you like us to send you tips for using the app or new promotions", "යෙදුම හෝ නව ප්‍රවර්ධන භාවිතා කිරීම සඳහා ඔබට ඉඟි එවීමට ඔබ කැමති දැයි තීරණය කරන්න"
"Usability Tips", "උපයෝගීතා ඉඟි"
"How to effectively use the app", "යෙදුම effectively ලදායී ලෙස භාවිතා කරන්නේ කෙසේද"
"Promotions", "උසස්වීම්"
"Let us notify you when we have a discount for the subscription", "අපට දායකත්වය සඳහා වට්ටමක් ඇති විට අපි ඔබට දන්වමු"
"Subscriptions", "දායකත්වයන්"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "ඔබගේ දායකත්වයන් සහ ලීලූ වාරික මිලදී ගැනීම් කළමනාකරණය කර සැලසුම් අතර මාරු වන්න."
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "දායකත්වය අවලංගු කිරීම සඳහා, කරුණාකර ඔබගේ උපාංගය හෝ වෙළඳපල සැකසුම් සහ දායකත්වයන් වෙත යන්න."
"You can't downgrade your lifetime premium subscription.", "ඔබගේ ජීවිත කාලය තුළ වාරික දායකත්වය පහත හෙලීමට ඔබට නොහැකිය."
"One-time payment", "එක් වරක් ගෙවීම"
"Recurring payment", "පුනරාවර්තන ගෙවීම"
"Sign Out", "වරන්න"
"Send Feedback", "ප්‍රතිපෝෂණය යවන්න"
"Open Source Licenses", "විවෘත මූලාශ්‍ර බලපත්‍ර"
"Privacy Policy", "රහස්යතා ප්රතිපත්තිය"
"Terms of Service", "සේවා කොන්දේසි"
"Remove My Data", "මගේ දත්ත ඉවත් කරන්න"
"Learn how we collect data and ask us to remove the collected data", "අපි දත්ත රැස් කරන්නේ කෙසේදැයි ඉගෙන ගෙන එකතු කළ දත්ත ඉවත් කිරීමට අපෙන් ඉල්ලා සිටින්න"
"We do not collect Personally Identifiable Information (PII) for kids, minors or intellectually disabled users with appointed guardians.", "පත් කරන ලද භාරකරුවන් සමඟ ළමයින්, බාල වයස්කරුවන් හෝ බුද්ධිමය වශයෙන් ආබාධිත පරිශීලකයින් සඳහා අපි පුද්ගලිකව හඳුනාගත හැකි තොරතුරු (PII) එකතු නොකරමු."
"Following the guidelines of Children's Online Privacy Protection Act (COPPA), you can ask us to remove all your or your child's anonymous data anytime you want.", "ළමා ඔන්ලයින් රහස්‍යතා ආරක්ෂණ පනතේ (කෝපා) මාර්ගෝපදේශ අනුගමනය කරමින්, ඔබට අවශ්‍ය ඕනෑම වේලාවක ඔබේ හෝ ඔබේ දරුවාගේ නිර්නාමික දත්ත ඉවත් කරන ලෙස අපෙන් ඉල්ලා සිටිය හැකිය."
"To learn more, read our Privacy Policy in the previous menu.", "වැඩිදුර දැන ගැනීමට, පෙර මෙනුවේ අපගේ රහස්‍යතා ප්‍රතිපත්තිය කියවන්න."
"When you ask us to remove your data, we will remove your account and any data we collected about you or your child. Additionaly if you have a subscription, it will be terminated. And removed data will not be recoverable.", "ඔබගේ දත්ත ඉවත් කිරීමට ඔබ අපෙන් ඉල්ලා සිටින විට, අපි ඔබගේ ගිණුම සහ ඔබ හෝ ඔබේ දරුවා ගැන එකතු කළ දත්ත ඉවත් කරන්නෙමු. අතිරේක වශයෙන් ඔබට දායකත්වයක් තිබේ නම් එය අවසන් වේ. ඉවත් කළ දත්ත නැවත ලබා ගත නොහැක."
"I understand, remove my data.", "මට තේරෙනවා, මගේ දත්ත ඉවත් කරන්න."
"Parents Only", "දෙමාපියන්ට පමණි"
"Drag and drop the key over padlock in order to unlock the Settings", "සැකසීම් අගුළු ඇරීම සඳහා යතුර පෑඩ්ලොක් හරහා ඇදගෙන යන්න"
"Create a profile!", "පැතිකඩක් සාදන්න!"
"Choose a profile name or tell us the person who is going to use this application.", "පැතිකඩ නමක් තෝරන්න හෝ මෙම යෙදුම භාවිතා කිරීමට යන පුද්ගලයා අපට කියන්න."
"Your Name", "ඔබගේ නම"
"Choose an avatar!", "අවතාරයක් තෝරන්න!"
"Choose an avatar for the person who is going to use this AAC application.", "මෙම AAC යෙදුම භාවිතා කිරීමට යන පුද්ගලයා සඳහා අවතාරයක් තෝරන්න."
"Boy", "කොල්ලා"
"Girl", "කෙල්ල"
"Mixed", "මිශ්ර"
"Congratulations, $1!", "සුභ පැතුම්, $1!"
"Your user profile has been completed. You can start using Leeloo AAC app", "ඔබගේ පරිශීලක පැතිකඩ සම්පූර්ණ කර ඇත. ඔබට ලීලූ ඒඒසී යෙදුම භාවිතා කිරීම ආරම්භ කළ හැකිය"
"Welcome to", "සාදරයෙන් පිළිගනිමු"
"Leeloo AAC", "ලීලූ ඒ.ඒ.සී."
"Thank you for downloading Leeloo AAC, let's get started with setting up your leeloo profile.", "ලීලූ ඒඒසී බාගත කිරීම ගැන ඔබට ස්තූතියි, ඔබේ ලීලෝ පැතිකඩ සැකසීම සමඟ ආරම්භ කරමු."
"View other sign in options", "වෙනත් පුරනය වීමේ විකල්ප බලන්න"
"Who is using the app?", "යෙදුම භාවිතා කරන්නේ කවුද?"
