"Leeloo", "Leeloo"
"Hello $1", "Dobrý deň, $1"
"$1 packs", "Balíčky: $1"
"$1 cards", "Karty $1"
"ACTIVE", "ACTIVE"
"This is a test voice!", "Toto je skúšobný hlas!"
"New Profile", "Nový profil"
"Create a new application user profile.", "Vytvorte nový užívateľský profil aplikácie."
"Profile Name", "Názov profilu"
"You can give your child's name", "Môžete uviesť meno svojho dieťaťa"
"Profile Avatar", "Profil Avatar"
"Choose an avatar that looks like the user of this profile", "Vyberte avatar, ktorý vyzerá ako používateľ tohto profilu"
"Assistive Cards Packs", "Balíky pomocných kariet"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Pre tento profil nastavíme predvolené karty. Balíky pomocných kariet môžete po vytvorení pridať alebo odstrániť"
"Change Avatar", "Zmeniť avatar"
"Choose an avatar to symbolize this profile", "Vyberte avatar, ktorý bude symbolizovať tento profil"
"My Account", "Môj účet"
"Make changes to the owner of this account.", "Vykonajte zmeny vo vlastníkovi tohto účtu."
"Your Name", "Tvoje meno"
"Name of account handler or parent", "Meno majiteľa účtu alebo rodiča"
"Email Address", "Emailová adresa"
"We will send updates and analytics", "Pošleme aktualizácie a analýzy"
"Account ID", "Číslo účtu"
"This is an unchangeable ID we might ask from you", "Toto je nemenné ID, ktoré by sme od vás mohli požiadať"
"Language", "Jazyk"
"Choose the language for app interface and assistive cards", "Vyberte jazyk rozhrania aplikácie a pomocných kariet"
"Based On Your Device", "Na základe vášho zariadenia"
"Languages from your native settings", "Jazyky z vášho pôvodného nastavenia"
"Supported Languages", "Podporované jazyky"
"All the languages that assistive cards support", "Všetky jazyky, ktoré podporujú asistenčné karty"
"Text-to-Speech Voice", "Hlas z textu na reč"
"Select the text-to-speech voice driver", "Vyberte hlasový ovládač prevodu textu na reč"
"Based On Your Location", "Na základe vašej polohy"
"Voice drivers that match with both your language and location", "Hlasové ovládače, ktoré sa zhodujú s jazykom a miestom"
"All Supported Voice Drivers", "Všetky podporované hlasové ovládače"
"List of all accents and supported voice drivers for your language", "Zoznam všetkých akcentov a podporovaných hlasových ovládačov pre váš jazyk"
"Notifications", "oznámenia"
"Choose when and why you would like to be notified by the app", "Vyberte, kedy a prečo by vás aplikácia chcela upozorniť"
"Reminders", "pripomenutie"
"We will remind you to use and practice the app", "Pripomeneme vám, aby ste aplikáciu mohli používať a precvičiť"
"Daily Reminders", "Denné pripomenutia"
