"Leeloo", "Leeloo"
"Hello $1", "Hej $1"
"$1 packs", "$1-paket"
"$1 cards", "$1-kort"
"ACTIVE", "AKTIVA"
"This is a test voice!", "Det här är en teströst!"
"New Profile", "Ny profil"
"Create a new application user profile.", "Skapa en ny applikationsanvändarprofil."
"Profile Name", "Profilnamn"
"You can give your child's name", "Du kan ge ditt barns namn"
"Profile Avatar", "Profil Avatar"
"Choose an avatar that looks like the user of this profile", "Välj en avatar som ser ut som användaren av den här profilen"
"Assistive Cards Packs", "Hjälpkortpaket"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Vi ställer in standardkort för den här profilen. Du kan lägga till eller ta bort hjälpkortspaket efter skapandet"
"Change Avatar", "Ändra avatar"
"Choose an avatar to symbolize this profile", "Välj en avatar för att symbolisera den här profilen"
"My Account", "Mitt konto"
"Make changes to the owner of this account.", "Gör ändringar av ägaren till det här kontot."
"Your Name", "Ditt namn"
"Name of account handler or parent", "Namn på kontohanteraren eller föräldern"
"Email Address", "E-postadress"
"We will send updates and analytics", "Vi skickar uppdateringar och analyser"
"Account ID", "konto-id"
"This is an unchangeable ID we might ask from you", "Detta är ett oföränderligt ID som vi kan begära från dig"
"Language", "Språk"
"Choose the language for app interface and assistive cards", "Välj språk för appgränssnitt och hjälpkort"
"Based On Your Device", "Baserat på din enhet"
"Languages from your native settings", "Språk från dina ursprungliga inställningar"
"Supported Languages", "Språk som stöds"
"All the languages that assistive cards support", "Alla språk som hjälpkort stöder"
"Text-to-Speech Voice", "Text-till-tal-röst"
"Select the text-to-speech voice driver", "Välj text-till-tal röstdrivrutin"
"Based On Your Location", "Baserat på din plats"
"Voice drivers that match with both your language and location", "Röstdrivrutiner som matchar både ditt språk och din plats"
"All Supported Voice Drivers", "Alla stöds röstdrivrutiner"
"List of all accents and supported voice drivers for your language", "Lista över alla accenter och stöds röstdrivrutiner för ditt språk"
"Notifications", "anmälningar"
"Choose when and why you would like to be notified by the app", "Välj när och varför du vill bli meddelad av appen"
"Reminders", "påminnelser"
"We will remind you to use and practice the app", "Vi påminner dig om att använda och öva appen"
"Daily Reminders", "Dagliga påminnelser"
"We will send you reminder to practice daily", "Vi skickar er påminnelse om att träna dagligen"
"Weekly Reminders", "Veckovis påminnelser"
"We will send you reminder to practice weekly", "Vi skickar er påminnelse om att träna varje vecka"
"Tips & Promotions", "Tips och kampanjer"
"Decide if you like us to send you tips for using the app or new promotions", "Bestäm om du gillar att vi ska skicka tips om hur du använder appen eller nya kampanjer"
"Usability Tips", "Tips om användbarhet"
"How to effectively use the app", "Hur man använder appen effektivt"
"Promotions", "kampanjer"
"Let us notify you when we have a discount for the subscription", "Låt oss meddela dig när vi har rabatt på prenumerationen"
"Subscriptions", "Prenumerationer"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "Hantera dina prenumerationer och Leeloo Premium-köp och växla mellan planer."
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "För att avbryta en prenumeration, gå till din enhet eller marknadsinställningar och prenumerationer."
"You can't downgrade your lifetime premium subscription.", "Du kan inte nedgradera ditt premiumabonnemang för livstid."
"One-time payment", "Engångsbetalning"
"Recurring payment", "Återkommande betalning"
"Sign Out", "Logga ut"
"Send Feedback", "Skicka synpunkter"
"Open Source Licenses", "Open Source-licenser"
"Privacy Policy", "Integritetspolicy"
"Terms of Service", "Användarvillkor"
"Remove My Data", "Ta bort mina data"
"Learn how we collect data and ask us to remove the collected data", "Lär dig hur vi samlar in data och ber oss ta bort insamlade data"
"We do not collect Personally Identifiable Information (PII) for kids, minors or intellectually disabled users with appointed guardians.", "Vi samlar inte in personlig information (PII) för barn, minderåriga eller intellektuellt funktionshindrade användare med utsedda vårdnadshavare."
"Following the guidelines of Children's Online Privacy Protection Act (COPPA), you can ask us to remove all your or your child's anonymous data anytime you want.", "I enlighet med riktlinjerna för barnens skydd för integritetsskydd för barn (COPPA) kan du be oss ta bort alla dina eller ditt barns anonyma data när du vill."
"To learn more, read our Privacy Policy in the previous menu.", "Läs vår sekretesspolicy i föregående meny för att lära dig mer."
"When you ask us to remove your data, we will remove your account and any data we collected about you or your child. Additionaly if you have a subscription, it will be terminated. And removed data will not be recoverable.", "När du ber oss ta bort dina data tar vi bort ditt konto och all information som vi samlade in om dig eller ditt barn. Om du har ett prenumeration kommer det att avslutas. Och borttagna data kommer inte att kunna återvinnas."
"I understand, remove my data.", "Jag förstår, ta bort mina data."
"Parents Only", "Endast föräldrar"
"Drag and drop the key over padlock in order to unlock the Settings", "Dra och släpp tangenten över hänglåset för att låsa upp inställningarna"
"Create a profile!", "Skapa en profil!"
"Choose a profile name or tell us the person who is going to use this application.", "Välj ett profilnamn eller berätta för oss personen som ska använda den här applikationen."
"Your Name", "Ditt namn"
"Choose an avatar!", "Välj en avatar!"
"Choose an avatar for the person who is going to use this AAC application.", "Välj en avatar för den person som ska använda denna AAC-applikation."
"Boy", "Pojke"
"Girl", "Flicka"
"Mixed", "Blandad"
"Congratulations, $1!", "Grattis, $1!"
"Your user profile has been completed. You can start using Leeloo AAC app", "Din användarprofil är klar. Du kan börja använda Leeloo AAC-app"
"Welcome to", "Välkommen till"
"Leeloo AAC", "Leeloo AAC"
"Thank you for downloading Leeloo AAC, let's get started with setting up your leeloo profile.", "Tack för att du laddat ner Leeloo AAC, låt oss komma igång med att ställa in din leeloo-profil."
"View other sign in options", "Visa andra inloggningsalternativ"
"Who is using the app?", "Vem använder appen?"
"Search cards and phrases...", "Sök kort och fraser ..."
"Unlock Leeloo Premium!", "Lås upp Leeloo Premium!"
"Functionality of Leeloo AAC will always be free. Leeloo Premium offers +50 additional Assistive Card packs.", "Leeloo AACs funktionalitet är alltid gratis. Leeloo Premium erbjuder +50 extra hjälpkortpaket."
"Monthly", "En gång i månaden"
"Try 3 days for FREE", "Försök 3 dagar GRATIS"
"Then $1/year", "Sedan $1 / år"
"Lifetime", "Livstid"
"One-time Payment", "Engångsbetalning"
"SAVE $1%", "SPARA $1%"
"$1/mo", "$1 / mo"
"See the packs you will unlock", "Se förpackningarna du låser upp"
"Scroll the cards right to see all of the premium assistive cards.", "Rulla korten åt höger för att se alla premiumhjälpkort."
"$1 cards", "$1-kort"
"$1 phrases", "$1-fraser"
"Start 3 days FREE Trial", "Starta 3 dagar GRATIS prov"
"Cancel anytime without cost", "Avbryt när som helst utan kostnad"
"Free trial for 3 days only appy to yearly plan and during this time; you can cancel your subscription without any cost.", "Gratis prøveversion under 3 dagar gäller endast för årlig planering och under denna tid; Du kan avbryta ditt prenumeration utan kostnad."
"Make sure to review the seller platform Terms and Conditions before hand, if you have any problems or issues contact us and we will do everything we can to solve any problems you face.", "Se till att du granskar säljarplattformens villkor innan du har några problem eller problem kontakta oss så gör vi allt vi kan för att lösa eventuella problem du står inför."
"Monthly and Yearly plans are recurring plans and Lifetime plan is a one-time payment plan, for subscriptions, unless auto-renew is turned off you will be charged the period price when the current period ends.", "Månads- och årsplaner är återkommande planer och livstidsplanen är en engångsbetalningsplan för prenumerationer, om inte automatisk förnyelse är avstängd debiteras du periodpriset när den aktuella perioden slutar."
"Keep in mind refunds are handled by the platforms and the refund times and policies might differ respect to the platform and the market you are subscribing from.", "Kom ihåg att återbetalningar hanteras av plattformarna och återbetalningstider och policyer kan variera med avseende på plattformen och marknaden du prenumererar på."
"Please report accidental purchases to us the same day or at least in 24 hours using 'Send Feedback' page in App settings.", "Rapportera oavsiktliga köp till oss samma dag eller åtminstone inom 24 timmar med sidan "Skicka feedback" i appinställningar."
"Leeloo Premium", "Leeloo Premium"
"Subscribe to get more", "Prenumerera för att få mer"
"Try 3 days for free", "Prova 3 dagar gratis"
"Next", "Nästa"
"Start", "Start"
