"Leeloo", "Leeloo"
"Hello $1", "สวัสดี $1"
"$1 packs", "$1 แพ็ค"
"$1 cards", "การ์ด $1"
"ACTIVE", "คล่องแคล่ว"
"This is a test voice!", "นี่คือเสียงทดสอบ!"
"New Profile", "โปรไฟล์ใหม่"
"Create a new application user profile.", "สร้างโปรไฟล์ผู้ใช้แอปพลิเคชันใหม่"
"Profile Name", "ชื่อโปรไฟล์"
"You can give your child's name", "คุณสามารถให้ชื่อบุตรหลานของคุณ"
"Profile Avatar", "รูปส่วนตัว"
"Choose an avatar that looks like the user of this profile", "เลือกรูปประจำตัวที่ดูเหมือนกับผู้ใช้โปรไฟล์นี้"
"Assistive Cards Packs", "แพ็คการ์ดอำนวยความสะดวก"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "เราจะตั้งค่าบัตรเริ่มต้นสำหรับโปรไฟล์นี้ คุณสามารถเพิ่มหรือลบแพ็คการ์ดช่วยเหลือได้หลังจากสร้าง"
"Change Avatar", "เปลี่ยน Avatar"
"Choose an avatar to symbolize this profile", "เลือกรูปประจำตัวเพื่อเป็นสัญลักษณ์ของโปรไฟล์นี้"
"My Account", "บัญชีของฉัน"
"Make changes to the owner of this account.", "ทำการเปลี่ยนแปลงกับเจ้าของบัญชีนี้"
"Your Name", "ชื่อของคุณ"
"Name of account handler or parent", "ชื่อตัวจัดการบัญชีหรือผู้ปกครอง"
"Email Address", "ที่อยู่อีเมล"
"We will send updates and analytics", "เราจะส่งอัปเดตและการวิเคราะห์"
"Account ID", "หมายเลขบัญชี"
"This is an unchangeable ID we might ask from you", "นี่เป็นรหัสที่ไม่สามารถเปลี่ยนแปลงได้ที่เราอาจขอจากคุณ"
"Language", "ภาษา"
"Choose the language for app interface and assistive cards", "เลือกภาษาสำหรับส่วนต่อประสานแอพและการ์ดช่วยเหลือ"
"Based On Your Device", "ขึ้นอยู่กับอุปกรณ์ของคุณ"
"Languages from your native settings", "ภาษาจากการตั้งค่าดั้งเดิมของคุณ"
"Supported Languages", "ภาษาที่รองรับ"
"All the languages that assistive cards support", "ทุกภาษาที่รองรับการ์ดช่วยเหลือ"
"Text-to-Speech Voice", "เสียงข้อความเป็นคำพูด"
"Select the text-to-speech voice driver", "เลือกไดรเวอร์เสียงเป็นข้อความ"
"Based On Your Location", "ขึ้นอยู่กับตำแหน่งของคุณ"
"Voice drivers that match with both your language and location", "ไดรเวอร์เสียงที่เหมาะกับทั้งภาษาและที่ตั้งของคุณ"
"All Supported Voice Drivers", "ไดรเวอร์เสียงที่รองรับทั้งหมด"
"List of all accents and supported voice drivers for your language", "รายการของเสียงทั้งหมดและไดรเวอร์เสียงที่รองรับสำหรับภาษาของคุณ"
"Notifications", "การแจ้งเตือน"
"Choose when and why you would like to be notified by the app", "เลือกเวลาและสาเหตุที่คุณต้องการให้แอปแจ้งเตือน"
"Reminders", "การแจ้งเตือน"
"We will remind you to use and practice the app", "เราจะเตือนให้คุณใช้และฝึกฝนแอพ"
"Daily Reminders", "การแจ้งเตือนรายวัน"
"We will send you reminder to practice daily", "เราจะส่งคำเตือนให้คุณฝึกฝนทุกวัน"
"Weekly Reminders", "การแจ้งเตือนรายสัปดาห์"
"We will send you reminder to practice weekly", "เราจะส่งการเตือนความจำให้คุณฝึกซ้อมทุกสัปดาห์"
"Tips & Promotions", "เคล็ดลับ & โปรโมชั่น"
"Decide if you like us to send you tips for using the app or new promotions", "ตัดสินใจว่าคุณต้องการให้เราส่งเคล็ดลับในการใช้แอพหรือโปรโมชันใหม่ให้คุณหรือไม่"
"Usability Tips", "เคล็ดลับการใช้งาน"
"How to effectively use the app", "วิธีใช้แอพอย่างมีประสิทธิภาพ"
"Promotions", "โปรโมชั่น"
"Let us notify you when we have a discount for the subscription", "ให้เราแจ้งให้คุณทราบเมื่อเรามีส่วนลดสำหรับการสมัครสมาชิก"
"Subscriptions", "การสมัครรับข้อมูล"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "จัดการการสมัครสมาชิกและการซื้อ Leeloo Premium ของคุณและสลับไปมาระหว่างแผนต่างๆ"
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "เพื่อยกเลิกการสมัครโปรดไปที่อุปกรณ์หรือการตั้งค่าการตลาดและการสมัครสมาชิกของคุณ"
"You can't downgrade your lifetime premium subscription.", "คุณไม่สามารถปรับลดรุ่นสมัครสมาชิกพรีเมี่ยมตลอดชีวิตของคุณ"
"One-time payment", "ชำระครั้งเดียว"
"Recurring payment", "ชำระเงินเป็นประจำ"
"Sign Out", "ออกจากระบบ"
"Send Feedback", "ส่งความคิดเห็น"
"Open Source Licenses", "ใบอนุญาตโอเพนซอร์ส"
"Privacy Policy", "นโยบายความเป็นส่วนตัว"
"Terms of Service", "เงื่อนไขการให้บริการ"
"Remove My Data", "ลบข้อมูลของฉัน"
"Learn how we collect data and ask us to remove the collected data", "เรียนรู้วิธีที่เรารวบรวมข้อมูลและขอให้เราลบข้อมูลที่รวบรวม"
"We do not collect Personally Identifiable Information (PII) for kids, minors or intellectually disabled users with appointed guardians.", "เราจะไม่รวบรวมข้อมูลที่สามารถระบุตัวบุคคลได้ (PII) สำหรับเด็กผู้เยาว์หรือผู้ใช้ที่มีความบกพร่องทางสติปัญญาพร้อมกับผู้ปกครองที่ได้รับการแต่งตั้ง"
"Following the guidelines of Children's Online Privacy Protection Act (COPPA), you can ask us to remove all your or your child's anonymous data anytime you want.", "ปฏิบัติตามคำแนะนำของพระราชบัญญัติคุ้มครองความเป็นส่วนตัวออนไลน์ของเด็ก (COPPA) คุณสามารถขอให้เราลบข้อมูลที่ไม่ระบุตัวตนของเด็กหรือของคุณออกได้ทุกเมื่อที่คุณต้องการ"
"To learn more, read our Privacy Policy in the previous menu.", "หากต้องการเรียนรู้เพิ่มเติมอ่านนโยบายความเป็นส่วนตัวของเราในเมนูก่อนหน้า"
"When you ask us to remove your data, we will remove your account and any data we collected about you or your child. Additionaly if you have a subscription, it will be terminated. And removed data will not be recoverable.", "เมื่อคุณขอให้เราลบข้อมูลของคุณเราจะลบบัญชีของคุณและข้อมูลใด ๆ ที่เรารวบรวมเกี่ยวกับคุณหรือลูกของคุณ นอกจากนี้หากคุณมีการสมัครสมาชิกก็จะถูกยกเลิก และข้อมูลที่ถูกลบจะไม่สามารถกู้คืนได้"
"I understand, remove my data.", "ฉันเข้าใจลบข้อมูลของฉัน"
"Parents Only", "ผู้ปกครองเท่านั้น"
"Drag and drop the key over padlock in order to unlock the Settings", "ลากและวางกุญแจทับกุญแจเพื่อปลดล็อคการตั้งค่า"
"Create a profile!", "สร้างโปรไฟล์!"
"Choose a profile name or tell us the person who is going to use this application.", "เลือกชื่อโปรไฟล์หรือบอกคนที่กำลังจะใช้แอปพลิเคชันนี้กับเรา"
"Your Name", "ชื่อของคุณ"
"Choose an avatar!", "เลือกรูปประจำตัว!"
"Choose an avatar for the person who is going to use this AAC application.", "เลือกภาพแทนตัวสำหรับบุคคลที่กำลังจะใช้แอปพลิเคชัน AAC นี้"
"Boy", "เด็กผู้ชาย"
"Girl", "สาว"
"Mixed", "ผสม"
"Congratulations, $1!", "ขอแสดงความยินดี $1!"
"Your user profile has been completed. You can start using Leeloo AAC app", "โปรไฟล์ผู้ใช้ของคุณเสร็จสมบูรณ์ คุณสามารถเริ่มใช้แอพ Leeloo AAC"
"Welcome to", "ยินดีต้อนรับสู่"
"Leeloo AAC", "Leeloo AAC"
"Thank you for downloading Leeloo AAC, let's get started with setting up your leeloo profile.", "ขอบคุณที่ดาวน์โหลด Leeloo AAC มาเริ่มกันด้วยการตั้งค่าโปรไฟล์ leeloo ของคุณ"
"View other sign in options", "ดูตัวเลือกการลงชื่อเข้าใช้อื่น ๆ"
"Who is using the app?", "ใครใช้แอพนี้"
"Search cards and phrases...", "ค้นหาการ์ดและวลี ..."
"Unlock Leeloo Premium!", "ปลดล็อก Leeloo Premium!"
"Functionality of Leeloo AAC will always be free. Leeloo Premium offers +50 additional Assistive Card packs.", "ฟังก์ชั่นของ Leeloo AAC นั้นฟรีเสมอ Leeloo Premium มอบแพ็คการ์ด Assistive เพิ่มเติม +50"
"Monthly", "รายเดือน"
"Try 3 days for FREE", "ลองฟรี 3 วัน"
"Then $1/year", "จากนั้น $1 / ปี"
"Lifetime", "ตลอดชีวิต"
"One-time Payment", "ชำระครั้งเดียว"
"SAVE $1%", "ประหยัด $1%"
"$1/mo", "$1 / เดือน"
"See the packs you will unlock", "ดูชุดที่คุณจะปลดล็อค"
"Scroll the cards right to see all of the premium assistive cards.", "เลื่อนการ์ดไปทางขวาเพื่อดูการ์ดช่วยเหลือพิเศษทั้งหมด"
"$1 cards", "การ์ด $1"
"$1 phrases", "วลี $1"
"Start 3 days FREE Trial", "ทดลองใช้ฟรี 3 วัน"
"Cancel anytime without cost", "ยกเลิกได้ตลอดเวลาโดยไม่มีค่าใช้จ่าย"
"Free trial for 3 days only appy to yearly plan and during this time; you can cancel your subscription without any cost.", "ทดลองใช้ฟรี 3 วันเฉพาะแผนการใช้งานรายปีและช่วงเวลานี้เท่านั้น คุณสามารถยกเลิกการสมัครสมาชิกโดยไม่มีค่าใช้จ่ายใด ๆ"
"Make sure to review the seller platform Terms and Conditions before hand, if you have any problems or issues contact us and we will do everything we can to solve any problems you face.", "ตรวจสอบให้แน่ใจว่าได้ตรวจสอบข้อกำหนดและเงื่อนไขของแพลตฟอร์มผู้ขายก่อนมือหากคุณมีปัญหาหรือปัญหาใด ๆ ติดต่อเราและเราจะทำทุกอย่างที่เราสามารถทำได้เพื่อแก้ไขปัญหาใด ๆ ที่คุณประสบ"
"Monthly and Yearly plans are recurring plans and Lifetime plan is a one-time payment plan, for subscriptions, unless auto-renew is turned off you will be charged the period price when the current period ends.", "แผนรายเดือนและรายปีเป็นแผนที่เกิดซ้ำและแผนอายุการใช้งานเป็นแผนการชำระเงินแบบครั้งเดียวสำหรับการสมัครสมาชิกเว้นแต่ว่าการต่ออายุอัตโนมัติจะถูกปิดคุณจะถูกเรียกเก็บเงินตามราคาในช่วงเวลาเมื่อสิ้นสุดระยะเวลาปัจจุบัน"
"Keep in mind refunds are handled by the platforms and the refund times and policies might differ respect to the platform and the market you are subscribing from.", "โปรดทราบว่าการคืนเงินได้รับการจัดการโดยแพลตฟอร์มและเวลาการคืนเงินและนโยบายอาจแตกต่างกันไปตามแพลตฟอร์มและตลาดที่คุณสมัคร"
"Please report accidental purchases to us the same day or at least in 24 hours using 'Send Feedback' page in App settings.", "โปรดรายงานการซื้อโดยไม่ตั้งใจให้เราในวันเดียวกันหรืออย่างน้อย 24 ชั่วโมงโดยใช้หน้า 'ส่งความคิดเห็น' ในการตั้งค่าแอพ"
"Leeloo Premium", "Leeloo Premium"
"Subscribe to get more", "สมัครสมาชิกเพื่อรับเพิ่มเติม"
"Try 3 days for free", "ลองฟรี 3 วัน"
"Next", "ต่อไป"
"Start", "เริ่มต้น"
"USE", "ใช้"
"USING", "ใช้"
"ADD", "เพิ่ม"
"REMOVE", "นำออก"
"Your device doesn't support voice driver for this language. In order to use TTS capabilities, you need to install a voice driver. You can try 'Google TTS' app to install and manage drivers!", "อุปกรณ์ของคุณไม่รองรับโปรแกรมควบคุมเสียงสำหรับภาษานี้ ในการใช้ความสามารถของ TTS คุณจะต้องติดตั้งไดรเวอร์เสียง คุณสามารถลองใช้แอป 'Google TTS' เพื่อติดตั้งและจัดการไดรเวอร์!"
"Confirm Sign Out", "ยืนยันออกจากระบบ"
"Keep in mind you can keep signed in, and don't have to sign out of your account every time.", "โปรดทราบว่าคุณสามารถลงชื่อเข้าใช้และไม่ต้องออกจากระบบบัญชีของคุณทุกครั้ง"
"Remove Profile", "ลบโปรไฟล์"
"Are you sure that you want to remove this profile, data created by this profile will also be removed.", "คุณแน่ใจหรือไม่ว่าต้องการลบโปรไฟล์นี้ข้อมูลที่สร้างโดยโปรไฟล์นี้จะถูกลบด้วย"
"OK", "ตกลง"
"Cancel", "ยกเลิก"
