"Leeloo", "Leeloo"
"Hello $1", "Merhaba $1"
"$1 packs", "$1 paketleri"
"$1 cards", "$1 kartları"
"ACTIVE", "AKTİF"
"This is a test voice!", "Bu bir test sesi!"
"New Profile", "Yeni profil"
"Create a new application user profile.", "Yeni bir uygulama kullanıcı profili oluşturun."
"Profile Name", "Profil ismi"
"You can give your child's name", "Çocuğunuzun adını verebilirsiniz"
"Profile Avatar", "Profil Avatarı"
"Choose an avatar that looks like the user of this profile", "Bu profilin kullanıcısına benzeyen bir avatar seçin"
"Assistive Cards Packs", "Yardımcı Kart Paketleri"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Bu profil için varsayılan kartları ayarlayacağız. Oluşturduktan sonra yardımcı kart paketlerini ekleyebilir veya çıkarabilirsiniz"
"Change Avatar", "Avatarı değiştir"
"Choose an avatar to symbolize this profile", "Bu profili sembolize etmek için bir avatar seçin"
"My Account", "Hesabım"
"Make changes to the owner of this account.", "Bu hesabın sahibinde değişiklik yapın."
"Your Name", "Adınız"
"Name of account handler or parent", "Hesap işleyicisinin veya ebeveynin adı"
"Email Address", "E"
"We will send updates and analytics", "Güncellemeler ve analizler göndereceğiz"
"Account ID", "Hesap Kimliği"
"This is an unchangeable ID we might ask from you", "Bu sizden isteyebileceğimiz, değiştirilemeyen bir kimlik"
"Language", "Dil"
"Choose the language for app interface and assistive cards", "Uygulama arayüzü ve yardımcı kartlar için dili seçin"
"Based On Your Device", "Cihazınıza Dayalı"
"Languages from your native settings", "Yerel ayarlarınızdan diller"
"Supported Languages", "Desteklenen Diller"
"All the languages that assistive cards support", "Yardımcı kartların desteklediği tüm diller"
"Text-to-Speech Voice", "Metin-Konuşma Sesi"
"Select the text-to-speech voice driver", "Metinden sese sesli sürücüsünü seçin"
"Based On Your Location", "Konumunuza Göre"
"Voice drivers that match with both your language and location", "Hem diliniz hem de konumunuzla eşleşen ses sürücüleri"
"All Supported Voice Drivers", "Desteklenen Tüm Ses Sürücüleri"
"List of all accents and supported voice drivers for your language", "Diliniz için tüm aksanların ve desteklenen ses sürücülerinin listesi"
"Notifications", "Bildirimler"
"Choose when and why you would like to be notified by the app", "Uygulama tarafından ne zaman ve neden bildirim almak istediğinizi seçin"
"Reminders", "Hatırlatmalar"
"We will remind you to use and practice the app", "Uygulamayı kullanmanızı ve uygulamayı hatırlatacağız"
"Daily Reminders", "Günlük Hatırlatmalar"
"We will send you reminder to practice daily", "Günlük pratik yapmak için size hatırlatma göndereceğiz"
"Weekly Reminders", "Haftalık Hatırlatmalar"
"We will send you reminder to practice weekly", "Size haftalık pratik yapmak için hatırlatma göndereceğiz"
"Tips & Promotions", "İpuçları ve Promosyonlar"
"Decide if you like us to send you tips for using the app or new promotions", "Uygulamayı veya yeni promosyonları kullanmayla ilgili ipuçları göndermemizi isteyip istemediğinize karar verin"
