"Leeloo", "لیلو"
"Hello $1", "ہیلو ایکس ایکس ایکس ایکس"
"$1 packs", "$1 پیک"
"$1 cards", "$1 کارڈز"
"ACTIVE", "فعال"
"This is a test voice!", "یہ ایک آزمائشی آواز ہے!"
"New Profile", "نئ پروفائل"
"Create a new application user profile.", "نیا ایپلی کیشن صارف پروفائل بنائیں۔"
"Profile Name", "پروفائل کا نام"
"You can give your child's name", "آپ اپنے بچے کا نام دے سکتے ہیں"
"Profile Avatar", "پروفائل اوتار"
"Choose an avatar that looks like the user of this profile", "ایک اوتار کا انتخاب کریں جو اس پروفائل کے صارف کی طرح دکھائی دے"
"Assistive Cards Packs", "معاون کارڈ پیک"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "ہم اس پروفائل کیلئے پہلے سے طے شدہ کارڈز ترتیب دیں گے۔ آپ مددگار کارڈ پیک بنانے کے بعد اسے شامل یا ختم کرسکتے ہیں"
"Change Avatar", "اوتار تبدیل کریں"
"Choose an avatar to symbolize this profile", "اس پروفائل کی علامت کے لئے اوتار کا انتخاب کریں"
"My Account", "میرا اکاونٹ"
"Make changes to the owner of this account.", "اس اکاؤنٹ کے مالک میں تبدیلیاں کریں۔"
"Your Name", "تمھارا نام"
"Name of account handler or parent", "اکاؤنٹ ہینڈلر یا والدین کا نام"
"Email Address", "ای میل اڈریس"
"We will send updates and analytics", "ہم اپڈیٹس اور تجزیات بھیجیں گے"
"Account ID", "اکاؤنٹ کی شناخت"
"This is an unchangeable ID we might ask from you", "یہ ایک بدلاؤ والی شناخت ہے جسے ہم آپ سے پوچھ سکتے ہیں"
"Language", "زبان"
"Choose the language for app interface and assistive cards", "ایپ انٹرفیس اور معاون کارڈ کیلئے زبان کا انتخاب کریں"
"Based On Your Device", "آپ کی ڈیوائس پر مبنی"
"Languages from your native settings", "آپ کی مقامی ترتیبات کی زبانیں"
"Supported Languages", "تائید شدہ زبانیں"
"All the languages that assistive cards support", "مددگار کارڈ کی مدد کرنے والی تمام زبانیں"
"Text-to-Speech Voice", "متن سے تقریر کی آواز"
"Select the text-to-speech voice driver", "متن سے اسپیچ وائس ڈرائیور منتخب کریں"
"Based On Your Location", "آپ کے مقام کی بنیاد پر"
"Voice drivers that match with both your language and location", "صوتی ڈرائیور جو آپ کی زبان اور مقام دونوں سے مماثل ہیں"
"All Supported Voice Drivers", "تمام معاون وائس ڈرائیورز"
"List of all accents and supported voice drivers for your language", "آپ کی زبان کے ل all سبھی لہجے اور تائید والے صوتی ڈرائیوروں کی فہرست"
"Notifications", "اطلاعات"
"Choose when and why you would like to be notified by the app", "آپ کب اور کیوں ایپ کے ذریعہ مطلع کرنا چاہیں گے کا انتخاب کریں"
"Reminders", "یاددہانی"
"We will remind you to use and practice the app", "ہم آپ کو ایپ کو استعمال کرنے اور اس پر عمل کرنے کی یاد دلائیں گے"
"Daily Reminders", "روزانہ یاد دہانی"
"We will send you reminder to practice daily", "ہم آپ کو روزانہ مشق کرنے کے لئے یاد دہانی بھیجیں گے"
"Weekly Reminders", "ہفتہ وار یاد دہانی"
"We will send you reminder to practice weekly", "ہم آپ کو ہفتہ وار مشق کرنے کے لئے یاد دہانی بھیجیں گے"
"Tips & Promotions", "اشارے اور پروموشنز"
"Decide if you like us to send you tips for using the app or new promotions", "فیصلہ کریں کہ کیا آپ ہمیں ایپ کے استعمال کے ل tips اشارے یا نئی پروموشن بھیجنا چاہتے ہیں"
"Usability Tips", "استعمال کے اشارے"
"How to effectively use the app", "ایپ کو موثر طریقے سے استعمال کرنے کا طریقہ"
"Promotions", "پروموشنز"
"Let us notify you when we have a discount for the subscription", "جب ہمارے پاس خریداری میں کمی ہوگی تو ہمیں آپ کو مطلع کریں"
"Subscriptions", "سبسکرپشنز"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "اپنی سبسکرپشنز اور لیلو پریمیم خریداری کا نظم کریں اور منصوبوں کے مابین سوئچ کریں۔"
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "کسی رکنیت کو منسوخ کرنے کے ل your ، براہ کرم اپنے آلے یا مارکیٹ کی ترتیبات اور خریداریوں پر جائیں۔"
"You can't downgrade your lifetime premium subscription.", "آپ اپنی زندگی بھر کے پریمیم رکنیت کو گھٹا نہیں سکتے ہیں۔"
"One-time payment", "ایک وقت کی ادائیگی"
"Recurring payment", "بار بار آنے والی ادائیگی"
"Sign Out", "باہر جائیں"
"Send Feedback", "رائے بھیجیں"
"Open Source Licenses", "اوپن سورس لائسنس"
"Privacy Policy", "رازداری کی پالیسی"
"Terms of Service", "سروس کی شرائط"
"Remove My Data", "میرا ڈیٹا ہٹا دیں"
"Learn how we collect data and ask us to remove the collected data", "جانیں کہ ہم کس طرح ڈیٹا اکٹھا کرتے ہیں اور جمع ڈیٹا کو ہٹانے کے لئے کہتے ہیں"
"We do not collect Personally Identifiable Information (PII) for kids, minors or intellectually disabled users with appointed guardians.", "ہم مقررہ سرپرستوں کے ساتھ بچوں ، نابالغوں یا فکری طور پر معذور صارفین کے لئے ذاتی طور پر قابل شناخت معلومات (PII) جمع نہیں کرتے ہیں۔"
"Following the guidelines of Children's Online Privacy Protection Act (COPPA), you can ask us to remove all your or your child's anonymous data anytime you want.", "چلڈرن آن لائن پرائیویسی پروٹیکشن ایکٹ (COPPA) کے رہنما اصولوں کی پیروی کرتے ہوئے ، آپ ہم سے جب بھی چاہیں اپنے یا اپنے بچے کے تمام گمنام ڈیٹا کو ہٹانے کے لئے کہہ سکتے ہیں۔"
"To learn more, read our Privacy Policy in the previous menu.", "مزید جاننے کے ل our ، پچھلے مینو میں ہماری رازداری کی پالیسی پڑھیں۔"
