"Leeloo", "Leeloo"
"Hello $1", "Xin chào $1"
"$1 packs", "Gói $1"
"$1 cards", "Thẻ $1"
"ACTIVE", "HOẠT ĐỘNG"
"This is a test voice!", "Đây là một giọng nói thử nghiệm!"
"New Profile", "Hồ sơ mới"
"Create a new application user profile.", "Tạo một hồ sơ người dùng ứng dụng mới."
"Profile Name", "Tên hồ sơ"
"You can give your child's name", "Bạn có thể cho biết tên của con bạn"
"Profile Avatar", "Hồ sơ Avatar"
"Choose an avatar that looks like the user of this profile", "Chọn một hình đại diện trông giống như người dùng của hồ sơ này"
"Assistive Cards Packs", "Gói thẻ hỗ trợ"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "Chúng tôi sẽ đặt thẻ mặc định cho hồ sơ này. Bạn có thể thêm hoặc xóa gói thẻ trợ giúp sau khi tạo"
"Change Avatar", "Thay đổi hình đại diện"
"Choose an avatar to symbolize this profile", "Chọn một hình đại diện để tượng trưng cho hồ sơ này"
"My Account", "Tài khoản của tôi"
"Make changes to the owner of this account.", "Thay đổi chủ sở hữu của tài khoản này."
"Your Name", "Tên của bạn"
"Name of account handler or parent", "Tên của người xử lý tài khoản hoặc cha mẹ"
"Email Address", "Địa chỉ email"
"We will send updates and analytics", "Chúng tôi sẽ gửi thông tin cập nhật và phân tích"
"Account ID", "ID tài khoản"
"This is an unchangeable ID we might ask from you", "Đây là ID không thể thay đổi mà chúng tôi có thể yêu cầu từ bạn"
"Language", "Ngôn ngữ"
"Choose the language for app interface and assistive cards", "Chọn ngôn ngữ cho giao diện ứng dụng và thẻ hỗ trợ"
"Based On Your Device", "Dựa trên thiết bị của bạn"
"Languages from your native settings", "Ngôn ngữ từ cài đặt gốc của bạn"
"Supported Languages", "Ngôn ngữ được hỗ trợ"
"All the languages that assistive cards support", "Tất cả các ngôn ngữ hỗ trợ thẻ hỗ trợ"
"Text-to-Speech Voice", "Giọng nói chuyển văn bản thành giọng nói"
"Select the text-to-speech voice driver", "Chọn trình điều khiển giọng nói chuyển văn bản thành giọng nói"
"Based On Your Location", "Dựa trên vị trí của bạn"
"Voice drivers that match with both your language and location", "Trình điều khiển giọng nói phù hợp với cả ngôn ngữ và vị trí của bạn"
"All Supported Voice Drivers", "Tất cả các trình điều khiển giọng nói được hỗ trợ"
"List of all accents and supported voice drivers for your language", "Danh sách tất cả các dấu và trình điều khiển giọng nói được hỗ trợ cho ngôn ngữ của bạn"
"Notifications", "Thông báo"
"Choose when and why you would like to be notified by the app", "Chọn thời điểm và lý do bạn muốn được ứng dụng thông báo"
"Reminders", "Nhắc nhở"
"We will remind you to use and practice the app", "Chúng tôi sẽ nhắc bạn sử dụng và thực hành ứng dụng"
"Daily Reminders", "Nhắc nhở hàng ngày"
"We will send you reminder to practice daily", "Chúng tôi sẽ gửi cho bạn lời nhắc để thực hành hàng ngày"
"Weekly Reminders", "Nhắc nhở hàng tuần"
"We will send you reminder to practice weekly", "Chúng tôi sẽ gửi cho bạn lời nhắc để thực hành hàng tuần"
"Tips & Promotions", "Mẹo & Khuyến mãi"
"Decide if you like us to send you tips for using the app or new promotions", "Quyết định xem bạn có thích chúng tôi gửi cho bạn mẹo sử dụng ứng dụng hoặc chương trình khuyến mãi mới không"
"Usability Tips", "Mẹo sử dụng"
"How to effectively use the app", "Cách sử dụng ứng dụng hiệu quả"
"Promotions", "Chương trình khuyến mãi"
"Let us notify you when we have a discount for the subscription", "Hãy để chúng tôi thông báo cho bạn khi chúng tôi giảm giá cho thuê bao"
"Subscriptions", "Đăng ký"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "Quản lý đăng ký của bạn và mua hàng Leeloo Premium và chuyển đổi giữa các gói."
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "Để hủy đăng ký, vui lòng truy cập cài đặt và đăng ký thiết bị hoặc thị trường của bạn."
"You can't downgrade your lifetime premium subscription.", "Bạn không thể hạ cấp thuê bao cao cấp trọn đời của bạn."
"One-time payment", "Thanh toán một lần"
"Recurring payment", "Thanh toán định kỳ"
"Sign Out", "Đăng xuất"
"Send Feedback", "Gửi thông tin phản hồi"
"Open Source Licenses", "Giấy phép nguồn mở"
"Privacy Policy", "Chính sách bảo mật"
"Terms of Service", "Điều khoản dịch vụ"
"Remove My Data", "Xóa dữ liệu của tôi"
"Learn how we collect data and ask us to remove the collected data", "Tìm hiểu cách chúng tôi thu thập dữ liệu và yêu cầu chúng tôi xóa dữ liệu đã thu thập"
"We do not collect Personally Identifiable Information (PII) for kids, minors or intellectually disabled users with appointed guardians.", "Chúng tôi không thu thập Thông tin nhận dạng cá nhân (PII) cho trẻ em, trẻ vị thành niên hoặc người dùng bị thiểu năng trí tuệ với người giám hộ được chỉ định."
"Following the guidelines of Children's Online Privacy Protection Act (COPPA), you can ask us to remove all your or your child's anonymous data anytime you want.", "Theo hướng dẫn của Đạo luật bảo vệ quyền riêng tư trực tuyến của trẻ em (COPPA), bạn có thể yêu cầu chúng tôi xóa tất cả dữ liệu ẩn danh của bạn hoặc con bạn bất cứ lúc nào bạn muốn."
"To learn more, read our Privacy Policy in the previous menu.", "Để tìm hiểu thêm, hãy đọc Chính sách quyền riêng tư của chúng tôi trong menu trước."
"When you ask us to remove your data, we will remove your account and any data we collected about you or your child. Additionaly if you have a subscription, it will be terminated. And removed data will not be recoverable.", "Khi bạn yêu cầu chúng tôi xóa dữ liệu của bạn, chúng tôi sẽ xóa tài khoản của bạn và mọi dữ liệu chúng tôi đã thu thập về bạn hoặc con bạn. Bổ sung nếu bạn có một thuê bao, nó sẽ bị chấm dứt. Và dữ liệu bị xóa sẽ không thể phục hồi."
"I understand, remove my data.", "Tôi hiểu, loại bỏ dữ liệu của tôi."
"Parents Only", "Chỉ cha mẹ"
"Drag and drop the key over padlock in order to unlock the Settings", "Kéo và thả phím trên ổ khóa để mở khóa Cài đặt"
"Create a profile!", "Tạo một hồ sơ!"
"Choose a profile name or tell us the person who is going to use this application.", "Chọn một tên hồ sơ hoặc cho chúng tôi biết người sẽ sử dụng ứng dụng này."
"Your Name", "Tên của bạn"
