"Leeloo", "Leeloo"
"Hello $1", "$1你好"
"$1 packs", "$1包"
"$1 cards", "$1张卡"
"ACTIVE", "活性"
"This is a test voice!", "这是测试声音！"
"New Profile", "新的配置文件"
"Create a new application user profile.", "创建一个新的应用程序用户配置文件。"
"Profile Name", "个人资料名称"
"You can give your child's name", "你可以给你孩子的名字"
"Profile Avatar", "个人资料头像"
"Choose an avatar that looks like the user of this profile", "选择一个类似于该个人资料用户的头像"
"Assistive Cards Packs", "辅助卡包"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "我们将为此配置文件设置默认卡。创建后可以添加或删除辅助卡包"
"Change Avatar", "更改头像"
"Choose an avatar to symbolize this profile", "选择一个头像来象征此个人资料"
"My Account", "我的帐户"
"Make changes to the owner of this account.", "对此帐户的所有者进行更改。"
"Your Name", "你的名字"
"Name of account handler or parent", "帐户处理者或父母的名称"
"Email Address", "电子邮件地址"
"We will send updates and analytics", "我们将发送更新和分析"
"Account ID", "帐户ID"
"This is an unchangeable ID we might ask from you", "这是我们可能要求您提供的不可更改的ID"
"Language", "语言"
"Choose the language for app interface and assistive cards", "选择应用程序界面和辅助卡的语言"
"Based On Your Device", "根据您的设备"
"Languages from your native settings", "本机设置中的语言"
"Supported Languages", "支持的语言"
"All the languages that assistive cards support", "辅助卡支持的所有语言"
"Text-to-Speech Voice", "文字转语音"
"Select the text-to-speech voice driver", "选择文本语音转换语音驱动程序"
"Based On Your Location", "根据您的位置"
"Voice drivers that match with both your language and location", "与您的语言和位置相匹配的语音驱动程序"
"All Supported Voice Drivers", "所有支持的语音驱动程序"
"List of all accents and supported voice drivers for your language", "您的语言的所有重音和支持的语音驱动程序列表"
"Notifications", "通知事项"
"Choose when and why you would like to be notified by the app", "选择何时以及为什么要通过应用程序通知您"
"Reminders", "提醒事项"
"We will remind you to use and practice the app", "我们会提醒您使用和练习该应用"
"Daily Reminders", "每日提醒"
"We will send you reminder to practice daily", "我们会提醒您每天练习"
"Weekly Reminders", "每周提醒"
"We will send you reminder to practice weekly", "我们会每周提醒您练习"
"Tips & Promotions", "提示与促销"
"Decide if you like us to send you tips for using the app or new promotions", "确定您是否希望我们向您发送使用应用程序或新促销的提示"
"Usability Tips", "可用性提示"
"How to effectively use the app", "如何有效使用应用程序"
"Promotions", "促销活动"
"Let us notify you when we have a discount for the subscription", "订阅有折扣时，让我们通知您"
