slug,locale,,,,,,,
people,People,,,,,,,
mother,Mother,⁉️Mommy!,💘I love my mother.,❤️I love you mom.,☹️I miss my mom.,🙏🏼Thank you for taking care of me.,👉🏼She is my mom.,❓Can you help me find my mother?
father,Father,⁉️Daddy!,💘I love my father.,❤️I love you dad.,☹️I miss my dad.,🙏🏼Thank you for taking care of me.,👉🏼She is my dad.,❓Can you help me find my father?
parents,Parents,💑I love my parents.,💘I love my parents.,☹️I miss my parents.,👉🏼They are my parents.,,,
grandparents,Grandparents,💑I love my grandparents.,💘I love you grandparents.,☹️I miss my grandparents.,👉🏼They are my grandparents.,,,
brother,Brother,💑I love my brother.,💘I love you brother.,☹️I miss my brother.,👉🏼He is my brother.,,,
sister,Sister,💑I love my sister.,💘I love you sister.,☹️I miss my sister.,👉🏼She is my sister.,,,
uncle,Uncle,💑I love my uncle.,💘I love you uncle.,☹️I miss my uncle.,👉🏼He is my uncle.,,,
aunt,Aunt,💑I love my aunt.,💘I love you aunt.,☹️I miss my aunt.,👉🏼She is my aunt.,,,
teacher,Teacher,💑I love my teacher.,💘I love you teacher.,💔I don't like my teacher.,☹️I miss my teacher.,🙏🏼Thank you for the lesson.,,
therapist,Therapist,💑I love my therapist.,💘I love you therapist.,💔I don't like my therapist.,☹️I miss my therapist.,🙏🏼Thank you for the session.,,
doctor,Doctor,💑I love my doctor.,💘I love you doctor.,💔I don't like my doctor.,☹️I miss my doctor.,🙏🏼Thank you for healing me.,,
friends,Friends,💑I love my friends.,❓Do you want to be my friend?,💔I don't like my friends.,☹️I miss my friend.,👉🏼They are my friends.,🙏🏼Thank you for playing with me.,
cousins,Cousins,💑I love my cousins.,❌I don't have cousins.,☹️I miss my cousins.,👉🏼They are my cousins.,,,
grandmother,Grandmother,💑I love my grandmother.,💘I love you grandma.,☹️I miss my grandma.,👉🏼She is my grandma.,,,
grandfather,Grandfather,💑I love my mother.,💘I love you grandpa.,☹️I miss my grandpa.,👉🏼He is my grandpa.,,,
stepfather,Stepfather,💑I love my stepfather.,👉🏼He is my stepfather.,,,,,
stepmother,Stepmother,💑I love my stepmother.,👉🏼She is my stepmother.,,,,,
stepsister,Stepsister,💑I love my stepsister.,👉🏼She is my stepsister.,,,,,
stepbrother,Stepbrother,💑I love my stepbrother.,👉🏼He is my stepbrother.,,,,,
half-brother,Half brother,💑I love my half brother.,👉🏼He is my half brother.,,,,,
half-sister,Half sister,💑I love my half sister.,👉🏼She is my half sister.,,,,,
