type,free,free,free,free,free,free,free,free,free,free,free,free,free,,premium,premium,premium,premium,premium,premium,premium,premium,premium,premium,premium,premium,premium,premium,premium,,,,,,,,,,,,,,,,,,,,,,,,,,
count,18,21,18,33,53,21,26,18,22,42,18,22,21,,24,18,19,47,27,25,27,20,19,21,20,24,21,26,24,,,,,,,,,,,,,,,,,,,,,,,,,,
color,#FFE5E6,#E3F3FF,#FFF6D6,#EEF7F2,#FFE7F4,#F5F3FE,#FFEAD1,#EAFDFF,#FFDEEA,#C9D3FF,#FFD8D8,#FFE6BA,#E8F6F8,,#F9D9FF,#FDCBD8,#C7F5F7,#EDEEE7,#EDE7F9,#E9F5FE,#E6F5F3,#FFEAD1,#DCDFE1,#EDF8FF,#E6F5F3,#DFF4F1,#E6F7FD,#F1F7F3,#F4C6E3,,,,,,,,,,,,,,,,,,,,,,,,,,
name,Conversation,People,Feelings,Food,Animals,School,Activities,Shapes,Colors,Clothes,Numbers,Transport,Quarantine,,Toys,Drinks,Snacks,Occupations,Party,Fruits,Vegetables,Fair,Sports,Pirates,Travel,Gardening,Medical,Kitchen,Places,,,,,,,,,,,,,,,,,,,,,,,,,,
slug,conversation,people,feelings,food,animals,school,activities,shapes,colors,clothes,numbers,transport,quarantine,,toys,drinks,snacks,occupations,party,fruits,vegetables,fair,sports,pirates,travel,gardening,medical,kitchen,places,,,,,,,,,,,,,,,,,,,,,,,,,,
,me,mother,happy,hungry,cat,desk,walking,circle,crayons,pants,one,train,protective-mask,,doll,coffee,chips ,teacher,confetti,apple,cucumber,cotton-candy,basketball,captain,luggage,gardener,hospital-bed,mixer,park,,,,,,,,,,,,,,,,,,,,,,,,,,
,hello,father,sad,thirsty,dog,chair,running,triangle,red,shirt,two,car,stay-home,,teddy-bear,water,donut,police-officer,party-blower,watermelon,onion,magic-hat,boxing,pirate-crew,swimming,sprout,weight-loss,apron,mall,,,premium,premium,premium,premium,premium,premium,premium,premium,premium,premium,premium,premium,premium,premium,premium,premium,premium,premium,premium,premium,premium,premium,premium,premium
,help,parents,exhausted,cutlery,fish,book,talking,square,blue,skirt,three,bicycle,toilet-paper,,blocks,juice,taco,writer,gift,orange,garlic,ferris-wheel,tennis,treasure,passport,hose,exercise,fryer,restaurant,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
,yes,grandparents,relaxed,apple,rabbit,notebook,reading,rectangle,orange,panty,four,motorcycle,sprayer,,spinner,tea,peanuts,doctor,candle,strawberry,carrot,bowling,golf,hook,tent,glove,medical-history,rolling-pin,cinema,,,#FCF3ED,#FFEEE9,#FBF5FF,#F5FFF6,#E2EAEE,#EEE9ED,#FBF5EC,#E7EDEC,#FDE6EF,#E8F6F8,#D5EEF9,#DCEFF4,#FEF3CE,#E4E9EB,#E1DFEE,#E9DDEC,#FFF2D9,#FCE9E6,#F6ECE7,#FDE9EF,#F6FCF8,#F6F9FE,#FFF4F4,#F4F4EE
,no,brother,in-love,carrot,butterfly,backpack,football,star,green,jacket,five,skateboard,disinfectant,,nutcracker,grape-juice,croissant,detective,party-hat,grape,cabbage,bumper-car,hockey,compass,backpacking,flowers,vitamin-C,coffee-machine,school,,,Arts & Crafts,Games,Describe,Time,Nature,Universe,Mathematics,Science,Holiday,Music,Winter,Summer,Autumn,Spring,Body Parts,Playground,Money,Furniture,Religion,Restaurant,Makeup,Picnic,Princess,Music instrument
,toilet,sister,stressed,beans,kangaroo,blackboard,basketball,pentagon,yellow,tie,six,food-truck,thermometer,,video-games,milk,cookie,artist,balloons,cherry,tomato,carousel,swimming,pirate-ship,beach-chair,seeds,thermometer,fridge,library,,,arts-crafts,games,describe,time,nature,universe,mathematics,science,holiday,music,winter,summer,autumn,spring,body-parts,playground,money,furniture,religion,restaurant,Makeup,picnic,princess,music-instrument
,what,uncle,thankful,chicken,turtle,teacher,swimming ,hexagon,purple,baseball-cap,seven,boat,coughing,,cards,milkshake,burrito,singer,garlands,mango,eggplant,balloons,baseball,pirate-gun,room-service,shovel,pills,pot,fair,,,,chess,clean,today,,,,,,,,,,,,,,,christianity,,,,,
,sleep,aunt,confused,chocolate,giraffe,school-bus,painting,cross,pink,dress,eight,ship,medical-assistance,,toy-car,orange-juice,ramen,astronaut,cake,guava,mushroom,cups,american-football,pirate-sword,waiting-area,watering,medical-mask,toaster,drugstore,,,,checkers,dirty,now,,,,,,,,,,,,,,,church,,,,,
,bath,teacher,joyful,milk,frog,pencil,drawing,ellipse,brown,shoes,nine,bus,hand-sanitizer,,sword,apple-juice,sushi,sailor,ice-cream,banana,pepper,unicylce,cricket,barrel,electric-socket,scarecrow,dental-care,cutlery,hospital,,,,bowling,savory,tomorrow,,,,,,,,,,,,,,,islam,,,,,
,listen,therapist,angry,sandwich,swan,eraser,cycling,arrow,black,boots,ten,minibus,gloves,,yo-yo,pineapple-juice,chocolate,chef,microphone,pomegranate,corn,circus-tent,racing,pirate-flag,bag,tree,hearing-exam,eggs,amusement-park,,,,tic-tac-toe,sticky,morning,,,,,,,,,,,,,,,mosque,,,,,
,morning,doctor,smart,steak,spider,ruler,skating,crescent,white,sneakers,eleven,wheelchair,social-distancing,,slingshot,lemonade,apple-pie,farmer,music,raspberry,broccoli,food-truck,skiing,treasure-map,boarding-pass,fertilizer,hospital,spatula,dormitory,,,,name-place-animal-thing,stinky,night,,,,,,,,,,,,,,,atheist,,,,,
,night,friends,afraid,banana,cow,mathematics,sightseeing,heart,gray,slippers,twenty,taxi,mouth-mask,,water-gun,coke,muffin,construction-worker,magician,papaya,celery,tea-cup-ride,volleyball,spyglass,gps,pitchfork,stethoscope,oven,laundry-place,,,,puzzle,hot,afternoon,,,,,,,,,,,,,,,hinduism,,,,,
