slug,locale,,,
activities,Activities,,,
walking,Walking,❤️I like walking,❌I don't like walking,🙋Do you want to walk together?
running,Running,❤️I like running.,❌I don't like running.,🙋Do you want to go running?
talking,Talking,❤️I like talking.,❌I don't like talking.,🙋Do you want to talk with me?
reading,Reading,❤️I like reading.,❌I don't like reading.,🙋Do you want to read together?
football,Football,❤️I like playing football.,❌I don't like playing football.,🙋Do you want to play football?
basketball,Basketball,❤️I like playing basketball.,❌I don't like playing basketball.,🙋Do you want to play basketball?
swimming,Swimming,❤️I like swimming.,❌I don't like swimming.,🙋Do you want to go to swimming?
painting,Painting,❤️I like painting.,❌I don't like painting.,🙋Do you want to paint together?
drawing,Drawing,❤️I like drawing.,❌I don't like drawing.,🙋Do you want to draw together?
cycling,Cycling,❤️I like cycling.,❌I don't like cycling.,🙋Do you want to go cycling?
skating,Skating,❤️I like skating.,❌I don't like skating.,🙋Do you want to go skating?
sightseeing,Sightseeing,❤️I like sightseeing.,❌I don't like sightseeing.,🙋Do you want to go for sightseeing?
video-games,Video games,❤️I like playing video games.,❌I don't like playing video games.,🙋Do you want to play games?
tidying,Tidying,❤️I like tidying my room.,❌I don't like tidying my room.,🙋Can you help me tidy my room?
toys,Toys,❤️I like toys.,❌I don't like toys.,🙋Do you want to play with my toys?
puzzle,Puzzle,❤️I like solving puzzle.,❌I don't like solving puzzle.,🙋Do you want to solve puzzles with me?
comics,Comics,❤️I like reading comics.,❌I don't like reading comics.,🙋Do you want to read comics?
chess,Chess,❤️I like playing chess.,❌I don't like playing chess.,🙋Do you want to play chess with me?
using-leeloo,Using Leeloo,❤️I like using leeloo.,❌I don't like using leeloo.,🙋Can you change card packs on leeloo?
texting,Texting,❤️I like texting.,❌I don't like texting.,
knitting,Knitting,❤️I like knitting.,❌I don't like knitting.,🙋I want to learn how to knit.
bowling,Bowling,❤️I like bowling.,❌I don't like bowling.,🙋Do you want to play bowling with me?
watching-tv,Watching TV,❤️I like watching tv.,❌I don't like watching tv.,🙋Do you want to watch tv?
fishing,Fishing,❤️I like fishing.,❌I don't like fishing.,🙋Do you want to go to fishing?
exercising,Exercising,❤️I like exercising.,❌I don't like exercising.,🙋Do you want to exercise with me?
tennis,Tennis,❤️I like playing tennis.,❌I don't like playing tennis.,🙋Do you want to play tennis with me?
