slug,locale,,
clothes,Clothes,,
pants,Panths,🧼My panths are dirty.,🙋Can you help me wear my pants?
shirt,Shirt,🧼My shirt is dirty.,🙋Can you help me wear my shirt?
skirt,Skirt,🧼My skirt is dirty.,🙋Can you help me wear my skirt?
panty,Panty,🧼My underwear is dirty.,🙋Can you help me wear my panty?
jacket,Jacket,🧼My jacket is dirty.,🙋Can you help me wear my jacket?
tie,Tie,❤️I like wearing tie.,🙋Can you help me tie my tie?
baseball-cap,Baseball cap,❤️I like wearing baseball cap.,❓Which baseball cap do should I wear?
dress,Dress,🧼My dress is dirty.,🙋Can you help me wear my dress?
shoes,Shoes,🧼My shoes are dirty.,🙋Can you help me wear my shoes?
boots,Boots,🧼My boots are dirty.,🙋Can you help me wear my boots?
sneakers,Sneakers,🎈I want to wear my sneakers.,🙋Can you help me wear my sneakers?
slippers,Slippers,🎈I want to wear my slippers.,🙋Can you help me wear my slippers?
belt,Belt,❤️I like wearing belt.,🙋Can you help me wear my belt?
socks,Socks,🧼My socks are dirty.,🙋Can you help me wear my socks?
swimsuit,Swimsuit,❤️I want to wear my swimsuit.,🙋Can you help me wear my swimsuit?
sweater,Sweater,🧼My sweater is dirty.,🙋Can you help me wear my sweater?
scarf,Scarf,❤️I like waring scarf.,🙋Can you help me wear my scarf?
denim-shorts,Denim shorts,🧼My jeans are dirty.,🙋Can you help me wear my denim shorts?
hoodies,Hoodies,❤️I like wearing hoodies.,🙋Can you help me wear my hoodie?
swimming-shorts,Swimming shorts,🧼My swinming shorts are dirty.,🙋Can you help me wear my swimming-shorts?
bow-tie,Bow tie,❤️I like wearing bow tie.,🙋Can you help me wear my bow tie?
leather-jacket,Leather jacket,❤️I like wearing leather jacket.,🙋Can you help me wear my leather jacket?
bathrobe,Bathrope,❤️I like wearing bathrobe.,🙋Can you help me wear my bathrobe?
jumpsuit,Jumpsuit,❤️I like wearing jumpsuit.,🙋Can you help me wear my jumpsuit?
fedora-hat,Fedora hat,❤️I like wearing fedora hat.,🙋Can you help me wear my fedora hat?
t-shirt,T-shirt,❤️I like wearing t-shirt.,🙋Can you help me wear my t-shirt?
sleeveless,Sleeveless,❤️I like wearing sleeveless.,🙋Can you help me wear my sleeveless?
boxers,Boxers,❤️I like wearing boxers.,🙋Can you help me wear my boxers?
vest,Vest,❤️I like wearing vest.,🙋Can you help me wear my vest?
pamela-hat,Pamela hat,❤️I like wearing pamela hat.,🙋Can you help me wear my pamela hat?
high-heels,High heels,❤️I like wearing high heels.,🙋Can you help me wear my high heels?
overall,Overall,❤️I like wearing overall.,🙋Can you help me wear my overall?
kimono,Kimono,❤️I like wearing kimono.,🙋Can you help me wear my kimono?
raincoat,Raincoat,❤️I like wearing raincoat.,🙋Can you help me wear my raincoat?
bandana,Bandana,❤️I like wearing bandana.,🙋Can you help me wear my bandana?
beret,Beret,❤️I like wearing beret.,🙋Can you help me wear my beret?
knit-hat,Knit hat,❤️I like wearing knit hat.,🙋Can you help me wear my knit hat?
suspenders,Suspenders,❤️I like wearing suspenders.,🙋Can you help me wear my suspenders?
mitten,Mitten,❤️I like wearing mitten.,🙋Can you help me wear my mitten?
suit,Suit,❤️I like wearing suit.,🙋Can you help me wear my suit?
coat,Coat,❤️I like wearing coat.,🙋Can you help me wear my coat?
trench-coat,Trench coat,❤️I like wearing trench coat.,🙋Can you help me wear my trench coat?
