slug,locale,,,
numbers,Numbers,,,
one,One,➖One comes before two.,➕One comes after zero.,🙋I want one.
two,Two,➖Two comes before three.,➕Two comes after one.,🙋I want two.
three,Three,➖Three comes before four.,➕Three comes after two.,🙋I want three.
four,Four,➖Four comes before five.,➕Four comes after three.,🙋I want four.
five,Five,➖Five comes before six.,➕Five comes after four.,🙋I want five.
six,Six,➖Six comes before seven.,➕Six comes after five.,🙋I want fix.
seven,Seven,➖Seven comes before eight.,➕Seven comes after six.,🙋I want seven.
eight,Eight,➖Eight comes before nine.,➕Eight comes after seven.,🙋I want eight.
nine,Nine,➖Nine comes before ten.,➕Nine comes after eight.,🙋I want nine.
ten,Ten,➖Ten comes before eleven.,➕Ten comes after nine.,🙋I want ten.
eleven,Eleven,➖Eleven comes before thirteen.,➕Eleven comes after ten.,🙋I want eleven.
twenty,Twenty,🔢I can count up to twenty.,,
thirty,Thirty,🔢I can count up to thirty.,,
forty,Forty,🔢I can count up to forty.,,
fifty,Fifty,🔢I can count up to fifty.,,
hundred,Hundred,🔢I can count up to hundred.,,
thousand,Thousand,🔢I can count up to thousand.,,
calculator,Calculator,🖩I want to use a calculator.,🧮Can you teach me how to use a calculator?,🙋Can I barrow your calculator?
