slug,locale,,,
quarantine,Quarantine,,,
protective-mask,Protective mask,🛡️I'm using protective mask.,😷I can't go out without protective mask.,
stay-home,Stay home,🏠You need to stay home.,🏡I'm staying at home.,
toilet-paper,Toilet paper,,,
sprayer,Sprayer,,,
disinfectant,Disinfectant,🧼I'm using disinfectant.,🙋Can you help me use disinfectant?,
coughing,Coughing,🤒I'm coughing.,🏥Coughing is a symptom for virus.,
medical-assistance,Medical assistance,⚕️I need medical assistance.,❓Do you need medical assistance?,
hand-sanitizer,Hand sanitizer,🚰I'm using hand sanitizer.,🙋Can you help me use hand sanitizer?,
gloves,Gloves,🧤I'm using gloves.,🙋Can you help me put on my gloves?,
social-distancing,Social distancing,🖐️I'm practicing social distancing.,📏We need to keep our distance between us.,
mouth-mask,Mouth mask,😷I'm using mouth mask.,🏡I can't go out without mouth mask.,
pandemic,Pandemic,🌐What is a pandemic?,⏱️When will the pandemic end?,⌚There is a pandemic going on.
working-at-home,Working at home,🏠I'm working at home.,👪My parents are working at home.,
wet-wipes,Wet wipes,🤧I need wet wipes.,,
quarantine,Quarantine,🔲What is quarantine?,🙋I'm in quarantine.,
first-aid-kit,First aid kit,❓Where is the first aid kit?,🙋Can you help me use the first aid kit?,
fitness,Fitness,🤸I like doing fitness.,🤼I like doing fitness.,
e-learning,E-learning,💻I'm learning from home.,📱I'm using e-learning apps.,
virus,Virus,🦠What is a virus?,💉What is the symptoms of the virus?,
cleaning,Cleaning,🧼I'm cleaning my room.,🔲Keeping your room clean is important.,
