slug,locale,,
shapes,Shapes,,
circle,Circle,👉This is circle shaped.,❓Can you teach me how to draw a circle?
triangle,Triangle,👉This is triangle shaped.,❓Can you teach me how to draw a triangle?
square,Square,👉This is square shaped.,❓Can you teach me how to draw a square?
rectangle,Rectangle,👉This is rectangle shaped.,❓Can you teach me how to draw a rectangle?
star,Star,👉This is star shaped.,❓Can you teach me how to draw a star?
pentagon,Pentagon,👉This is pentagon shaped.,❓Can you teach me how to draw a pentagon?
hexagon,Hexagon,👉This is hexagon shaped.,❓Can you teach me how to draw a hexagon?
cross,Cross,👉This is cross shaped.,❓Can you teach me how to draw a cross?
ellipse,Ellipse,👉This is ellipse shaped.,❓Can you teach me how to draw a ellipse?
arrow,Arrow,👉This is arrow shaped.,❓Can you teach me how to draw a arrow?
crescent,Crescent,👉This is crescent shaped.,❓Can you teach me how to draw a crescent?
heart,Heart,👉This is heart shaped.,❓Can you teach me how to draw a heart?
rhombus,Rhombus,👉This is rhombus shaped.,❓Can you teach me how to draw a rhombus?
ring,Ring,👉This is ring shaped.,❓Can you teach me how to draw a ring?
semicircle,Semicircle,👉This is semicircle shaped.,❓Can you teach me how to draw a semicircle?
trapezoid,Trapezoid,👉This is trapezoid shaped.,❓Can you teach me how to draw a trapezoid?
cube,Cube,👉This is cube shaped.,❓Can you teach me how to draw a cube?
cylinder,Cylinder,👉This is cylinder shaped.,❓Can you teach me how to draw a cylinder?
