slug,locale,,,,,
transport,Transport,,,,,
train,Train,🙋I want to take the train.,❤️I like trains.,,,
car,Car,🙋I want to drive a car.,❤️I like cars.,,,
bicycle,Bicycle,🙋I want to ride a bicycle.,❤️I like bicycle.,,,
motorcycle,Motorcycle,🙋I want to ride a motorcycle.,❤️I like motorcycle.,,,
skateboard,Skateboard,🙋I want to skate.,❤️I like skateboard.,,,
food-truck,Ferry,🙋I want to take the ferry.,🧑‍🤝‍🧑Ferry is crowded.,,,
boat,Boat,🙋I want to ride a boat.,🧑‍🤝‍🧑Boat is crowded.,,,
ship,Ship,🙋I want to board a ship.,🧑‍🤝‍🧑Ship is crowded.,,,
bus,Bus,🙋I want to take the bus.,🧑‍🤝‍🧑Bus is crowded.,,,
minibus,Minibus,🙋I want to take the minibus.,🧑‍🤝‍🧑Minibus is crowded.,,,
wheelchair,Wheelchair,♿I'm using a wheelchair.,👨‍🦽He is using a wheelchair.,🙋Can you help me use my wheelchair.,🖐️Can you push me?,
taxi,Taxi,🙋I want to take the taxi.,,,,
airplane,Airplane,🙋I want to fly on an airplane.,❤️I like airplanes.,🧑‍🤝‍🧑Airplane is crowded.,,
van,Van,🙋I want to drive in a van.,,,,
hot-air-balloon,Hot air baloon,🙋I want to fly on a hot air baloon.,❤️I like hot air baloon.,,,
fire-truck,Fire truck,🚨Fire truck siren.,,,,
police-car,Police car,🚨Police car siren.,❤️I like police cars.,,,
ambulance,Ambulance,🚨Ambulance siren.,,,,
stretcher,Stretcher,🙋Can you help me with my stretcher?,,,,
helicopter,Helicopter,🙋I want to fly on a helicopter.,,,,
trailer,Trailer,🙋I want to drive in a trailer.,,,,
spaceship,Spaceship,❤️I like spaceships.,🌌I want to travel in space.,👽I want to see aliens.,👩‍🚀I want to go to mars.,🚀Can you take me to mars Elon Musk?
