slug,locale,,
drinks,Drinks,,
coffee,Coffee,❤️I like drinking coffee.,🙋I want to drink coffee.
water,Water,☝️I need to drink water.,🙋I want to drink water.
juice,Juice,❤️I like drinking juice.,🙋I want to drink juice.
tea,Tea,❤️I like drinking tea.,🙋I want to drink tea.
grape-juice,Grape juice,❤️I like drinking grape juice.,🙋I want to drink grape juice.
milk,Milk,❤️I like drinking milk.,🙋I want to drink milk.
milkshake,Milkshake,❤️I like drinking milkshake.,🙋I want to drink milkshake.
orange-juice,Orange juice,❤️I like drinking orange juice.,🙋I want to drink orange juice.
apple-juice,Apple juice,❤️I like drinking apple juice.,🙋I want to drink apple juice.
pineapple-juice,Pineapple Juice,❤️I like drinking pineapple juice.,🙋I want to drink pineapple juice.
lemonade,Lemonade,❤️I like drinking lemonade.,🙋I want to drink lemonade.
coke,Coke,❤️I like drinking coke.,🙋I want to drink coke.
soda,Soda,❤️I like drinking soda.,🙋I want to drink soda.
frappe,Frappe,❤️I like drinking frappe.,🙋I want to drink frappe.
smoothie,Smoothie,❤️I like drinking smoothie.,🙋I want to drink smoothie.
iced-tea,Iced tea,❤️I like drinking iced tea.,🙋I want to drink iced tea.
hot-chocolate,Hot chocolate,❤️I like drinking hot chocolate.,🙋I want to drink hot chocolate.
mineral-water,Mineral water,❤️I like drinking mineral water.,🙋I want to drink mineral water.
