slug,locale,
fair,Fair,
cotton-candy,Cotto candy,❤️I like eating cotton candy.
magic-hat,Magic hat,❤️I like wearing magic hat.
ferris-wheel,Ferris wheel,❤️I like riding in the ferris wheel.
bowling,Bowling,❤️I like playing bowling.
bumper-car,Bumper car,❤️I like riding in the bumper car.
carousel,Carousel,❤️I like riding in the carousel.
balloons,Balloons,❤️I like balloons.
cups,Cups,
unicycle,Unicylce,
circus-tent,Circus tent,
food-truck,Food truck,
tea-cup-ride,Tea cup ride,
whack-a-mole,Whack a mole,
food-stall,Food stall,
claw-machine,Claw machine,
shooting-target,Shooting target,
teddy-bear,Teddy bear,
fireworks,Fireworks,
caramelized-apple,Caramelized apple,
ring,Ring,
