slug,locale,,,,
fruits,Fruits,,,,
apple,Apple,❤️I like eating apple.,🙋I want to eat an apple.,❌I don't like apple.,
watermelon,Watermelon,❤️I like eating watermelon.,🙋I want to eat a watermelon.,❌I don't like watermelon.,
orange,Orange,❤️I like eating orange.,🙋I want to eat an orange.,❌I don't like orange.,
strawberry,Strawberry,❤️I like eating strawberry.,🙋I want to eat some strawberries.,❌I don't like strawberry.,
grape,Grape,❤️I like eating grape.,🙋I want to eat some grapes.,❌I don't like grape.,
cherry,Cherry,❤️I like eating cherry.,🙋I want to eat some cherries.,❌I don't like cherry.,
mango,Mango,❤️I like eating mango.,🙋I want to eat a mango.,❌I don't like mango.,
guava,Guava,❤️I like eating guava.,🙋I want to eat a guava.,❌I don't like guava.,
banana,Banana,❤️I like eating banana.,🙋I want to eat a banana.,❌I don't like banana.,
pomegranate,Pomegranate,❤️I like eating pomegranate.,🙋I want to eat a pomegranate.,❌I don't like pomegranate.,
raspberry,Raspberry,❤️I like eating raspberry.,🙋I want to eat some raspberries.,❌I don't like raspberry.,
papaya,Papaya,❤️I like eating papaya.,🙋I want to eat a papaya.,❌I don't like papaya.,
kiwi,Kiwi,❤️I like eating kiwi.,🙋I want to eat a kiwi.,❌I don't like kiwi.,
pineapple,Pineapple,❤️I like eating pineapple.,🙋I want to eat some pineapple.,❌I don't like pineapple.,
lemon,Lemon,❤️I like eating lemon.,🙋I want to eat a lemon.,❌I don't like lemon.,🍋Lemons are sour.
apricot,Apricot,❤️I like eating apricot.,🙋I want to eat an apricot.,❌I don't like apricot.,
dragon-fruit,Dragon fruit,❤️I like eating dragon fruit.,🙋I want to eat a dragon fruit.,❌I don't like dragon fruit.,
peach,Peach,❤️I like eating peach.,🙋I want to eat a peach.,❌I don't like peach.,
avocado,Avocado,❤️I like eating avocado.,🙋I want to eat an avocado.,❌I don't like avocado.,
fig,Fig,❤️I like eating fig.,🙋I want to eat a fig.,❌I don't like fig.,
lychee,Lychee,❤️I like eating lychee.,🙋I want to eat a lychee.,❌I don't like lychee.,
passion-fruit,Passion fruit,❤️I like eating passion fruit.,🙋I want to eat a passion fruit.,❌I don't like passion fruit.,
blueberry,Blueberry,❤️I like eating blueberry.,🙋I want to eat some blueberries.,❌I don't like blueberry.,
coconut,Coconut,❤️I like eating coconut.,🙋I want to eat some coconut.,❌I don't like coconut.,
