slug,locale,,
kitchen,Kitchen,,
mixer,Mixer,🙋Can you show me how to use a mixer?,🤞I shouldn't use mixer without my parents.
apron,Apron,👚I wear an apron while cooking.,👚My mom wears an apron while cooking.
fryer,Fryer,🙋Can you show me how to use a fryer?,🤞I shouldn't use fryer without my parents.
rolling-pin,Rolling pin,🙋Can you show me how to use a rolling pin?,💡I use rolling pin to roll out dough.
coffee-machine,Coffee machine,🙋Can you show me how to use a coffee machine?,🤞I shouldn't use coffee machine without my parents.
fridge,Fridge,🙋Can you show me how to use a fridge?,💡Fridge keeps the foods cold.
pot,Pot,🙋Can you show me how to use a pot?,🤞I shouldn't use pot without my parents.
toaster,Toaster,🙋Can you show me how to use a toaster?,🤞I shouldn't use toaster without my parents.
cutlery,Cutlery,🙋Can you show me how to use cutlery?,😋I'm learning to eat with cutlery.
spatula,Spatula,🙋Can you show me how to use a spatula?,
oven,Oven,🙋Can you show me how to use oven?,🤞I shouldn't use oven without my parents.
kitchen-timer,Kitchen timer,🙋Can you show me how to use kitchen timer?,⏱️Kitchen timer is beeping.
pizza-cutter,Pizza cutter,🙋Can you show me how to use pizza cutter?,🤞I shouldn't use pizza cutter without my parents.
grater,Grater,🙋Can you show me how to use a grater?,🤞I shouldn't use grater without my parents.
grill,Grill,🙋Can you show me how to use the grill?,🤞I shouldn't use grill without my parents.
recipe-book,Recipe book,🙋Can I choose a recipe to cook?,🍳Can we cook this recipe?
kitchen-utensils,Kitchen utensils,❤️I like using kitchen utensils.,🤞I shouldn't use kitchen utensils without my parents.
stove,Stove,🙋Can you show me how to use the stove?,🤞I shouldn't use stove without my parents.
salt-and-pepper,Salt and pepper,🙋Can you bring salt and pepper?,
kitchen-board,Kitchen board,🙋Can I write on the kitchen board?,
scale,Scale,🙋Can you show me how to use the kitchen scale?,
teapot,Teapot,🙋Can you show me how to use the teapot?,🤞I shouldn't use teapot without my parents.
microwave,Microwave,🙋Can you show me how to use the microwave?,🤞I shouldn't use microwave without my parents.
