slug,locale,,
occupations,Occupations,,
teacher,Teacher,❓What does a teacher do?,🙋I want to become a teacher.
police-officer,Police officer,❓What does a police officer do?,🙋I want to become a police officer.
writer,Writer,❓What does a writer do?,🙋I want to become a writer.
doctor,Doctor,❓What does a doctor do?,🙋I want to become a doctor.
detective,Detective,❓What does a detective do?,🙋I want to become a detective.
artist,Artist,❓What does an artist do?,🙋I want to become an artist.
singer,Singer,❓What does a singer do?,🙋I want to become a singer.
astronaut,Astronaut,❓What does an astronaut do?,🙋I want to become an astronaut.
sailor,Sailor,❓What does a sailor do?,🙋I want to become a sailor.
chef,Chef,❓What does a chef do?,🙋I want to become a chef.
farmer,Farmer,❓What does a farmer do?,🙋I want to become a farmer.
construction-worker,Construction worker,❓What does a construction worker do?,🙋I want to become a construction worker.
baker,Baker,❓What does a baker do?,🙋I want to become a baker.
lifeguard,Lifeguard,❓What does a lifeguard do?,🙋I want to become a lifeguard.
astronomer,Astronomer,❓What does an astronomer do?,🙋I want to become a astronomer.
journalist,Journalist,❓What does a journalist do?,🙋I want to become a journalist.
archeologist,Archeologist,❓What does an archeologist do?,🙋I want to become an archeologist.
musician,Musician,❓What does a musician do?,🙋I want to become a musician.
magician,Magician,❓What does a magician do?,🙋I want to become a magician.
soccer-player,Soccer player,❓What does a soccer player do?,🙋I want to become a soccer player.
postwoman,Postwoman,❓What does a postwoman do?,🙋I want to become a postwoman.
firefighter,Firefighter,❓What does a firefighter do?,🙋I want to become a firefighter.
scientist,Scientist,❓What does an scientist do?,🙋I want to become a scientist.
gardener,Gardener,❓What does a gardener do?,🙋I want to become a gardener.
butcher,Butcher,❓What does a butcher do?,🙋I want to become a butcher.
veterinarian,Veterinarian,❓What does a veterinarian do?,🙋I want to become a veterinarian.
lumber-jack,Lumber jack,❓What does a lumber jack do?,🙋I want to become a lumber jack.
miner,Miner,❓What does a miner do?,🙋I want to become a miner.
nun,Nun,❓What does a nun do?,🙋I want to become a nun.
fisher-woman,Fisher woman,❓What does a fisher-woman do?,🙋I want to become a fisher woman.
hair-dresser,Hair dresser,❓What does a hair-dresser do?,🙋I want to become a hair dresser.
mechanic,Mechanic,❓What does a mechanic do?,🙋I want to become a mechanic.
electrician,Electrician,❓What does an electrician do?,🙋I want to become an electrician.
swimmer,Swimmer,❓What does a swimmer do?,🙋I want to become a swimmer.
photographer,Photographer,❓What does a photographer do?,🙋I want to become a photographer.
priest,Priest,❓What does a priest do?,🙋I want to become a priest.
soldier,Soldier,❓What does a soldier do?,🙋I want to become a soldier.
carpenter,Carpenter,❓What does a carpenter do?,🙋I want to become a carpenter.
plumber,Plumber,❓What does a plumber do?,🙋I want to become a plumber.
wall-painter,Wall painter,❓What does a wall painter do?,🙋I want to become a wall painter.
nurse,Nurse,❓What does a nurse do?,🙋I want to become a nurse.
judge,Judge,❓What does a judge do?,🙋I want to become a judge.
waiter,Waiter,❓What does a waiter do?,🙋I want to become a waiter.
pilot,Pilot,❓What does a pilot do?,🙋I want to become a pilot.
welder,Welder,❓What does a welder do?,🙋I want to become a welder.
executive,Executive,❓What does an executive do?,🙋I want to become an executive.
hostess,Hostess,❓What does a hostess do?,🙋I want to become a hostess.
