slug,locale,,,,,
party,Party,,,,,
confetti,Confetti,❤️I like confetti.,🙋Can I pop the confetti?,,,
party-blower,Party blower,❤️I like party blowers.,🔊Is my party blower noisy?,,,
gift,Gift,❤️I like gifts.,🎁What did you get me as a gift?,,,
candle,Candle,❤️I like party candles.,🕯️Can I blow the candles?,🎂How many candles are there?,,
party-hat,Party hat,❤️I like wearing party hat.,👚I will wear a party hat during the party.,,,
balloons,Balloons,❤️I like balloons.,🎈Can I pop the balloons?,,,
garlands,Garlands,❤️I like garlands.,🙋I want to wear garlands to my party.,🙋Can you put these garlands into my arm?,,
cake,Cake,❤️I like eating cake.,🙋Can I have a slice of cake?,,,
ice-cream,Ice cream,❤️I like eating ice cream.,🍭What is your favorite flavor?,,,
microphone,Microphone,❤️I like playing karaoke.,❤️I like singing.,,,
music,Music,❤️I like playing music.,🎶What kind of music do you like?,,,
magician,Magician,❤️I like magicians.,✨I want to be a magician.,🙋Can you teach me some magic tricks?,,
taking-photos,Taking photos,❤️I like taking photos.,🙋Can I take photos using your phone?,,,
invitation,Invitation,📧I got an invitation.,📨Can I invite my friends to the party?,📨Can I invite my friends to my birthday party?,📨Can we invite my friends to my sister's party?,📨Can we invite my friends to my brother's party?
candy,Candy,❤️I like candy.,🙋Can I eat some candy?,,,
popsicle,Popsicle,❤️I like popsicle.,🙋Can I eat some popsicle?,🙋Can we make some popsicles?,🙋Do you want to eat popsicle?,
cupcake,Cupcake,❤️I like cupcake.,🙋Can I eat a cupcake?,,,
costume,Costume,❤️I like wearing costume.,🦸Can I wear a spider-man costume?,🦸‍♂️Can I wear a batman costume?,🦸‍♀️Can I wear a wonder woman costume?,
party-glasses,Party glasses,❤️I like party glasses.,🙋Can I wear a party glasses?,,,
spotlights,Spotlights,❤️I like spotlights.,❌I don't like spotlights.,,,
marshmallow,Marshmallow,❤️I like marshmallow.,🔥I'm cooking marshmallow over camp fire.,🙋I want to eat marshmallows.,,
guacamole,Guacamole,❤️I like guacamole.,🙋Can I eat some guacamole?,❌I don't like to eat guacamole.,,
hotdog,Hotdog,❤️I like hotdog.,🙋Can I get a hotdog?,❌I don't like to eat hotdogs.,🙋Can I eat some hotdogs?,
bouncy-castle,Bouncy castle,❤️I like bouncy castle.,🙋I want to play at the bouncy castle.,🙋Let's play at the bouncy castle.,,
clown,Clown,❤️I like clowns.,❌I don't like clowns.,🙋I want to be a clown.,,
magic-hat,Magic hat,❤️I like magic hats.,🧙‍♂️I'm a wizard!,🙋I want like magic.,,
dart-board,Dart board,❤️I like playing dart.,🎯Playing dart can be dangerous.,,,
