slug,locale,,,
toys,Toys,,,
doll,Doll,❤️I like dolls.,☝️Can I play with my dolls?,🙋I want a doll as present.
teddy-bear,Teddy bear,❤️I like teddy bears.,☝️Can I play with my teddy-bear?,🙋I want a teddy bear as present.
blocks,Blocks,❤️I like blocks.,☝️Can I play with my blocks?,🙋I want a blocks as present.
spinner,Spinner,❤️I like spinner.,☝️Can I play with my spinner?,🙋I want a spinner as present.
nutcracker,Nutcracker,❤️I like nutcrackers.,☝️Can I play with my nutcracker?,🙋I want a nutcracker as present.
video-games,Video games,❤️I like video games.,☝️Can we play video games together?,🙋I want video games as present.
cards,Cards,❤️I like playing cards.,☝️Can I play with my cards?,🙋I want playing cards as present.
toy-car,Toy car,❤️I like toy cars.,☝️Can I play with my toy car?,🙋I want a toy car as present.
sword,Sword,❤️I like toy swords.,☝️Can I play with my toy sword?,🙋I want a sword as present.
yo-yo,Yo-yo,❤️I like playing with yo-yo.,☝️Can I play with my yo-yo?,🙋I want a yo-yo as present.
slingshot,Slingshot,❤️I like slingshots.,☝️Can I play with my slingshot?,🙋I want a slingshot as present.
water-gun,Water gun,❤️I like water gun.,☝️Can I play with my water gun?,🙋I want a water gun as present.
doll-house,Doll house,❤️I like playing with dollhouse.,☝️Can I play with my doll house?,🙋I want a doll house as present.
viewer,Viewer,❤️I like playing with viewer.,,🙋I want a viewer as present.
board-game,Board game,❤️I like board games.,☝️Can we play board games?,🙋I want a board game as present.
rubiks-cube,Rubik's cube,❤️I like solving rubik's cube.,☝️Can I try to solve my rubik's cube?,🙋I want a rubik's cube as present.
puzzle,Puzzle,❤️I like puzzles.,☝️Can I solve puzzles?,🙋I want puzzles as present.
remote-control-car,Remote control car,❤️I like my remote control car.,☝️Can I play with my remote-control-car,🙋I want a remote control car as present.
rocking-horse,Rocking horse,❤️I like my rocking horse.,☝️Can I play with the rocking horse?,
scooter,Scooter,❤️I like my scooter.,,🙋I want a scooter as present.
pyramid,Pyramid,❤️I like pyramids.,,🙋I want a pyramid as present.
cart,Cart,❤️I like my toy cart.,🙋Can you help me tidy my toys?,
aeroplane,Aeroplane,❤️I like aeroplanes.,☝️Can I play with my aeroplane?,🙋I want a aeroplane as present.
sand-bucket,Sand bucket,❤️I like sand buckets.,☝️Can I build castle with my sand bucket?,
