slug,locale,,,,
vegetables,Vegetables,,,,
cucumber,Cucumber,❤️I like eating cucumber.,🙋I want to eat a cucumber.,❌I don't like cucumber.,
onion,Onion,❤️I like eating onion.,🙋I want to eat an onion.,❌I don't like onion.,❌I don't like the smell of onion.
garlic,Garlic,❤️I like eating garlic.,🙋I want to eat a garlic.,❌I don't like garlic.,❌I don't like the smell of garlic.
carrot,Carrot,❤️I like eating carrot.,🙋I want to eat a carrot.,❌I don't like carrots.,
cabbage,Cabbage,❤️I like eating cabbage.,🙋I want to eat a cabbage.,❌I don't like cabbage.,
tomato,Tomato,❤️I like eating tomato.,🙋I want to eat a tomato.,❌I don't like tomato.,❤️I like to have a tomato soup.
eggplant,Eggplant,❤️I like eating eggplant.,🙋I want to eat a eggplant.,❌I don't like eggplant.,
mushroom,Mushroom,❤️I like eating mushroom.,🙋I want to eat a mushroom.,❌I don't like mushroom.,❤️I like to have a mushroom soup.
pepper,Pepper,❤️I like eating pepper.,🙋I want to eat a pepper.,❌I don't like pepper.,
corn,Corn,❤️I like eating corn.,🙋I want to eat a corn.,❌I don't like corn.,❤️I like to have a corn soup.
broccoli,Broccoli,❤️I like eating broccoli.,🙋I want to eat a broccoli.,❌I don't like broccoli.,
celery,Celery,❤️I like eating celery.,🙋I want to eat a celery.,❌I don't like celery.,
chili,Chili,❤️I like eating chili.,🙋I want to eat a chili.,❌I don't like chili.,
potato,Potato,❤️I like eating potato.,🙋I want to eat a potato.,❌I don't like potato.,❤️I like to eat potato fries.
asparagus,Asparagus,❤️I like eating asparagus.,🙋I want to eat a asparagus.,❌I don't like asparagus.,
cauliflower,Cauliflower,❤️I like eating cauliflower.,🙋I want to eat a cauliflower.,❌I don't like cauliflower.,
pumpkin,Pumpkin,❤️I like eating pumpkin.,🙋I want to eat a pumpkin.,❌I don't like pumpkin.,❤️I like to have a pumpkin soup.
beetroot,Beetroot,❤️I like eating beetroot.,🙋I want to eat a beetroot.,❌I don't like beetroot.,
bean,Bean,❤️I like eating beans.,🙋I want to eat a bean.,❌I don't like bean.,
lettuce,Lettuce,❤️I like eating lettuce.,🙋I want to eat a lettuce.,❌I don't like lettuce.,❤️I like my salad to have more lettuce.
radish,Radish,❤️I like eating radish.,🙋I want to eat a radish.,❌I don't like radish.,
bok-choy,Bok choy,❤️I like eating bok choy.,🙋I want to eat a bok choy.,❌I don't like bok choy.,
leek,Leek,❤️I like eating leeks.,🙋I want to eat a leek.,❌I don't like leek.,
peas,Peas,❤️I like eating peas.,🙋I want to eat a peas.,❌I don't like peas.,
ginger,Ginger,❤️I like eating ginger.,🙋I want to eat a ginger.,❌I don't like ginger.,
sweet-potato,Sweet potato,❤️I like eating sweet potato.,🙋I want to eat a sweet potato.,❌I don't like sweet potato.,❤️I like to eat fried sweet potato.
olives,Olives,❤️I like eating olives.,🙋I want to eat a olives.,❌I don't like olives.,❤️I like olives in my pizza.
