slug,locale,,
shapes,Shapes,,
circle,Circle,👉This is circle shaped.,❓Can you teach me how to draw circle?
triangle,Triangle,👉This is triangle shaped.,❓Can you teach me how to draw triangle?
square,Square,👉This is square shaped.,❓Can you teach me how to draw square?
rectangle,Rectangle,👉This is rectangle shaped.,❓Can you teach me how to draw rectangle?
star,Star,👉This is star shaped.,❓Can you teach me how to draw star?
pentagon,Pentagon,👉This is pentagon shaped.,❓Can you teach me how to draw pentagon?
hexagon,Hexagon,👉This is hexagon shaped.,❓Can you teach me how to draw hexagon?
cross,Cross,👉This is cross shaped.,❓Can you teach me how to draw cross?
ellipse,Ellipse,👉This is ellipse shaped.,❓Can you teach me how to draw ellipse?
arrow,Arrow,👉This is arrow shaped.,❓Can you teach me how to draw arrow?
crescent,Crescent,👉This is crescent shaped.,❓Can you teach me how to draw crescent?
heart,Heart,👉This is heart shaped.,❓Can you teach me how to draw heart?
rhombus,Rhombus,👉This is rhombus shaped.,❓Can you teach me how to draw rhombus?
ring,Ring,👉This is ring shaped.,❓Can you teach me how to draw ring?
semicircle,Semicircle,👉This is semicircle shaped.,❓Can you teach me how to draw semicircle?
trapezoid,Trapezoid,👉This is trapezoid shaped.,❓Can you teach me how to draw trapezoid?
cube,Cube,👉This is cube shaped.,❓Can you teach me how to draw cube?
cylinder,Cylinder,👉This is cylinder shaped.,❓Can you teach me how to draw cylinder?
