"activities","Activities","活動内容"
"walking","Walking","歩く"
"walking_2","I like walking","散歩が好き"
"walking_3","I don't like walking","歩くのは好きじゃない"
"walking_4","Do you want to walk together?","一緒に歩きたいですか？"
"running","Running","ランニング"
"running_2","I like running.","走るのが好きです。"
"running_3","I don't like running.","走るのは好きじゃない。"
"running_4","Do you want to go running?","走りたいですか？"
"talking","Talking","話す"
"talking_2","I like talking.","私は話すのが好きです。"
"talking_3","I don't like talking.","私は話すのが好きではありません。"
"talking_4","Do you want to talk with me?","あなたは私と話をしたいですか？"
"reading","Reading","読書"
"reading_2","I like reading.","私は読書が好きです。"
"reading_3","I don't like reading.","私は読書が好きではありません。"
"reading_4","Do you want to read together?","一緒に読みたいですか？"
"football","Football","フットボール"
"football_2","I like playing football.","私はサッカーをするのが好きです。"
"football_3","I don't like playing football.","サッカーは好きではありません。"
"football_4","Do you want to play football?","サッカーをしたいですか？"
"basketball","Basketball","バスケットボール"
"basketball_2","I like playing basketball.","バスケットボールが好きです。"
"basketball_3","I don't like playing basketball.","私はバスケットボールをするのが好きではありません。"
"basketball_4","Do you want to play basketball?","バスケットボールをしたいですか？"
"swimming","Swimming","水泳"
"swimming_2","I like swimming.","私は水泳が好きです。"
"swimming_3","I don't like swimming.","水泳は好きではありません。"
"swimming_4","Do you want to go to swimming?","水泳に行きたいですか？"
"painting","Painting","ペインティング"
"painting_2","I like painting.","私は絵が好きです。"
"painting_3","I don't like painting.","私は絵が好きではありません。"
"painting_4","Do you want to paint together?","一緒にペイントしますか？"
"drawing","Drawing","お絵かき"
"drawing_2","I like drawing.","私は絵を描くのが好きです。"
"drawing_3","I don't like drawing.","私は絵が好きではありません。"
"drawing_4","Do you want to draw together?","一緒に描きたいですか？"
"cycling","Cycling","サイクリング"
"cycling_2","I like cycling.","サイクリングが好きです。"
"cycling_3","I don't like cycling.","サイクリングは嫌いです。"
"cycling_4","Do you want to go cycling?","サイクリングに行きますか？"
"skating","Skating","スケート"
"skating_2","I like skating.","スケートが好きです。"
