activities,Activities
walking,Walking
walking_2,I like walking
walking_3,I don't like walking
walking_4,Do you want to walk together?
running,Running
running_2,I like running.
running_3,I don't like running.
running_4,Do you want to go running?
talking,Talking
talking_2,I like talking.
talking_3,I don't like talking.
talking_4,Do you want to talk with me?
reading,Reading
reading_2,I like reading.
reading_3,I don't like reading.
reading_4,Do you want to read together?
football,Football
football_2,I like playing football.
football_3,I don't like playing football.
football_4,Do you want to play football?
basketball,Basketball
basketball_2,I like playing basketball.
basketball_3,I don't like playing basketball.
basketball_4,Do you want to play basketball?
swimming,Swimming
swimming_2,I like swimming.
swimming_3,I don't like swimming.
swimming_4,Do you want to go to swimming?
painting,Painting
painting_2,I like painting.
painting_3,I don't like painting.
painting_4,Do you want to paint together?
drawing,Drawing
drawing_2,I like drawing.
drawing_3,I don't like drawing.
drawing_4,Do you want to draw together?
cycling,Cycling
cycling_2,I like cycling.
cycling_3,I don't like cycling.
cycling_4,Do you want to go cycling?
skating,Skating
skating_2,I like skating.
skating_3,I don't like skating.
skating_4,Do you want to go skating?
sightseeing,Sightseeing
sightseeing_2,I like sightseeing.
sightseeing_3,I don't like sightseeing.
sightseeing_4,Do you want to go for sightseeing?
video-games,Video games
video-games_2,I like playing video games.
video-games_3,I don't like playing video games.
video-games_4,Do you want to play games?
tidying,Tidying
tidying_2,I like tidying my room.
tidying_3,I don't like tidying my room.
tidying_4,Can you help me tidy my room?
toys,Toys
toys_2,I like toys.
toys_3,I don't like toys.
toys_4,Do you want to play with my toys?
puzzle,Puzzle
puzzle_2,I like solving puzzle.
puzzle_3,I don't like solving puzzle.
puzzle_4,Do you want to solve puzzles with me?
comics,Comics
comics_2,I like reading comics.
comics_3,I don't like reading comics.
comics_4,Do you want to read comics?
chess,Chess
chess_2,I like playing chess.
chess_3,I don't like playing chess.
chess_4,Do you want to play chess with me?
using-leeloo,Using Leeloo
using-leeloo_2,I like using leeloo.
using-leeloo_3,I don't like using leeloo.
using-leeloo_4,Can you change card packs on leeloo?
texting,Texting
texting_2,I like texting.
texting_3,I don't like texting.
knitting,Knitting
knitting_2,I like knitting.
knitting_3,I don't like knitting.
knitting_4,I want to learn how to knit.
bowling,Bowling
bowling_2,I like bowling.
bowling_3,I don't like bowling.
bowling_4,Do you want to play bowling with me?
watching-tv,Watching TV
watching-tv_2,I like watching tv.
watching-tv_3,I don't like watching tv.
watching-tv_4,Do you want to watch tv?
fishing,Fishing
fishing_2,I like fishing.
fishing_3,I don't like fishing.
fishing_4,Do you want to go to fishing?
exercising,Exercising
exercising_2,I like exercising.
exercising_3,I don't like exercising.
exercising_4,Do you want to exercise with me?
tennis,Tennis
tennis_2,I like playing tennis.
tennis_3,I don't like playing tennis.
tennis_4,Do you want to play tennis with me?
animals,Animals
cat,Cat
cat_2,I like cats.
cat_3,I saw a cat.
cat_4,What noise does a cat make?
cat_5,Can we get a cat as pet?
dog,Dog
dog_2,I like dog.
dog_3,I saw a dog.
dog_4,What noise does a dog make?
dog_5,Can we get a dog as pet?
fish,Fish
fish_2,I like fish.
fish_3,I saw a fish.
fish_4,What noise does a fish make?
fish_5,Can we get a fish as pet?
rabbit,Rabbit
rabbit_2,I like rabbits.
rabbit_3,I saw a rabbit.
rabbit_4,What noise does a rabbit make?
rabbit_5,Can we get a rabbit as pet?
butterfly,Butterfly
butterfly_2,I like butterflies.
butterfly_3,I saw a butterfly.
butterfly_4,What noise does a butterfly make?
kangaroo,Kangaroo
kangaroo_2,I like kangaroos.
kangaroo_3,I saw a kangaroo.
kangaroo_4,What noise does a kangaroo make?
turtle,Turtle
turtle_2,I like turtles.
turtle_3,I saw a turtle.
turtle_4,What noise does a turtle make?
giraffe,Giraffe
giraffe_2,I like giraffes.
giraffe_3,I saw a giraffe.
giraffe_4,What noise does a giraffe make?
frog,Frog
frog_2,I like frogs.
frog_3,I saw a frog.
frog_4,What noise does a frog make?
swan,Swan
swan_2,I like swans.
swan_3,I saw a swan.
swan_4,What noise does a swan make?
spider,Spider
spider_2,I like spiders.
spider_3,I saw a spider.
spider_4,What noise does a spider make?
cow,Cow
cow_2,I like cows.
cow_3,I saw a cow.
cow_4,What noise does a cow make?
duck,Duck
duck_2,I like ducks.
duck_3,I saw a duck.
duck_4,What noise does a duck make?
horse,Horse
horse_2,I like horses.
horse_3,I saw a horse.
horse_4,What noise does a horse make?
chicken,Chicken
chicken_2,I like chickens.
chicken_3,I saw a chicken.
chicken_4,What noise does a chicken make?
bee,Bee
bee_2,I like bees.
bee_3,I saw a bee.
bee_4,What noise does a bee make?
pig,Pig
pig_2,I like pigs.
pig_3,I saw a pig.
pig_4,What noise does a pig make?
dove,Dove
dove_2,I like doves.
dove_3,I saw a dove.
dove_4,What noise does a dove make?
crab,Crab
crab_2,I like crabs.
crab_3,I saw a crab.
crab_4,What noise does a crab make?
penguin,Penguin
penguin_2,I like penguins.
penguin_3,I saw a penguin.
penguin_4,What noise does a penguin make?
elephant,Elephant
elephant_2,I like elephants.
elephant_3,I saw an elephant.
elephant_4,What noise does an elephant make?
zebra,Zebra
zebra_2,I like zebras.
zebra_3,I saw a zebra.
zebra_4,What noise does a zebra make?
panda,Panda
panda_2,I like pandas.
panda_3,I saw a panda.
panda_4,What noise does a panda make?
monkey,Monkey
monkey_2,I like monkeys.
monkey_3,I saw a monkey.
monkey_4,What noise does a monkey make?
camel,Camel
camel_2,I like camels.
camel_3,I saw a camel.
camel_4,What noise does a camel make?
mouse,Mouse
mouse_2,I like mice.
mouse_3,I saw a mouse.
mouse_4,What noise does a mouse make?
tiger,Tiger
tiger_2,I like tigers.
tiger_3,I saw a tiger.
tiger_4,What noise does a tiger make?
jellyfish,Jellyfish
jellyfish_2,I like jellyfishes.
jellyfish_3,I saw a jellyfish.
jellyfish_4,What noise does a jellyfish make?
crocodile,Crocodile
crocodile_2,I like crocodiles.
crocodile_3,I saw a crocodile.
crocodile_4,What noise does a crocodile make?
koala,Koala
koala_2,I like koalas.
koala_3,I saw a koala.
koala_4,What noise does a koala make?
ostrich,Ostrich
ostrich_2,I like ostriches.
ostrich_3,I saw an ostrich.
ostrich_4,What noise does an ostrich make?
racoon,Racoon
racoon_2,I like racoons.
racoon_3,I saw a racoon.
racoon_4,What noise does a racoon make?
bat,Bat
bat_2,I like bats.
bat_3,I saw a bat.
bat_4,What noise does a bat make?
eagle,Eagle
eagle_2,I like eagles.
eagle_3,I saw an eagle.
eagle_4,What noise does an eagle make?
hippopotamus,Hippopotamus
hippopotamus_2,I like hippopotamus.
hippopotamus_3,I saw a hippopotamus.
hippopotamus_4,What noise does a hippopotamus make?
seal,Seal
seal_2,I like seals.
seal_3,I saw a seal.
seal_4,What noise does a seal make?
walrus,Walrus
walrus_2,I like walruses.
walrus_3,I saw a walrus.
walrus_4,What noise does a walrus make?
seahorse,Seahorse
seahorse_2,I like seahorses.
seahorse_3,I saw a seahorse.
seahorse_4,What noise does a seahorse make?
bull,Bull
bull_2,I like bulls.
bull_3,I saw a bull.
bull_4,What noise does a bull make?
pelican,Pelican
pelican_2,I like pelicans.
pelican_3,I saw a pelican.
pelican_4,What noise does a pelican make?
beaver,Beaver
beaver_2,I like beavers.
beaver_3,I saw a beaver.
beaver_4,What noise does a beaver make?
goldfish,Goldfish
goldfish_2,I like goldfishes.
goldfish_3,I saw a goldfish.
goldfish_4,What noise does a goldfish make?
goldfish_5,Can we get a goldfish as pet?
rhinoceros,Rhinoceros
rhinoceros_2,I like rhinoceros.
rhinoceros_3,I saw a rhinoceros.
rhinoceros_4,What noise does a rhinoceros make?
snake,Snake
snake_2,I like snakes.
snake_3,I saw a snake.
snake_4,What noise does a snake make?
lion,Lion
lion_2,I like lions.
lion_3,I saw a lion.
lion_4,What noise does a lion make?
squid,Squid
squid_2,I like squids.
squid_3,I saw a squid.
squid_4,What noise does a squid make?
whale,Whale
whale_2,I like whales.
whale_3,I saw a whale.
whale_4,What noise does a whale make?
beetle,Beetle
beetle_2,I like beetles.
beetle_3,I saw a beetle.
beetle_4,What noise does a beetle make?
dolphin,Dolphin
dolphin_2,I like dolphins.
dolphin_3,I saw a dolphin.
dolphin_4,What noise does a dolphin make?
starfish,Starfish
starfish_2,I like starfishes.
starfish_3,I saw a starfish.
starfish_4,What noise does a starfish make?
parakeet,Parakeet
parakeet_2,I like parakeets.
parakeet_3,I saw a parakeet.
parakeet_4,What noise does a parakeet make?
owl,Owl
owl_2,I like owls.
owl_3,I saw an owl.
owl_4,What noise does an owl make?
sheep,Sheep
sheep_2,I like sheeps.
sheep_3,I saw a sheep.
sheep_4,What noise does a sheep make?
clothes,Clothes
pants,Pants
pants_2,My pants are dirty.
pants_3,Can you help me wear my pants?
shirt,Shirt
shirt_2,My shirt is dirty.
shirt_3,Can you help me wear my shirt?
skirt,Skirt
skirt_2,My skirt is dirty.
skirt_3,Can you help me wear my skirt?
panty,Panty
panty_2,My underwear is dirty.
panty_3,Can you help me wear my panty?
jacket,Jacket
jacket_2,My jacket is dirty.
jacket_3,Can you help me wear my jacket?
tie,Tie
tie_2,I like wearing tie.
tie_3,Can you help me tie my tie?
baseball-cap,Baseball cap
baseball-cap_2,I like wearing baseball cap.
baseball-cap_3,Which baseball cap should I wear?
